SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
445871,USD,2015,Q2,2015-01-28,2016-01-28,89942000.0,90471000.0,30465000.0,1506000.0,10943000.0,-9082000.0,,,,,33832000.0,-1437000.0,-2564000.0,,-4002000.0,,,-70440000.0,-63991000.0,-34691000,AZPN,2014-12-31
445871,USD,2015,Q3,2015-04-28,2016-04-28,87355000.0,87853000.0,28169000.0,1758000.0,1474000.0,33241000.0,,,,,64642000.0,-1586000.0,16894000.0,,15130000.0,,0.0,-106442000.0,-93583000.0,-14481000,AZPN,2015-03-31
445871,USD,2015,Q4,2015-08-13,2017-08-10,85112000.0,85849000.0,30806000.0,1600000.0,3596000.0,17566000.0,,,,,53568000.0,-1731000.0,18612000.0,0.0,16837000.0,,0.0,-71752000.0,-58396000.0,12287000,AZPN,2015-06-30
445871,USD,2016,Q1,2015-10-29,2016-10-27,83876000.0,84320000.0,36771000.0,1547000.0,3419000.0,-23291000.0,,,,,18446000.0,-1119000.0,10370000.0,0.0,9251000.0,,,-54422000.0,-53970000.0,-26510000,AZPN,2015-09-30
445871,USD,2016,Q2,2016-01-28,2017-01-26,83315000.0,83703000.0,36683000.0,1473000.0,3386000.0,-20816000.0,,,,,20726000.0,-662000.0,21679000.0,0.0,21017000.0,,,77000.0,-732000.0,40884000,AZPN,2015-12-31
445871,USD,2016,Q3,2016-04-28,2017-05-02,83081000.0,83373000.0,33171000.0,1499000.0,8055000.0,26998000.0,,,,,69723000.0,-749000.0,20916000.0,0.0,-234900000.0,,140000000.0,-45921000.0,91323000.0,-73713000,AZPN,2016-03-31
445871,USD,2016,Q4,2016-08-11,2017-08-10,81296000.0,81840000.0,33326000.0,1542000.0,281000.0,9700000.0,,,,,44849000.0,-953000.0,6008000.0,-8000000.0,251853000.0,,0.0,-74414000.0,-75280000.0,221426000,AZPN,2016-06-30
445871,USD,2017,Q1,2016-10-27,2017-10-26,79048000.0,79385000.0,35000000.0,1791000.0,4250000.0,-14791000.0,,,,,26250000.0,-898000.0,-140564000.0,-5400000.0,-146913000.0,,,-148532000.0,-149245000.0,-269959000,AZPN,2016-09-30
445871,USD,2017,Q2,2017-01-26,2018-01-24,76905000.0,77318000.0,37011000.0,1509000.0,3357000.0,-14710000.0,,,,,27167000.0,-476000.0,70195000.0,-30771000.0,38899000.0,,0.0,-46209000.0,-47250000.0,18649000,AZPN,2016-12-31
445871,USD,2017,Q3,2017-05-02,2017-05-02,75676000.0,76182000.0,35834000.0,1693000.0,6504000.0,11590000.0,,,,,55621000.0,-777000.0,55837000.0,0.0,55034000.0,,0.0,-93009000.0,-93257000.0,17526000,AZPN,2017-03-31
445871,USD,2017,Q4,2017-08-10,2017-08-10,74335000.0,75027000.0,54351000.0,1412000.0,168000.0,17417000.0,,,,,73348000.0,-569000.0,17130000.0,0.0,16282000.0,,0.0,-74468000.0,-72265000.0,17402000,AZPN,2017-06-30
445871,USD,2018,Q1,2017-10-26,2017-10-26,73024000.0,73609000.0,34755000.0,1753000.0,7337000.0,-31485000.0,,,,,12360000.0,-123000.0,0.0,-600000.0,-788000.0,,,-52698000.0,-54699000.0,-42971000,AZPN,2017-09-30
445871,USD,2018,Q2,2018-01-24,2018-01-24,72342000.0,73036000.0,38078000.0,1605000.0,9997000.0,-7278000.0,,,,,42402000.0,-33000.0,0.0,-12800000.0,-13124000.0,,11000000.0,-48791000.0,-39608000.0,-10280000,AZPN,2017-12-31
445871,USD,2018,Q3,2018-04-25,2018-04-25,71828000.0,72663000.0,37835000.0,1544000.0,7128000.0,26560000.0,,,,,73067000.0,-61000.0,0.0,-22900000.0,-22904000.0,,19000000.0,-45474000.0,-28419000.0,22372000,AZPN,2018-03-31
445871,USD,2018,Q4,2018-08-08,2018-08-08,71366000.0,72516000.0,38020000.0,1642000.0,4238000.0,35207000.0,,,,,79107000.0,-114000.0,0.0,-6049000.0,-6193000.0,,0.0,-44620000.0,-47104000.0,25090000,AZPN,2018-06-30
445871,USD,2019,Q1,2018-10-24,2018-10-24,70988000.0,72015000.0,38066000.0,2000000.0,-35729000.0,1233000.0,,,,,5570000.0,-96000.0,,0.0,-186000.0,,,-45923000.0,-49102000.0,-44117000,AZPN,2018-09-30
445871,USD,2019,Q2,2019-01-23,2019-01-23,70428000.0,71148000.0,59216000.0,2049000.0,4817000.0,-8555000.0,,,,,57527000.0,-84000.0,,-1200000.0,-1383000.0,,50000000.0,-97034000.0,-53509000.0,2380000,AZPN,2018-12-31
445871,USD,2019,Q3,2019-04-24,2019-04-24,69423000.0,70160000.0,61587000.0,2014000.0,3357000.0,23081000.0,,,,,90039000.0,-26000.0,,1200000.0,269000.0,,0.0,-75344000.0,-79306000.0,11164000,AZPN,2019-03-31
445871,USD,2019,Q4,2019-09-10,2019-09-10,68861000.0,69825000.0,103865000.0,2080000.0,28112000.0,-48880000.0,,,,,85177000.0,-230000.0,0.0,-6098000.0,-6365000.0,,0.0,-70049000.0,-72610000.0,6334000,AZPN,2019-06-30
445871,USD,2020,Q1,2019-10-30,2020-12-22,68441000.0,69317000.0,53514000.0,2036000.0,11646000.0,-51936000.0,,,,,15260000.0,-600000.0,,-74219000.0,-74828000.0,,,-49830000.0,47004000.0,-13293000,AZPN,2019-09-30
445871,USD,2020,Q2,2020-01-29,2020-12-22,68114000.0,68844000.0,39801000.0,2443000.0,8356000.0,-3653000.0,,,,,46947000.0,-368000.0,,0.0,-429000.0,,129163000.0,-48320000.0,-25296000.0,21853000,AZPN,2019-12-31
445871,USD,2020,Q3,2020-05-06,2021-01-27,67806000.0,68482000.0,41826000.0,2549000.0,13130000.0,23876000.0,,,,,81381000.0,-143000.0,,-241000.0,-774000.0,,86000000.0,-47107000.0,31819000.0,111686000,AZPN,2020-03-31
