SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
261036,USD,2010,Q2,2010-08-04,2011-08-05,47791000.0,50847000.0,114596000.0,11687000.0,39797000.0,21239000.0,,,,,187319000.0,-5402000.0,-12711000.0,-108472000.0,-108099000.0,,-396000.0,4361000.0,-66032000.0,7260000,BKNG,2010-06-30
261036,USD,2010,Q3,2010-11-09,2011-11-07,48570000.0,50559000.0,224560000.0,14795000.0,42734000.0,23275000.0,,,,,305364000.0,-4238000.0,-37556000.0,0.0,-29519000.0,,0.0,944000.0,-118439000.0,177086000,BKNG,2010-09-30
261036,USD,2010,Q4,2011-02-25,2013-02-27,49150000.0,51684000.0,135111000.0,14203000.0,30732000.0,-129000.0,,,,,179917000.0,-8122000.0,-377277000.0,-1433000.0,-392006000.0,,0.0,-2664000.0,38433000.0,-174154000,BKNG,2010-12-31
261036,USD,2011,Q1,2011-05-06,2012-05-09,49319000.0,51159000.0,104013000.0,12479000.0,30974000.0,128753000.0,,,,,276219000.0,-8279000.0,145555000.0,-66204000.0,55051000.0,,0.0,-156718000.0,-147198000.0,192107000,BKNG,2011-03-31
261036,USD,2011,Q2,2011-08-05,2012-08-07,49718000.0,51105000.0,256278000.0,13651000.0,32787000.0,-79433000.0,,,,,223283000.0,-9798000.0,-126735000.0,-870000.0,-155181000.0,,0.0,1897000.0,-8649000.0,60175000,BKNG,2011-06-30
261036,USD,2011,Q3,2011-11-07,2012-11-01,49779000.0,51184000.0,472884000.0,13957000.0,36458000.0,37170000.0,,,,,560469000.0,-11693000.0,-719483000.0,-899000.0,-738023000.0,,0.0,-3557000.0,-734000.0,-190083000,BKNG,2011-09-30
261036,USD,2011,Q4,2012-02-27,2014-02-20,49800000.0,51396000.0,225956000.0,13737000.0,43859000.0,-1711000.0,,,,,281841000.0,-17063000.0,-75171000.0,-219000.0,-66615000.0,,0.0,-491000.0,5554000.0,211670000,BKNG,2011-12-31
261036,USD,2012,Q1,2012-05-09,2013-05-09,49827000.0,51347000.0,181816000.0,15842000.0,33578000.0,-48856000.0,,,,,182380000.0,-13697000.0,-376101000.0,-13286000.0,-371501000.0,,979673000.0,-253180000.0,730533000.0,559239000,BKNG,2012-03-31
261036,USD,2012,Q2,2012-08-07,2013-08-08,49812000.0,51226000.0,352654000.0,15663000.0,41609000.0,21680000.0,,,,,431606000.0,-14726000.0,-743080000.0,-143000.0,-730773000.0,,-94000.0,-295000.0,-52995000.0,-379289000,BKNG,2012-06-30
261036,USD,2012,Q3,2012-11-01,2013-11-07,49851000.0,51185000.0,599972000.0,16008000.0,37209000.0,21756000.0,,,,,674945000.0,-10527000.0,-601683000.0,-442000.0,-598279000.0,,-495000.0,733000.0,635000.0,85684000,BKNG,2012-09-30
261036,USD,2012,Q4,2013-02-27,2015-02-19,49870000.0,51546000.0,289595000.0,17628000.0,40361000.0,149235000.0,,,,,496819000.0,-16208000.0,167781000.0,-19990000.0,137840000.0,,0.0,-1596000.0,-9318000.0,637879000,BKNG,2012-12-31
261036,USD,2013,Q1,2013-05-09,2014-05-08,49939000.0,51353000.0,244292000.0,19080000.0,31365000.0,-111620000.0,,,,,183117000.0,-15051000.0,17271000.0,-102000.0,-16002000.0,,,-75415000.0,-70972000.0,74861000,BKNG,2013-03-31
261036,USD,2013,Q2,2013-08-08,2014-08-11,50760000.0,52111000.0,437440000.0,26027000.0,57419000.0,72496000.0,,,,,593382000.0,-21430000.0,-591180000.0,-330742000.0,-969965000.0,,979971000.0,-275060000.0,524514000.0,151004000,BKNG,2013-06-30
