SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
445967,USD,2010,Q2,2010-08-06,2011-08-09,43260625.0,44027307.0,6790000.0,4025000.0,4089000.0,2454000.0,,,,,17358000.0,-1692000.0,-2000000.0,-390000.0,-4082000.0,-4929000.0,3085000.0,-21216000.0,-23034000.0,-10017000,BLKB,2010-06-30
445967,USD,2010,Q3,2010-11-08,2011-11-08,42747209.0,43472822.0,8519000.0,4111000.0,6086000.0,5461000.0,,,,,24177000.0,-3836000.0,0.0,0.0,-3836000.0,-4770000.0,-3820000.0,644000.0,-7825000.0,12989000,BLKB,2010-09-30
445967,USD,2010,Q4,2011-03-01,2013-10-08,43137704.0,43778417.0,7926000.0,4234000.0,11053000.0,-16028000.0,,,,,7185000.0,-163000.0,0.0,-4944000.0,-5282000.0,-4881000.0,-336000.0,3370000.0,-343000.0,1751000,BLKB,2010-12-31
445967,USD,2011,Q1,2011-05-10,2012-05-08,43352216.0,43916657.0,7293000.0,4048000.0,5242000.0,928000.0,,,,,17511000.0,-1073000.0,,-15875000.0,-16948000.0,-5336000.0,-14000.0,316000.0,-4841000.0,-3849000,BLKB,2011-03-31
445967,USD,2011,Q2,2011-08-09,2012-08-07,43447007.0,44098046.0,9362000.0,4122000.0,6794000.0,563000.0,,,,,20841000.0,-6630000.0,,119000.0,-7017000.0,-5350000.0,-11000.0,1609000.0,-4486000.0,9272000,BLKB,2011-06-30
445967,USD,2011,Q3,2011-11-10,2012-11-06,43548494.0,44147911.0,10214000.0,4206000.0,7859000.0,7992000.0,,,,,30271000.0,-5294000.0,,155000.0,-5645000.0,-5349000.0,-10000.0,48000.0,-5005000.0,18602000,BLKB,2011-09-30
445967,USD,2011,Q4,2012-02-29,2014-02-26,43742535.0,44433602.0,6351000.0,4619000.0,13445000.0,-7511000.0,,,,,16904000.0,-5218000.0,,-6910000.0,-12128000.0,-5394000.0,-5000.0,68000.0,-4931000.0,491000,BLKB,2011-12-31
445967,USD,2012,Q1,2012-05-08,2013-05-07,43944459.0,44613256.0,2759000.0,4816000.0,5055000.0,-8645000.0,,,,,3985000.0,-6297000.0,,0.0,-6297000.0,-5409000.0,0.0,2959000.0,-4580000.0,-6553000,BLKB,2012-03-31
445967,USD,2012,Q2,2012-08-07,2013-08-09,44112905.0,44112905.0,-2271000.0,7407000.0,7581000.0,-5753000.0,,,,,6964000.0,-5271000.0,,-280095000.0,-285601000.0,-5421000.0,259600000.0,25000.0,254234000.0,-24775000,BLKB,2012-06-30
445967,USD,2012,Q3,2012-11-06,2013-11-04,44172836.0,44718101.0,2825000.0,9210000.0,9264000.0,7421000.0,,,,,28720000.0,-3859000.0,,-592000.0,-4788000.0,-5418000.0,-14600000.0,121000.0,-20156000.0,4390000,BLKB,2012-09-30
445967,USD,2012,Q4,2013-10-08,2015-02-25,44351940.0,45323118.0,3270000.0,10808000.0,14342000.0,602000.0,,,,,29022000.0,-5130000.0,,0.0,-5803000.0,-5483000.0,-29500000.0,41000.0,-34942000.0,-12091000,BLKB,2012-12-31
