SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
953277,USD,2011,Q2,2011-08-02,2012-07-31,13060456.0,13070536.0,3858000.0,2743000.0,295000.0,-7458000.0,,,,,-562000.0,-1199000.0,,,-1199000.0,-533000.0,4854000.0,94000.0,4434000.0,2853000,BOOM,2011-06-30
953277,USD,2011,Q3,2011-11-01,2012-10-30,13065397.0,13072076.0,4260000.0,3003000.0,407000.0,-6167000.0,,,,,1503000.0,-2078000.0,,,-2094000.0,-534000.0,-2108000.0,0.0,-2642000.0,-3497000,BOOM,2011-09-30
953277,USD,2011,Q4,2012-03-09,2014-03-07,13187311.0,13198253.0,3585000.0,2692000.0,1533000.0,-342000.0,,,,,7468000.0,-3362000.0,,0.0,-3387000.0,-534000.0,-2147000.0,-99000.0,-2964000.0,1160000,BOOM,2011-12-31
953277,USD,2012,Q1,2012-05-01,2013-04-30,13183000.0,13190193.0,2391000.0,2911000.0,699000.0,732000.0,,,,,6733000.0,-2633000.0,,-10294000.0,-12811000.0,-535000.0,8689000.0,,8173000.0,2257000,BOOM,2012-03-31
953277,USD,2012,Q2,2012-07-31,2013-07-30,13205620.0,13209732.0,2697000.0,2882000.0,841000.0,-5078000.0,,,,,1342000.0,-2962000.0,,0.0,-2952000.0,-539000.0,57000.0,98000.0,-414000.0,-2318000,BOOM,2012-06-30
953277,USD,2012,Q3,2012-10-30,2013-10-30,13212246.0,13216229.0,3759000.0,2912000.0,599000.0,-2868000.0,,,,,4402000.0,-4931000.0,,0.0,-4905000.0,-540000.0,7131000.0,0.0,6597000.0,6166000,BOOM,2012-09-30
953277,USD,2012,Q4,2013-03-14,2015-03-16,13457678.0,13458698.0,985000.0,2523000.0,1958000.0,1521000.0,,,,,8079000.0,-4607000.0,,0.0,-5497000.0,-541000.0,-4945000.0,-98000.0,-5839000.0,-3205000,BOOM,2012-12-31
953277,USD,2013,Q1,2013-04-30,2014-04-29,13509792.0,13513797.0,243000.0,3002000.0,1449000.0,1596000.0,,,,,6290000.0,-4453000.0,,,-4408000.0,-540000.0,-231000.0,0.0,-1661000.0,-26000,BOOM,2013-03-31
953277,USD,2013,Q2,2013-07-30,2014-07-29,13526623.0,13530588.0,3455000.0,3025000.0,876000.0,1752000.0,,,,,9108000.0,-5273000.0,,,-5126000.0,-548000.0,-9637000.0,163000.0,-9968000.0,-5851000,BOOM,2013-06-30
953277,USD,2013,Q3,2013-10-30,2014-10-28,13540394.0,13544665.0,3137000.0,2711000.0,315000.0,8255000.0,,,,,15073000.0,-3700000.0,,,-4287000.0,-549000.0,-3470000.0,0.0,-4078000.0,6992000,BOOM,2013-09-30
953277,USD,2013,Q4,2014-03-07,2016-03-11,13557455.0,13561050.0,-762000.0,3530000.0,1148000.0,-3493000.0,,,,,1545000.0,-2797000.0,,-180000.0,-4419000.0,-550000.0,3643000.0,132000.0,4120000.0,1265000,BOOM,2013-12-31
953277,USD,2014,Q1,2014-04-29,2015-04-28,13644239.0,13649953.0,1803000.0,3240000.0,1386000.0,-2952000.0,,,,,3179000.0,-1994000.0,,,-2025000.0,-550000.0,-1893000.0,22000.0,-2395000.0,-1467000,BOOM,2014-03-31
953277,USD,2014,Q2,2014-07-29,2015-07-28,13672457.0,13677911.0,2097000.0,3371000.0,1208000.0,-9479000.0,,,,,-2457000.0,-2129000.0,,,-2242000.0,-558000.0,4395000.0,212000.0,4074000.0,-488000,BOOM,2014-06-30
953277,USD,2014,Q3,2014-10-28,2015-10-30,13686200.0,13687725.0,2319000.0,3401000.0,447000.0,8799000.0,,,,,15157000.0,-2349000.0,,,-1952000.0,-559000.0,-5785000.0,0.0,-6343000.0,6289000,BOOM,2014-09-30
953277,USD,2014,Q4,2015-03-16,2017-03-09,13747044.0,13743239.0,-3575000.0,3142000.0,6313000.0,1554000.0,,,,,7434000.0,-8101000.0,,,-7164000.0,-559000.0,-2860000.0,125000.0,-3190000.0,-5532000,BOOM,2014-12-31
953277,USD,2015,Q1,2015-04-28,2016-04-29,13822231.0,13822231.0,-2377000.0,2672000.0,2459000.0,-6586000.0,,,,,-3832000.0,-891000.0,,,-891000.0,-559000.0,10141000.0,10000.0,8747000.0,3539000,BOOM,2015-03-31
953277,USD,2015,Q2,2015-07-28,2016-07-28,13906993.0,13906993.0,-1319000.0,2511000.0,1603000.0,-3680000.0,,,,,-885000.0,-1580000.0,,,-1605000.0,-566000.0,1102000.0,175000.0,586000.0,-2050000,BOOM,2015-06-30
953277,USD,2015,Q3,2015-10-30,2016-10-27,13932033.0,13932033.0,-4233000.0,2550000.0,3658000.0,-3672000.0,,,,,-1697000.0,-2341000.0,,,-2194000.0,-567000.0,2199000.0,0.0,1632000.0,-2315000,BOOM,2015-09-30
953277,USD,2015,Q4,2016-03-11,2018-03-08,14079131.0,14079131.0,-16042000.0,2544000.0,10637000.0,10893000.0,,,,,8032000.0,-621000.0,,,-636000.0,-568000.0,-8444000.0,87000.0,-9177000.0,-2283000,BOOM,2015-12-31
953277,USD,2016,Q1,2016-04-29,2017-04-27,14129831.0,14129831.0,-413000.0,2513000.0,326000.0,1379000.0,,,,,3805000.0,-435000.0,,,-415000.0,-284000.0,-4000000.0,0.0,-4284000.0,-696000,BOOM,2016-03-31
953277,USD,2016,Q2,2016-07-28,2017-07-27,14142991.0,14142991.0,-766000.0,2765000.0,987000.0,1651000.0,,,,,4637000.0,-761000.0,,,-745000.0,-287000.0,-3000.0,189000.0,-101000.0,3849000,BOOM,2016-06-30
953277,USD,2016,Q3,2016-10-27,2017-10-26,14195921.0,14195921.0,-3137000.0,2769000.0,1083000.0,8682000.0,,,,,9397000.0,-2843000.0,,,-2848000.0,-290000.0,-8250000.0,-20000.0,-8560000.0,-1993000,BOOM,2016-09-30
953277,USD,2016,Q4,2017-03-09,2019-02-21,14035689.0,14035689.0,-2189000.0,2720000.0,1459000.0,-1631000.0,,,,,359000.0,-1680000.0,,,-1694000.0,-289000.0,999000.0,128000.0,838000.0,-1032000,BOOM,2016-12-31
953277,USD,2017,Q1,2017-04-27,2018-04-26,14270365.0,14270365.0,-3020000.0,2665000.0,1219000.0,-6050000.0,,,,,-5186000.0,-1647000.0,,,-1647000.0,-290000.0,6000000.0,-222000.0,5382000.0,-1363000,BOOM,2017-03-31
953277,USD,2017,Q2,2017-07-27,2018-07-26,14348353.0,14348353.0,188000.0,2710000.0,921000.0,-1766000.0,,,,,2053000.0,-518000.0,,,-518000.0,-294000.0,2000000.0,116000.0,1795000.0,3559000,BOOM,2017-06-30
953277,USD,2017,Q3,2017-10-26,2018-10-25,14368225.0,14368225.0,-14060000.0,2689000.0,17932000.0,-2910000.0,,,,,3651000.0,-1132000.0,,,-1132000.0,-296000.0,-2000000.0,-76000.0,-2372000.0,246000,BOOM,2017-09-30
953277,USD,2017,Q4,2018-03-08,2019-02-21,14400461.0,14400461.0,-1961000.0,2502000.0,5675000.0,13000.0,,,,,6229000.0,-2889000.0,,,-2887000.0,-294000.0,-4000000.0,141000.0,-4158000.0,122000,BOOM,2017-12-31
953277,USD,2018,Q1,2018-04-26,2019-04-25,14449915.0,14449915.0,3920000.0,2375000.0,466000.0,-9739000.0,,,,,-2978000.0,-5302000.0,,,-5302000.0,-295000.0,11176000.0,-343000.0,10538000.0,1785000,BOOM,2018-03-31
953277,USD,2018,Q2,2018-07-26,2019-07-25,14534016.0,14534016.0,6372000.0,2392000.0,1702000.0,-9067000.0,,,,,1399000.0,-10899000.0,,,-10899000.0,-298000.0,5449000.0,190000.0,5210000.0,-4139000,BOOM,2018-06-30
953277,USD,2018,Q3,2018-10-25,2019-10-25,14571155.0,14571155.0,4910000.0,2397000.0,942000.0,-125000.0,,,,,8124000.0,-10373000.0,,,-10373000.0,-298000.0,6887000.0,-68000.0,6342000.0,4469000,BOOM,2018-09-30
953277,USD,2018,Q4,2019-02-21,2021-02-22,14563894.0,14927454.0,15271000.0,2356000.0,-2356000.0,5822000.0,,,,,21093000.0,-18521000.0,,,-18521000.0,-298000.0,-140000.0,210000.0,-232000.0,2277000,BOOM,2018-12-31
953277,USD,2019,Q1,2019-04-25,2019-04-25,14606052.0,14671689.0,15170000.0,2196000.0,1639000.0,-12008000.0,,,,,6997000.0,-6397000.0,,,-6397000.0,-298000.0,1969000.0,-853000.0,818000.0,1499000,BOOM,2019-03-31
953277,USD,2019,Q2,2019-07-25,2019-07-25,14647019.0,14899987.0,17244000.0,2554000.0,2253000.0,-5746000.0,,,,,16305000.0,-8628000.0,,,-8628000.0,-300000.0,-7530000.0,255000.0,-7575000.0,7000,BOOM,2019-06-30
953277,USD,2019,Q3,2019-10-25,2019-10-25,14632276.0,14851166.0,6915000.0,2617000.0,8449000.0,-6187000.0,,,,,11794000.0,-6094000.0,,,-6094000.0,-298000.0,-7782000.0,-123000.0,-8203000.0,-2698000,BOOM,2019-09-30
953277,USD,2019,Q4,2020-02-24,2020-02-24,14433085.0,14198558.0,-5288000.0,2493000.0,17363000.0,14930000.0,,,,,29498000.0,-4828000.0,,,-4828000.0,-1866000.0,-13911000.0,175000.0,-15602000.0,8170000,BOOM,2019-12-31
953277,USD,2020,Q1,2020-04-23,2021-04-22,14697164.0,14717836.0,4155000.0,2706000.0,2127000.0,-4068000.0,,,,,4920000.0,-5121000.0,,,-5121000.0,-1866000.0,-781000.0,-1034000.0,-3681000.0,-3902000,BOOM,2020-03-31
