SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
47121,USD,2014,Q4,2015-03-14,2017-03-24,20108000.0,20108000.0,-46733000.0,9067000.0,12401000.0,9676000.0,,,,,-15589000.0,-8917000.0,0.0,,-8917000.0,,186916000.0,3165000.0,189722000.0,165166000,BOX,2015-01-31
47121,USD,2015,Q1,2015-06-12,2016-06-09,119379000.0,119379000.0,-47283000.0,9166000.0,16319000.0,-10384000.0,,,,,-32182000.0,-9901000.0,-103179000.0,,-113280000.0,,-1561000.0,796000.0,-4980000.0,-150449000,BOX,2015-04-30
47121,USD,2015,Q2,2015-09-11,2016-09-07,120399000.0,120399000.0,-50175000.0,9865000.0,18752000.0,-103000.0,,,,,-21661000.0,-17943000.0,1160000.0,,-16801000.0,,-1031000.0,1618000.0,-1385000.0,-39868000,BOX,2015-07-31
47121,USD,2015,Q3,2015-12-14,2016-12-08,121796000.0,121796000.0,-55117000.0,9936000.0,19835000.0,8003000.0,,,,,-17343000.0,-19998000.0,76554000.0,,56503000.0,,-508000.0,13016000.0,10403000.0,49576000,BOX,2015-10-31
47121,USD,2015,Q4,2016-03-30,2017-03-24,123386000.0,123386000.0,-50373000.0,11427000.0,21503000.0,22308000.0,,,,,4865000.0,-25024000.0,17741000.0,,-7283000.0,,-1248000.0,1867000.0,-1525000.0,-3954000,BOX,2016-01-31
47121,USD,2016,Q1,2016-06-09,2017-06-09,124932000.0,124932000.0,-38575000.0,12084000.0,20968000.0,1292000.0,,,,,-4231000.0,-10972000.0,6586000.0,,-4386000.0,,-1042000.0,11262000.0,5452000.0,-3051000,BOX,2016-04-30
47121,USD,2016,Q2,2016-09-07,2017-09-08,126776000.0,126776000.0,-38102000.0,10721000.0,23644000.0,-1142000.0,,,,,-4879000.0,-699000.0,711000.0,,12000.0,,-2312000.0,1969000.0,-4443000.0,-9359000,BOX,2016-07-31
47121,USD,2016,Q3,2016-12-08,2017-12-08,128275000.0,128275000.0,-38233000.0,8710000.0,24181000.0,-1487000.0,,,,,-6829000.0,-1884000.0,,,-1884000.0,,-2178000.0,10098000.0,3194000.0,-5531000,BOX,2016-10-31
47121,USD,2016,Q4,2017-03-24,2017-03-24,129893000.0,129893000.0,-36877000.0,8639000.0,27953000.0,15006000.0,,,,,14721000.0,-1314000.0,0.0,,-1314000.0,,-3249000.0,3483000.0,-3724000.0,9591000,BOX,2017-01-31
47121,USD,2017,Q1,2017-06-09,2017-06-09,131469000.0,131469000.0,-40086000.0,9572000.0,27958000.0,11097000.0,,,,,8541000.0,-757000.0,,,-757000.0,,-3736000.0,11337000.0,-1513000.0,6300000,BOX,2017-04-30
