SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
108186,USD,2013,Q3,2013-11-05,2014-11-04,180675000.0,180675000.0,-24554000.0,110973000.0,2831000.0,15648000.0,,,,,104898000.0,-10289000.0,667000.0,,-40854000.0,,-36051000.0,,-68674000.0,-4630000,BRX,2013-09-30
108186,USD,2013,Q4,2014-02-05,2016-02-29,213947000.0,213947000.0,-12032000.0,111900000.0,23327000.0,-5850000.0,,,,,117345000.0,31521000.0,854000.0,,-9445000.0,,-982031000.0,,-126653000.0,-18753000,BRX,2013-12-31
108186,USD,2014,Q1,2014-05-07,2015-04-27,228113000.0,229365000.0,41740000.0,113699000.0,-32916000.0,-35947000.0,,,,,86576000.0,2778000.0,-3305000.0,,-39774000.0,,-45184000.0,,-105021000.0,-58219000,BRX,2014-03-31
108186,USD,2014,Q2,2014-08-05,2015-07-27,228978000.0,230469000.0,31298000.0,109665000.0,-11553000.0,2651000.0,,,,,132061000.0,0.0,3793000.0,,-42094000.0,,-22609000.0,,-83074000.0,6893000,BRX,2014-06-30
108186,USD,2014,Q3,2014-11-04,2015-10-26,244078000.0,244835000.0,33864000.0,111151000.0,-13501000.0,22146000.0,,,,,153660000.0,0.0,683000.0,,-53174000.0,,-8371000.0,,-69561000.0,30925000,BRX,2014-09-30
108186,USD,2014,Q4,2015-02-19,2017-02-13,272391000.0,273683000.0,25949000.0,107721000.0,9145000.0,-35902000.0,,,,,106913000.0,4057000.0,903000.0,,-65790000.0,,-10781000.0,,-74042000.0,-32919000,BRX,2014-12-31
108186,USD,2015,Q1,2015-04-27,2016-04-26,296189000.0,297715000.0,31136000.0,108544000.0,-9865000.0,-16871000.0,,,,,112944000.0,9918000.0,299000.0,,-31869000.0,,17113000.0,,-73378000.0,7697000,BRX,2015-03-31
108186,USD,2015,Q2,2015-07-27,2016-07-25,298464000.0,298994000.0,55167000.0,104441000.0,-13915000.0,12756000.0,,,,,158449000.0,-20401000.0,-45000.0,,-75371000.0,,-39869000.0,-329000.0,-108635000.0,-25557000,BRX,2015-06-30
108186,USD,2015,Q3,2015-10-26,2016-10-24,298464000.0,298936000.0,54819000.0,102439000.0,-11777000.0,-4950000.0,,,,,140531000.0,0.0,-4560000.0,,-52760000.0,,-22388000.0,329000.0,-92523000.0,-4752000,BRX,2015-09-30
108186,USD,2015,Q4,2016-02-29,2018-02-12,298899000.0,324423000.0,56414000.0,102511000.0,-14319000.0,-32532000.0,,,,,112074000.0,12511000.0,1469000.0,,-30743000.0,,15372000.0,-823000.0,-61488000.0,19843000,BRX,2015-12-31
108186,USD,2016,Q1,2016-04-26,2017-05-01,299180000.0,299379000.0,61549000.0,100479000.0,-14498000.0,-31415000.0,,,,,116115000.0,,-83000.0,,-36423000.0,,35260000.0,-1165000.0,-40649000.0,39043000,BRX,2016-03-31
108186,USD,2016,Q2,2016-07-25,2017-07-31,299872000.0,300204000.0,65470000.0,95818000.0,-12305000.0,11088000.0,,,,,160071000.0,20534000.0,-5569000.0,,-32334000.0,,-33839000.0,-1918000.0,-115637000.0,12100000,BRX,2016-06-30
108186,USD,2016,Q3,2016-10-24,2017-10-30,303013000.0,303521000.0,57805000.0,98337000.0,-5957000.0,-5180000.0,,,,,145005000.0,3801000.0,2102000.0,,-46326000.0,,-96691000.0,-123000.0,-184007000.0,-85328000,BRX,2016-09-30
108186,USD,2016,Q4,2017-02-13,2019-02-11,304339000.0,317136000.0,93318000.0,92668000.0,-26635000.0,-13057000.0,,,,,146294000.0,28890000.0,872000.0,,-26798000.0,,-18553000.0,-98000.0,-93432000.0,26064000,BRX,2016-12-31
108186,USD,2017,Q1,2017-05-01,2018-04-30,304569000.0,304795000.0,71655000.0,93931000.0,-7067000.0,-50369000.0,,,,,108150000.0,-70720000.0,833000.0,,-109147000.0,,88075000.0,-2463000.0,2510000.0,1513000,BRX,2017-03-31
108186,USD,2017,Q2,2017-07-31,2018-07-30,304914000.0,305115000.0,75438000.0,96870000.0,-13276000.0,15012000.0,,,,,174044000.0,66020000.0,-93000.0,,30288000.0,,-100856000.0,-198000.0,-186070000.0,18262000,BRX,2017-06-30
108186,USD,2017,Q3,2017-10-30,2018-10-29,304936000.0,305176000.0,83380000.0,94239000.0,-24664000.0,-14030000.0,,,,,138925000.0,133959000.0,-4098000.0,,64724000.0,,-101659000.0,-53000.0,-184275000.0,19374000,BRX,2017-09-30
108186,USD,2017,Q4,2018-02-12,2020-02-10,304917000.0,306038000.0,69896000.0,89988000.0,-3788000.0,-25267000.0,,,,,130829000.0,23380000.0,718000.0,,-38739000.0,,-38219000.0,-5872000.0,-123331000.0,-31241000,BRX,2017-12-31
108186,USD,2018,Q1,2018-04-30,2019-04-29,304158000.0,304278000.0,61022000.0,90383000.0,1800000.0,-28755000.0,,,,,124450000.0,104198000.0,841000.0,,28236000.0,,-54858000.0,-31487000.0,-170694000.0,-18008000,BRX,2018-03-31
108186,USD,2018,Q2,2018-07-30,2019-07-29,302776000.0,302934000.0,80362000.0,91334000.0,-19556000.0,3763000.0,,,,,155903000.0,127753000.0,-4168000.0,,79750000.0,,-139498000.0,-3633000.0,-226798000.0,8855000,BRX,2018-06-30
108186,USD,2018,Q3,2018-10-29,2019-10-28,302170000.0,302382000.0,147346000.0,85183000.0,-84850000.0,-27850000.0,,,,,119829000.0,436014000.0,480000.0,,372084000.0,,-367952000.0,-48679000.0,-528518000.0,-36605000,BRX,2018-09-30
108186,USD,2018,Q4,2019-02-11,2021-02-11,299192000.0,299762000.0,77554000.0,85345000.0,-25906000.0,4514000.0,,,,,141507000.0,272543000.0,631000.0,,189533000.0,,-212409000.0,-22779000.0,-345294000.0,-14254000,BRX,2018-12-31
108186,USD,2019,Q1,2019-04-29,2020-05-07,298599000.0,299029000.0,62900000.0,85395000.0,-3695000.0,-47762000.0,,,,,96838000.0,45160000.0,731000.0,,-31834000.0,,-15000000.0,-13133000.0,-112363000.0,-47359000,BRX,2019-03-31
108186,USD,2019,Q2,2019-07-29,2020-08-03,298140000.0,298893000.0,68960000.0,81593000.0,-4697000.0,8313000.0,,,,,154169000.0,-29655000.0,14009000.0,,-107450000.0,,53216000.0,-3141000.0,-36869000.0,9850000,BRX,2019-06-30
108186,USD,2019,Q3,2019-10-28,2020-11-04,298031000.0,298879000.0,80854000.0,82837000.0,-15018000.0,253000.0,,,,,148926000.0,144699000.0,-3276000.0,,28741000.0,,-72593000.0,0.0,-159442000.0,18225000,BRX,2019-09-30
108186,USD,2019,Q4,2020-02-10,2021-02-11,298146000.0,300535000.0,62059000.0,82606000.0,131000.0,-16057000.0,,,,,128739000.0,50315000.0,1048000.0,,-61521000.0,,7000000.0,-10000.0,-77176000.0,-9958000,BRX,2019-12-31
108186,USD,2020,Q1,2020-05-07,2021-05-03,297841000.0,298264000.0,59781000.0,83017000.0,-3298000.0,-44430000.0,,,,,95070000.0,41411000.0,691000.0,-2020000.0,-46614000.0,,631500000.0,-28412000.0,517112000.0,565568000,BRX,2020-03-31
