SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
645427,USD,2017,Q3,2017-11-07,2017-11-14,55835265.0,60637584.0,2379000.0,1083000.0,-867000.0,5857000.0,,,,,8452000.0,-2271000.0,8000000.0,,-14811000.0,,,120000.0,-1703000.0,-7934000,CARG,2017-09-30
645427,USD,2017,Q4,2018-02-07,2018-03-01,55835265.0,60637584.0,2267000.0,1125000.0,4955000.0,-1198000.0,,,,,7149000.0,-910000.0,10000000.0,,8362000.0,,44382000.0,110000.0,46620000.0,62133000,CARG,2017-12-31
645427,USD,2018,Q1,2018-05-03,2018-05-03,106951408.0,113349919.0,3651000.0,1237000.0,2238000.0,-752000.0,,,,,6374000.0,-434000.0,30000000.0,,-31015000.0,,,80000.0,-1062000.0,-25679000,CARG,2018-03-31
645427,USD,2018,Q2,2018-08-07,2018-08-07,108500802.0,113081209.0,31265000.0,1220000.0,-20336000.0,5325000.0,,,,,17474000.0,-547000.0,40000000.0,,-30691000.0,,,2305000.0,-15183000.0,-28507000,CARG,2018-06-30
645427,USD,2018,Q3,2018-11-07,2018-11-07,109628692.0,113601415.0,12135000.0,1308000.0,-1923000.0,-769000.0,,,,,10751000.0,-892000.0,40000000.0,,38855000.0,,,676000.0,-3703000.0,45932000,CARG,2018-09-30
645427,USD,2018,Q4,2019-02-28,2019-02-28,110230302.0,113405398.0,18119000.0,1264000.0,6954000.0,-9213000.0,,,,,17124000.0,-4083000.0,-110000000.0,,-57427000.0,,,571000.0,-3447000.0,-43740000,CARG,2018-12-31
645427,USD,2019,Q1,2019-05-09,2019-05-09,110800037.0,113406320.0,12584000.0,1627000.0,5006000.0,-9532000.0,,,,,9685000.0,-5700000.0,40000000.0,-19139000.0,-11350000.0,,,697000.0,-3263000.0,-4951000,CARG,2019-03-31
645427,USD,2019,Q2,2019-08-07,2019-08-07,111299345.0,113388509.0,6007000.0,1914000.0,9469000.0,-1346000.0,,,,,16044000.0,-2884000.0,60000000.0,0.0,-14427000.0,,,391000.0,-4252000.0,-2595000,CARG,2019-06-30
645427,USD,2019,Q3,2019-11-05,2019-11-05,111662949.0,113364775.0,10384000.0,2118000.0,11455000.0,-135000.0,,,,,23822000.0,-2181000.0,22800000.0,0.0,-18209000.0,,,368000.0,-3833000.0,1666000,CARG,2019-09-30
645427,USD,2019,Q4,2020-02-14,2020-02-14,112039441.0,113567796.0,13171000.0,2158000.0,13454000.0,-8218000.0,,,,,20565000.0,-440000.0,-122800000.0,0.0,21729000.0,,,351000.0,-3345000.0,39045000,CARG,2019-12-31
645427,USD,2020,Q1,2020-05-07,2021-05-07,112355093.0,113489992.0,12696000.0,2990000.0,21006000.0,-26551000.0,,,,,10141000.0,-1214000.0,30411000.0,-21004000.0,7527000.0,,-9000.0,514000.0,-2892000.0,14748000,CARG,2020-03-31
