SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
120616,USD,2011,Q2,2011-08-09,2013-05-02,90164000.0,90164000.0,33401000.0,8996000.0,2628000.0,-30685000.0,,,,,14340000.0,-11200000.0,0.0,,-11181000.0,-9228000.0,,0.0,-12303000.0,-9144000,CBOE,2011-06-30
120616,USD,2011,Q3,2011-11-08,2013-05-02,90334000.0,90334000.0,41327000.0,8896000.0,1525000.0,19985000.0,,,,,71733000.0,-5151000.0,0.0,,-5151000.0,-11020000.0,,-14887000.0,-25907000.0,40675000,CBOE,2011-09-30
120616,USD,2011,Q4,2012-02-28,2014-02-21,89393000.0,89393000.0,31807000.0,7506000.0,5091000.0,-5572000.0,,,,,38832000.0,-5658000.0,0.0,-1250000.0,-6853000.0,-10896000.0,,-32103000.0,-44263000.0,-12284000,CBOE,2011-12-31
120616,USD,2012,Q1,2012-07-31,2013-05-07,88146000.0,88146000.0,33417000.0,8320000.0,2285000.0,19561000.0,,,,,63583000.0,-7869000.0,-394000.0,,-8503000.0,-10745000.0,,-30641000.0,-41387000.0,13693000,CBOE,2012-03-31
120616,USD,2012,Q2,2012-10-30,2013-08-06,87153000.0,87153000.0,38496000.0,8320000.0,2978000.0,-26643000.0,,,,,23151000.0,-11623000.0,-428000.0,,-11811000.0,-10603000.0,,-19103000.0,-32832000.0,-21492000,CBOE,2012-06-30
120616,USD,2012,Q3,2013-01-30,2013-11-05,87272000.0,87272000.0,45758000.0,8634000.0,5520000.0,-5778000.0,,,,,54134000.0,-7337000.0,-412000.0,,-7749000.0,-13241000.0,,0.0,-13241000.0,33144000,CBOE,2012-09-30
120616,USD,2012,Q4,2013-05-02,2015-02-20,87269000.0,87269000.0,39724000.0,6211000.0,2854000.0,10878000.0,,,,,59667000.0,-3237000.0,1234000.0,-2911000.0,-4914000.0,-13239000.0,,0.0,-79437000.0,-24684000,CBOE,2012-12-31
120616,USD,2013,Q1,2013-05-07,2014-05-06,87272000.0,87272000.0,42373000.0,8282000.0,6979000.0,37663000.0,,,,,95297000.0,-6440000.0,-676000.0,,-7108000.0,-13297000.0,,0.0,-13300000.0,74889000,CBOE,2013-03-31
120616,USD,2013,Q2,2013-08-06,2014-08-06,87341000.0,87341000.0,46160000.0,8622000.0,5739000.0,-38958000.0,,,,,21563000.0,-6632000.0,-444000.0,,-7076000.0,-13307000.0,,0.0,-17207000.0,-2720000,CBOE,2013-06-30
120616,USD,2013,Q3,2013-11-05,2014-11-04,87647000.0,87647000.0,41356000.0,8476000.0,1585000.0,4087000.0,,,,,55504000.0,-6695000.0,-398000.0,,-7093000.0,-15945000.0,,-13977000.0,-29799000.0,18612000,CBOE,2013-09-30
120616,USD,2013,Q4,2014-02-21,2016-02-19,87064000.0,87064000.0,46110000.0,9108000.0,1713000.0,-4915000.0,,,,,52016000.0,-8906000.0,-402000.0,0.0,-9308000.0,-15820000.0,,-31313000.0,-47745000.0,-5037000,CBOE,2013-12-31
120616,USD,2014,Q1,2014-05-06,2015-05-06,86453000.0,86453000.0,49024000.0,8604000.0,7718000.0,22970000.0,,,,,88316000.0,-12172000.0,-500000.0,,-12672000.0,-15727000.0,,-37137000.0,-97920000.0,-22276000,CBOE,2014-03-31
