SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
90312,USD,2011,Q4,2011-11-14,2013-11-14,8736852.0,8765192.0,3620000.0,1471000.0,582000.0,-2288000.0,,,,,3385000.0,-1406000.0,,0.0,-2340000.0,0.0,-850000.0,386000.0,-1062000.0,-17000,CCF,2011-08-31
90312,USD,2012,Q1,2012-01-09,2013-01-09,8754020.0,8761058.0,2327000.0,1247000.0,493000.0,-2816000.0,,,,,1251000.0,-1197000.0,,,-1349000.0,,-1850000.0,,-1850000.0,-1948000,CCF,2011-11-30
90312,USD,2012,Q2,2012-04-09,2013-04-09,8758063.0,8791052.0,1197000.0,1283000.0,450000.0,525000.0,,,,,3455000.0,-478000.0,,,-606000.0,-3165000.0,-173000.0,,-3338000.0,-489000,CCF,2012-02-29
90312,USD,2012,Q3,2012-07-10,2013-07-10,8766112.0,8798269.0,3373000.0,1256000.0,1012000.0,-1388000.0,,,,,4253000.0,-1772000.0,,,-1825000.0,0.0,-1527000.0,,-1527000.0,901000,CCF,2012-05-31
90312,USD,2012,Q4,2012-11-14,2014-11-14,8766853.0,8796621.0,2367000.0,2102000.0,1419000.0,-901000.0,,,,,4987000.0,-751000.0,,-62217000.0,-63310000.0,0.0,60827000.0,,60223000.0,1900000,CCF,2012-08-31
90312,USD,2013,Q1,2013-01-09,2014-01-09,8851314.0,8927970.0,3477000.0,2725000.0,1176000.0,-5262000.0,,,,,2116000.0,-533000.0,,,-596000.0,,-1400000.0,,-1400000.0,120000,CCF,2012-11-30
90312,USD,2013,Q2,2013-04-09,2014-04-09,8854801.0,8952938.0,2493000.0,2627000.0,1145000.0,-3020000.0,,,,,3245000.0,-926000.0,,84000.0,-1050000.0,-3626000.0,-1400000.0,,-5019000.0,-2824000,CCF,2013-02-28
90312,USD,2013,Q3,2013-07-10,2014-07-10,8864047.0,8966756.0,5071000.0,2664000.0,394000.0,1535000.0,,,,,9664000.0,-1111000.0,,0.0,-1440000.0,0.0,-1400000.0,209000.0,-1400000.0,6824000,CCF,2013-05-31
90312,USD,2013,Q4,2013-11-14,2015-11-16,8873726.0,9066088.0,5699000.0,2649000.0,-102000.0,4886000.0,,,,,13132000.0,-368000.0,,0.0,-494000.0,0.0,-1400000.0,-135000.0,-1795000.0,10843000,CCF,2013-08-31
90312,USD,2014,Q1,2014-01-09,2015-01-09,8938149.0,9149677.0,8817000.0,2620000.0,-5426000.0,-4028000.0,,,,,1983000.0,-770000.0,,6655000.0,5796000.0,,-1400000.0,,-1400000.0,6379000,CCF,2013-11-30
