SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
546550,USD,2011,Q2,2011-07-27,2012-07-31,25794968.0,25794968.0,-19478000.0,180000.0,8966000.0,-6475000.0,,,,,-16807000.0,-370000.0,351914000.0,,-455594000.0,,,,478317000.0,5916000,CIE,2011-06-30
546550,USD,2011,Q3,2011-11-01,2012-10-30,25801351.0,25801351.0,-46987000.0,186000.0,40004000.0,10257000.0,,,,,3460000.0,-157000.0,357863000.0,,-1823000.0,,,,-113000.0,1524000,CIE,2011-09-30
546550,USD,2011,Q4,2012-02-21,2014-02-27,25479902.0,25479902.0,-51114000.0,186000.0,26513000.0,2164000.0,,,,,-22251000.0,-136000.0,203405000.0,,122349000.0,,,,-192000.0,99906000,CIE,2011-12-31
546550,USD,2012,Q1,2012-05-01,2013-04-30,26283698.0,26283698.0,-36531000.0,201000.0,16163000.0,-37277000.0,,,,,-57444000.0,-123323000.0,307582000.0,,-444411000.0,,,,489317000.0,-12538000,CIE,2012-03-31
546550,USD,2012,Q2,2012-07-31,2013-07-30,27088393.0,27088393.0,-140723000.0,312000.0,121460000.0,1231000.0,,,,,-17720000.0,-1812000.0,229013000.0,,-20387000.0,,,168000.0,169000.0,-37938000,CIE,2012-06-30
546550,USD,2012,Q3,2012-10-30,2013-10-29,27116460.0,27116460.0,-39214000.0,269000.0,24016000.0,-51300000.0,,,,,-66229000.0,-8960000.0,231635000.0,,-48999000.0,,,107000.0,-72000.0,-115300000,CIE,2012-09-30
546550,USD,2012,Q4,2013-02-26,2015-02-23,27126877.0,27126877.0,-66531000.0,415000.0,9947000.0,57165000.0,,,,,996000.0,-13885000.0,314646000.0,,-50964000.0,,1348950000.0,63000.0,1349013000.0,1299045000,CIE,2012-12-31
546550,USD,2013,Q1,2013-04-30,2014-05-01,27123680.0,27123680.0,-128087000.0,459000.0,89081000.0,-66037000.0,,,,,-104584000.0,-50966000.0,346709000.0,,-994359000.0,,-1190000.0,74000.0,-1116000.0,-1100059000,CIE,2013-03-31
546550,USD,2013,Q2,2013-07-30,2014-08-06,27141335.0,27141335.0,-78818000.0,447000.0,58185000.0,-108354000.0,,,,,-128540000.0,1732000.0,359866000.0,,94111000.0,,0.0,21000.0,21000.0,-34408000,CIE,2013-06-30
546550,USD,2013,Q3,2013-10-29,2014-11-04,27142991.0,27142991.0,-160000000.0,439000.0,132529000.0,20173000.0,,,,,-6859000.0,-35888000.0,296445000.0,,-64080000.0,,0.0,103000.0,103000.0,-70836000,CIE,2013-09-30
546550,USD,2013,Q4,2014-02-27,2016-02-22,27136906.0,27136906.0,-37607000.0,-17000.0,39266000.0,98419000.0,,,,,23615000.0,48563000.0,363957000.0,,-29086000.0,,1190000.0,-1190000.0,0.0,-5471000,CIE,2013-12-31
546550,USD,2014,Q1,2014-05-01,2015-05-05,27146981.0,27146981.0,-56915000.0,1107000.0,37880000.0,-67745000.0,,,,,-85673000.0,-43146000.0,519205000.0,,45614000.0,,,33000.0,-597000.0,-40656000,CIE,2014-03-31
546550,USD,2014,Q2,2014-08-06,2015-08-04,27152826.0,27152826.0,-94756000.0,1075000.0,69938000.0,66739000.0,,,,,42996000.0,-25890000.0,441848000.0,,-1226892000.0,,1269778000.0,0.0,1269777000.0,85881000,CIE,2014-06-30
546550,USD,2014,Q3,2014-11-04,2015-11-03,27153271.0,27153271.0,-25192000.0,-905000.0,50768000.0,17190000.0,,,,,-97159000.0,40845000.0,332606000.0,,41706000.0,,0.0,0.0,0.0,-55453000,CIE,2014-09-30
546550,USD,2014,Q4,2015-02-23,2017-03-14,27165471.0,27165471.0,-333900000.0,3307000.0,202353000.0,67296000.0,,,,,78076000.0,-724539000.0,1057046000.0,,-1587000.0,,0.0,0.0,0.0,76489000,CIE,2014-12-31
546550,USD,2015,Q1,2015-05-05,2016-05-03,27247494.0,27247494.0,-70466000.0,412000.0,50445000.0,-66469000.0,,,,,-17180000.0,-23000.0,372350000.0,,32110000.0,,,,,14930000,CIE,2015-03-31
546550,USD,2015,Q2,2015-08-04,2016-08-02,27248407.0,27248407.0,-53369000.0,367000.0,40296000.0,-23488000.0,,,,,-124351000.0,-165000.0,537219000.0,,4815000.0,,,,-4025000.0,-123561000,CIE,2015-06-30
546550,USD,2015,Q3,2015-11-03,2016-11-04,27249951.0,27249951.0,-49686000.0,346000.0,43593000.0,-89439000.0,,,,,-87612000.0,-223350000.0,487187000.0,,49986000.0,,,,0.0,-37626000,CIE,2015-09-30
546550,USD,2015,Q4,2016-02-22,2017-03-14,27251286.0,27251286.0,-520905000.0,2756000.0,456886000.0,277075000.0,,,,,227497000.0,-697131000.0,602665000.0,,-201032000.0,,,,-43000.0,26422000,CIE,2015-12-31
546550,USD,2016,Q1,2016-05-03,2017-05-08,27297642.0,27297642.0,-46615000.0,3170000.0,33074000.0,32288000.0,,,,,21917000.0,-214479000.0,910041000.0,,21929000.0,,,,,43846000,CIE,2016-03-31
546550,USD,2016,Q2,2016-08-02,2017-08-08,27338000.0,27338000.0,-205547000.0,4289000.0,178284000.0,-50266000.0,,,,,-73240000.0,-180266000.0,661683000.0,,115180000.0,,,,,41940000,CIE,2016-06-30
546550,USD,2016,Q3,2016-11-04,2017-11-02,27359000.0,27359000.0,-218207000.0,7183000.0,82905000.0,104604000.0,,,,,-23515000.0,-154609000.0,1160567000.0,,240312000.0,,,,,216797000,CIE,2016-09-30
546550,USD,2016,Q4,2017-03-14,2017-03-14,27948302.0,27948302.0,-1872940000.0,7341000.0,1767447000.0,7325000.0,,,,,-90827000.0,-142017000.0,657821000.0,,-224591000.0,,490000000.0,,490000000.0,174582000,CIE,2016-12-31
546550,USD,2017,Q1,2017-05-08,2017-05-08,29467526.0,29467526.0,-306255000.0,8879000.0,243715000.0,-11787000.0,,,,,-65448000.0,-118950000.0,88995000.0,,-420836000.0,,,,,-486284000,CIE,2017-03-31
