SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
569146,USD,2011,Q2,2011-08-09,2012-08-07,21881676.0,21881676.0,-811000.0,1057000.0,1653000.0,-2304000.0,,,,,-405000.0,-631000.0,,,-631000.0,,-2826000.0,120000.0,-2706000.0,-3577000,CLAR,2011-06-30
569146,USD,2011,Q3,2011-11-01,2012-11-06,21898710.0,22145202.0,1007000.0,1360000.0,1246000.0,-12504000.0,,,,,-8891000.0,-362000.0,,,-362000.0,,9281000.0,31000.0,9312000.0,22000,CLAR,2011-09-30
569146,USD,2011,Q4,2012-03-06,2014-03-04,21899712.0,22338588.0,3528000.0,1326000.0,-2474000.0,1436000.0,,,,,3816000.0,-297000.0,,,-297000.0,,-2694000.0,-1000.0,-2695000.0,723000,CLAR,2011-12-31
569146,USD,2012,Q1,2012-05-08,2013-05-07,25728354.0,26035968.0,2590000.0,1103000.0,1697000.0,-4871000.0,,,,,519000.0,-1606000.0,,,-1606000.0,,-22385000.0,62664000.0,40279000.0,39244000,CLAR,2012-03-31
569146,USD,2012,Q2,2012-08-07,2013-08-06,30875628.0,30875628.0,-1908000.0,1090000.0,404000.0,1564000.0,,,,,1150000.0,-1149000.0,,,-1149000.0,,1528000.0,345000.0,1873000.0,1779000,CLAR,2012-06-30
569146,USD,2012,Q3,2012-11-06,2013-11-05,31391658.0,31773420.0,726000.0,1899000.0,1333000.0,-14119000.0,,,,,-10161000.0,-849000.0,,-40128000.0,-40977000.0,,21875000.0,122000.0,21997000.0,-29136000,CLAR,2012-09-30
569146,USD,2012,Q4,2013-03-12,2015-03-16,31510896.0,30821520.0,544000.0,1861000.0,-3144000.0,5790000.0,,,,,5051000.0,-1861000.0,,-10199000.0,-12060000.0,,-4100000.0,2192000.0,-1908000.0,-9176000,CLAR,2012-12-31
569146,USD,2013,Q1,2013-05-07,2014-05-08,31827528.0,31827528.0,-3032000.0,1932000.0,-66000.0,1168000.0,,,,,2000.0,-1889000.0,,,-1889000.0,,648000.0,,648000.0,-984000,CLAR,2013-03-31
569146,USD,2013,Q2,2013-08-06,2014-08-11,31899672.0,31899672.0,-2268000.0,1895000.0,228000.0,3772000.0,,,,,3627000.0,-1387000.0,,,-1387000.0,,-4957000.0,843000.0,-4114000.0,-2073000,CLAR,2013-06-30
569146,USD,2013,Q3,2013-11-05,2014-11-04,32087046.0,32087046.0,-1306000.0,2476000.0,463000.0,-7160000.0,,,,,-5527000.0,-588000.0,,,-588000.0,,8830000.0,110000.0,8940000.0,2340000,CLAR,2013-09-30
569146,USD,2013,Q4,2014-03-04,2016-03-15,32469810.0,32469810.0,736000.0,1976000.0,1759000.0,4898000.0,,,,,9369000.0,-1212000.0,,,-1212000.0,,-8234000.0,235000.0,-7999000.0,84000,CLAR,2013-12-31
569146,USD,2014,Q1,2014-05-08,2015-05-11,32538948.0,32538948.0,-1327000.0,1954000.0,-1444000.0,-6297000.0,,,,,-7114000.0,-660000.0,,,-660000.0,,6997000.0,284000.0,7281000.0,-93000,CLAR,2014-03-31
569146,USD,2014,Q2,2014-08-11,2015-08-10,32580030.0,32580030.0,-4983000.0,1908000.0,-34000.0,2554000.0,,,,,-555000.0,-718000.0,,,-718000.0,,1720000.0,359000.0,2079000.0,220000,CLAR,2014-06-30
569146,USD,2014,Q3,2014-11-04,2015-11-09,32650170.0,32650170.0,20403000.0,1990000.0,-17027000.0,-28697000.0,,,,,-23331000.0,-1017000.0,,,80123000.0,,-21280000.0,476000.0,-19103000.0,38188000,CLAR,2014-09-30
569146,USD,2014,Q4,2015-04-30,2017-03-06,32759388.0,32759388.0,-86000.0,1642000.0,-10127000.0,10896000.0,,,,,2325000.0,-472000.0,-9994000.0,,-10466000.0,,-3346000.0,255000.0,-3108000.0,-11759000,CLAR,2014-12-31
569146,USD,2015,Q1,2015-05-11,2016-05-02,32769408.0,32769408.0,-1675000.0,1576000.0,344000.0,-3218000.0,,,,,-2973000.0,-664000.0,,,-664000.0,,-502000.0,51000.0,-451000.0,-4191000,CLAR,2015-03-31
