SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
99062,USD,2011,Q3,2011-11-07,2012-11-06,13413.0,13413.0,-1909039.0,148848.0,400506.0,-171707.0,,,,,-1531392.0,-89126.0,,,-89126.0,,-102125.0,0.0,-102125.0,-1722643,CLRB,2011-09-30
99062,USD,2011,Q4,2012-03-09,2013-03-28,15146.0,15146.0,-1965920.0,145254.0,197142.0,88041.0,,,,,-1535483.0,-6216.0,,,-6216.0,,158764.0,5298140.0,5456904.0,3915205,CLRB,2011-12-31
99062,USD,2012,Q1,2012-05-04,2013-05-15,18455.0,18455.0,-2356903.0,139771.0,446199.0,68242.0,,,,,-1702691.0,-15149.0,,,-15149.0,,-544.0,0.0,-544.0,-1718384,CLRB,2012-03-31
99062,USD,2012,Q2,2012-08-09,2013-08-12,19299.0,19299.0,-2230811.0,126306.0,423356.0,183540.0,,,,,-1497609.0,-13991.0,,,-13991.0,,-554.0,4870978.0,4870424.0,3358824,CLRB,2012-06-30
99062,USD,2012,Q3,2012-11-06,2013-11-13,21643.0,21643.0,-2052212.0,118006.0,332534.0,-89199.0,,,,,-1690871.0,-8002.0,,,-8002.0,,150237.0,0.0,150237.0,-1548636,CLRB,2012-09-30
99062,USD,2012,Q4,2013-03-28,2014-03-19,22845.0,22845.0,-2157048.0,113170.0,335062.0,14963.0,,,,,-1693853.0,-60549.0,,,-2060549.0,,866387.0,1967796.0,2834183.0,-920219,CLRB,2012-12-31
99062,USD,2013,Q1,2013-05-15,2014-05-14,25643.0,25643.0,-3453879.0,111874.0,1169325.0,283743.0,,,,,-1888937.0,-92977.0,,,28763.0,,69955.0,4975153.0,5045108.0,3184934,CLRB,2013-03-31
99062,USD,2013,Q2,2013-08-12,2014-08-04,28697.0,28697.0,-2064462.0,108094.0,-282448.0,205156.0,,,,,-2033660.0,0.0,,,28.0,,-594.0,0.0,-594.0,-2034226,CLRB,2013-06-30
99062,USD,2013,Q3,2013-11-13,2015-05-20,28697.0,28697.0,-1315318.0,105692.0,-1299698.0,-44085.0,,,,,-2553409.0,-41979.0,,,1836253.0,,-604.0,0.0,-604.0,-717760,CLRB,2013-09-30
99062,USD,2013,Q4,2014-03-19,2015-05-20,28744.0,28744.0,-3948509.0,99098.0,1114593.0,56180.0,,,,,-2678638.0,-12856.0,,,-12856.0,,-615.0,0.0,-615.0,-2692109,CLRB,2013-12-31
99062,USD,2014,Q1,2014-05-14,2014-05-14,28697.0,28697.0,-2943413.0,96048.0,338792.0,-86027.0,,,,,-2594600.0,-15191.0,,,-15191.0,,3999374.0,0.0,3999374.0,1389583,CLRB,2014-03-31
99062,USD,2014,Q2,2014-08-04,2015-08-12,28697.0,28697.0,-2085836.0,92321.0,-268309.0,254084.0,,,,,-2007740.0,0.0,,,0.0,,-173044.0,0.0,-174202.0,-2181942,CLRB,2014-06-30
99062,USD,2014,Q3,2014-11-19,2015-11-12,50122.0,50122.0,324022.0,89319.0,-2327958.0,-182316.0,,,,,-2096933.0,-2206.0,,,-2206.0,,171976.0,12395965.0,12049119.0,9949980,CLRB,2014-09-30
99062,USD,2014,Q4,2015-02-19,2016-10-20,76190.0,76190.0,-3346875.0,89509.0,1251395.0,-135235.0,,,,,-2141206.0,-12172.0,,,-12172.0,,0.0,0.0,0.0,-2153378,CLRB,2014-12-31
99062,USD,2015,Q1,2015-05-20,2016-05-12,75628.0,75628.0,-2301156.0,90044.0,-95603.0,-59623.0,,,,,-2366338.0,-25466.0,,,-25466.0,,-1211.0,,-1211.0,-2393015,CLRB,2015-03-31
99062,USD,2015,Q2,2015-08-12,2016-08-11,75628.0,75628.0,-2286550.0,90692.0,67631.0,-59043.0,,,,,-2187270.0,-8199.0,,,-8199.0,,-866.0,0.0,-866.0,-2196335,CLRB,2015-06-30
99062,USD,2015,Q3,2015-11-12,2016-11-10,75637.0,75637.0,-1858237.0,90772.0,-68633.0,-328940.0,,,,,-2165038.0,-6122.0,,,-6122.0,,-189590.0,0.0,-189590.0,-2360750,CLRB,2015-09-30
99062,USD,2015,Q4,2016-10-20,2017-03-15,85898.0,85898.0,950913.0,90994.0,-2718330.0,182089.0,,,,,-1494334.0,-18683.0,,,-18683.0,,30438.0,3300000.0,2898281.0,1385264,CLRB,2015-12-31
99062,USD,2016,Q1,2016-05-12,2017-05-11,85811.0,90638.0,824563.0,90773.0,-2721804.0,-11788.0,,,,,-1818256.0,0.0,,,0.0,,-61116.0,,-131160.0,-1949416,CLRB,2016-03-31
99062,USD,2016,Q2,2016-08-11,2017-08-14,432830.0,432830.0,-2132903.0,90688.0,-78401.0,218974.0,,,,,-1901642.0,-4207.0,,,-4207.0,,629680.0,7371121.0,7919618.0,6013769,CLRB,2016-06-30
99062,USD,2016,Q3,2016-11-10,2017-11-09,536824.0,536824.0,-2286860.0,87856.0,-3667.0,-10881.0,,,,,-2213552.0,-1051.0,,,-1051.0,,-61573.0,0.0,-61573.0,-2276176,CLRB,2016-09-30
99062,USD,2016,Q4,2017-03-15,2017-03-15,759161.0,754333.0,-2585126.0,87348.0,71502.0,77508.0,,,,,-2348768.0,-66993.0,,,-66993.0,,-61964.0,8452479.0,8214412.0,5798651,CLRB,2016-12-31
99062,USD,2017,Q1,2017-05-11,2017-05-11,1201028.0,1201028.0,-2891324.0,86911.0,248149.0,-431173.0,,,,,-2987437.0,-66301.0,,,-66301.0,,2847513.0,,2847513.0,-206225,CLRB,2017-03-31
99062,USD,2017,Q2,2017-08-14,2017-08-14,1346199.0,1346199.0,-3121529.0,101414.0,141086.0,215436.0,,,,,-2663593.0,-254209.0,,,-254209.0,,-7519.0,0.0,-7519.0,-2925321,CLRB,2017-06-30
99062,USD,2017,Q3,2017-11-09,2017-11-09,1347097.0,1347097.0,-3470698.0,105870.0,167224.0,654400.0,,,,,-2543204.0,-26193.0,,,-26193.0,,-81449.0,0.0,-81449.0,-2650846,CLRB,2017-09-30
99062,USD,2017,Q4,2018-03-21,2018-03-21,1718206.0,1718206.0,-4078739.0,1251853.0,180223.0,-179404.0,,,,,-2826067.0,0.0,,,0.0,,115396.0,7171202.0,7170261.0,4344194,CLRB,2017-12-31
99062,USD,2018,Q1,2018-05-11,2018-05-11,1680819.0,1680819.0,-3475823.0,17301.0,200388.0,74029.0,,,,,-3184105.0,-1425.0,,,-1425.0,,-728.0,,-728.0,-3186258,CLRB,2018-03-31
99062,USD,2018,Q2,2018-08-10,2018-08-10,1731561.0,1731561.0,-2920691.0,16867.0,195579.0,162714.0,,,,,-2545531.0,0.0,,,0.0,,-93888.0,,-93888.0,-2639419,CLRB,2018-06-30
99062,USD,2018,Q3,2018-11-13,2018-11-13,3184856.0,3184856.0,-3014934.0,15883.0,56998.0,-26903.0,,,,,-2968956.0,45000.0,,,45000.0,,92370.0,15025078.0,15116686.0,12192730,CLRB,2018-09-30
99062,USD,2018,Q4,2019-02-26,2019-02-26,5250652.0,5250652.0,-3827579.0,32214.0,1830758.0,-778893.0,,,,,-2743500.0,-373568.0,,,-373568.0,,2246.0,0.0,-790.0,-3117858,CLRB,2018-12-31
99062,USD,2019,Q1,2019-05-06,2019-05-06,4773500.0,4773500.0,-3621641.0,32733.0,224935.0,548698.0,,,,,-2815275.0,-6242.0,,,-6242.0,,,,-811.0,-2822328,CLRB,2019-03-31
99062,USD,2019,Q2,2019-08-12,2019-08-12,6963301.0,6963301.0,-3187561.0,33614.0,314313.0,186724.0,,,,,-2652910.0,-9482.0,,,-9482.0,,0.0,9024569.0,9023735.0,6361343,CLRB,2019-06-30
99062,USD,2019,Q3,2019-11-12,2019-11-12,9386703.0,9386703.0,-3903807.0,33869.0,118193.0,207387.0,,,,,-3544358.0,-3093.0,,,-3093.0,,-2213.0,0.0,-568.0,-3548019,CLRB,2019-09-30
99062,USD,2019,Q4,2020-03-09,2020-03-09,9576864.0,9576864.0,-3379903.0,32582.0,222912.0,443244.0,,,,,-2681165.0,-5725.0,,,-5725.0,,0.0,0.0,0.0,-2686890,CLRB,2019-12-31
