SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
218764,USD,2009,Q4,2009-08-25,2011-08-26,139304000.0,140465000.0,105000000.0,46000000.0,0.0,90000000.0,-31000000.0,37000000.0,,84000000.0,315000000.0,-61000000.0,,,-60000000.0,-65000000.0,-112000000.0,4000000.0,-173000000.0,89000000,CLX,2009-06-30
218764,USD,2010,Q1,2009-11-03,2010-11-03,139743000.0,140861000.0,140000000.0,48000000.0,-11000000.0,-100000000.0,34000000.0,-21000000.0,,-113000000.0,94000000.0,-34000000.0,,,-33000000.0,-70000000.0,20000000.0,15000000.0,-35000000.0,31000000,CLX,2009-09-30
218764,USD,2010,Q2,2010-02-05,2011-02-07,140303000.0,141528000.0,93000000.0,46000000.0,26000000.0,-31000000.0,24000000.0,-20000000.0,,-35000000.0,152000000.0,-42000000.0,,,-42000000.0,-71000000.0,-135000000.0,16000000.0,-190000000.0,-83000000,CLX,2009-12-31
218764,USD,2010,Q3,2010-05-04,2011-05-04,140764000.0,142014000.0,143000000.0,44000000.0,33000000.0,-10000000.0,-88000000.0,-6000000.0,,84000000.0,197000000.0,-33000000.0,,-19000000.0,-53000000.0,-70000000.0,-15000000.0,30000000.0,-55000000.0,87000000,CLX,2010-03-31
218764,USD,2010,Q4,2010-08-26,2012-08-24,140278000.0,141733000.0,150000000.0,45000000.0,21000000.0,127000000.0,9000000.0,53000000.0,,65000000.0,376000000.0,-92000000.0,,0.0,-103000000.0,-71000000.0,-224000000.0,-131000000.0,-426000000.0,-154000000,CLX,2010-06-30
218764,USD,2011,Q1,2010-11-03,2011-11-03,139475000.0,140932000.0,140000000.0,45000000.0,8000000.0,-67000000.0,60000000.0,-44000000.0,,-83000000.0,148000000.0,-34000000.0,,,-34000000.0,-77000000.0,134000000.0,18000000.0,75000000.0,199000000,CLX,2010-09-30
218764,USD,2011,Q2,2011-02-07,2012-02-06,138678000.0,138678000.0,-163000000.0,43000000.0,271000000.0,-107000000.0,-6000000.0,-24000000.0,,-77000000.0,77000000.0,-55000000.0,,747000000.0,717000000.0,-77000000.0,-503000000.0,-117000000.0,-697000000.0,93000000,CLX,2010-12-31
218764,USD,2011,Q3,2011-05-04,2012-05-03,136364000.0,137689000.0,141000000.0,42000000.0,41000000.0,-7000000.0,-67000000.0,-25000000.0,,85000000.0,181000000.0,-70000000.0,,0.0,-70000000.0,-76000000.0,40000000.0,-303000000.0,-339000000.0,-226000000,CLX,2011-03-31
218764,USD,2011,Q4,2011-08-26,2013-08-23,132279000.0,135105000.0,169000000.0,43000000.0,55000000.0,36000000.0,-20000000.0,56000000.0,,0.0,292000000.0,-69000000.0,,0.0,-69000000.0,-73000000.0,116000000.0,-160000000.0,-117000000.0,106000000,CLX,2011-06-30
218764,USD,2012,Q1,2011-11-03,2012-11-02,131968000.0,133611000.0,130000000.0,46000000.0,19000000.0,-64000000.0,79000000.0,-31000000.0,,-112000000.0,131000000.0,-37000000.0,,,-37000000.0,-79000000.0,-22000000.0,24000000.0,-77000000.0,11000000,CLX,2011-09-30
218764,USD,2012,Q2,2012-02-06,2013-02-05,131112000.0,132358000.0,105000000.0,43000000.0,-34000000.0,-77000000.0,-44000000.0,-34000000.0,,1000000.0,37000000.0,-45000000.0,,-93000000.0,-126000000.0,-80000000.0,333000000.0,-138000000.0,115000000.0,27000000,CLX,2011-12-31
218764,USD,2012,Q3,2012-05-03,2013-05-02,130266000.0,131607000.0,134000000.0,44000000.0,4000000.0,-17000000.0,-63000000.0,-1000000.0,,47000000.0,157000000.0,-37000000.0,,0.0,-37000000.0,-78000000.0,-48000000.0,10000000.0,-116000000.0,6000000,CLX,2012-03-31
218764,USD,2012,Q4,2012-08-24,2014-08-25,130062000.0,131664000.0,174000000.0,45000000.0,-10000000.0,78000000.0,-24000000.0,67000000.0,,35000000.0,287000000.0,-73000000.0,,0.0,-77000000.0,-78000000.0,-130000000.0,-35000000.0,-243000000.0,-36000000,CLX,2012-06-30
218764,USD,2013,Q1,2012-11-02,2013-11-01,130268000.0,131702000.0,133000000.0,44000000.0,40000000.0,-9000000.0,80000000.0,-32000000.0,,-57000000.0,208000000.0,-54000000.0,,,-54000000.0,-83000000.0,297000000.0,28000000.0,242000000.0,400000000,CLX,2012-09-30
218764,USD,2013,Q2,2013-02-05,2014-02-05,130991000.0,132444000.0,123000000.0,46000000.0,-11000000.0,-41000000.0,-9000000.0,-25000000.0,,-7000000.0,117000000.0,-48000000.0,,,60000000.0,-84000000.0,-349000000.0,36000000.0,-397000000.0,-222000000,CLX,2012-12-31
218764,USD,2013,Q3,2013-05-02,2014-05-02,131619000.0,133475000.0,134000000.0,46000000.0,-4000000.0,-15000000.0,-51000000.0,-10000000.0,,46000000.0,160000000.0,-32000000.0,,,-33000000.0,-83000000.0,-113000000.0,48000000.0,-148000000.0,-22000000,CLX,2013-03-31
218764,USD,2013,Q4,2013-08-23,2015-08-21,131422000.0,134255000.0,183000000.0,44000000.0,22000000.0,45000000.0,-30000000.0,56000000.0,,19000000.0,290000000.0,-56000000.0,,,-28000000.0,-85000000.0,-190000000.0,-107000000.0,-382000000.0,-124000000,CLX,2013-06-30
218764,USD,2014,Q1,2013-11-01,2014-11-03,130074000.0,132237000.0,139000000.0,43000000.0,21000000.0,-19000000.0,88000000.0,-44000000.0,,-63000000.0,178000000.0,-27000000.0,,,-27000000.0,-93000000.0,84000000.0,-119000000.0,-128000000.0,24000000,CLX,2013-09-30
218764,USD,2014,Q2,2014-02-05,2015-02-05,129836000.0,132278000.0,118000000.0,45000000.0,1000000.0,-126000000.0,-11000000.0,-28000000.0,,-87000000.0,32000000.0,-36000000.0,,,-35000000.0,-91000000.0,56000000.0,60000000.0,25000000.0,18000000,CLX,2013-12-31
218764,USD,2014,Q3,2014-05-02,2015-05-04,129318000.0,131555000.0,151000000.0,43000000.0,7000000.0,21000000.0,-55000000.0,13000000.0,,63000000.0,220000000.0,-24000000.0,,,-27000000.0,-93000000.0,51000000.0,-122000000.0,-164000000.0,23000000,CLX,2014-03-31
218764,USD,2014,Q4,2014-08-25,2016-08-16,129004000.0,130898000.0,171000000.0,46000000.0,-8000000.0,133000000.0,-2000000.0,60000000.0,,75000000.0,337000000.0,-50000000.0,,0.0,-49000000.0,-91000000.0,-251000000.0,17000000.0,-325000000.0,-35000000,CLX,2014-06-30
