SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
778513,USD,2011,Q2,2011-08-15,2012-08-14,150640734.0,150640734.0,-341182.0,,84123.0,229385.0,,,,,-27674.0,,,,,,21445.0,,21445.0,-6229,CMBG,2011-06-30
778513,USD,2011,Q3,2011-11-14,2012-11-09,152968308.0,152968308.0,-75020.0,,83112.0,-61313.0,,,,,-53221.0,,,,,,19459.0,,19459.0,-33762,CMBG,2011-09-30
778513,USD,2011,Q4,2012-08-13,2013-04-04,1521614.0,1521614.0,-21931.0,,390328.0,173069.0,,,,,541466.0,,,,,,60929.0,,60929.0,602395,CMBG,2011-12-31
778513,USD,2012,Q1,2012-05-15,2013-05-20,2877825.0,2877825.0,-930274.0,36783.0,345.0,-1013267.0,,,,,-1906413.0,-133530.0,,,-133530.0,,-5651.0,912925.0,907274.0,-1132667,CMBG,2012-03-31
778513,USD,2012,Q2,2012-08-22,2013-08-14,2896868.0,2896868.0,-878762.0,85454.0,1132.0,712134.0,,,,,-80042.0,-768310.0,,,-768310.0,,0.0,200003.0,200003.0,-640771,CMBG,2012-06-30
778513,USD,2012,Q3,2012-11-09,2013-12-26,3099268.0,3099268.0,-1949949.0,182776.0,735979.0,27383.0,,,,,-1003811.0,-1243372.0,,,-1243372.0,,0.0,5016375.0,5016375.0,2774810,CMBG,2012-09-30
778513,USD,2012,Q4,2013-08-14,2014-04-15,3665371.0,3665371.0,-3272534.0,-202968.0,708912.0,-1701860.0,,,,,-4468450.0,418491.0,,,418491.0,,5651.0,2787059.0,2792710.0,-1270447,CMBG,2012-12-31
778513,USD,2013,Q1,2013-09-12,2014-05-15,4668283.0,4668283.0,-5416046.0,216751.0,2662265.0,712118.0,,,,,-1824912.0,-28674.0,,2568995.0,2540321.0,,-725.0,,-725.0,712724,CMBG,2013-03-31
778513,USD,2013,Q2,2013-12-12,2014-08-14,5719075.0,5719075.0,-2504513.0,208827.0,283797.0,-773737.0,,,,,-2785626.0,-26600.0,,0.0,-26600.0,,-525.0,,-525.0,-2797472,CMBG,2013-06-30
778513,USD,2013,Q3,2013-12-26,2014-11-19,6155203.0,6229825.0,576891.0,217866.0,-2936985.0,-373511.0,,,,,-2515739.0,-90427.0,,0.0,-90427.0,,-525.0,4005071.0,4004546.0,1404984,CMBG,2013-09-30
778513,USD,2013,Q4,2014-04-15,2016-03-14,6628991.0,6554369.0,-6453365.0,197791.0,5276666.0,-350179.0,,,,,-1329087.0,-7338.0,,-2568995.0,-2576333.0,,37139.0,7556315.0,7593454.0,3710083,CMBG,2013-12-31
778513,USD,2014,Q1,2014-05-15,2015-05-15,7494815.0,7494815.0,-446531.0,217064.0,-1277681.0,-872197.0,,,,,-2379345.0,-19342.0,,,-19342.0,,-33457.0,1221980.0,1188523.0,-1217911,CMBG,2014-03-31
778513,USD,2014,Q2,2014-08-14,2015-08-13,7829314.0,7829314.0,-6674263.0,219951.0,3659658.0,451335.0,,,,,-2343319.0,-58195.0,,,-58195.0,,-71.0,9999976.0,9999905.0,7606217,CMBG,2014-06-30
778513,USD,2014,Q3,2014-11-19,2015-11-13,9131576.0,9131576.0,-2823280.0,223821.0,562890.0,-1367873.0,,,,,-3404442.0,-53512.0,,-190698.0,-244210.0,,60.0,-100000.0,-99940.0,-3747559,CMBG,2014-09-30
778513,USD,2014,Q4,2015-04-13,2017-03-13,10052671.0,10052671.0,-5530537.0,529669.0,2965009.0,442073.0,,,,,-1593786.0,-189565.0,,-1294850.0,-1484415.0,,1723.0,8019383.0,8021106.0,4954622,CMBG,2014-12-31
778513,USD,2015,Q1,2015-05-15,2016-05-09,11039208.0,11039208.0,-4287171.0,439242.0,1848064.0,-406030.0,,,,,-2405895.0,-749121.0,1480.0,,-747641.0,,,19591436.0,19591436.0,16374083,CMBG,2015-03-31
778513,USD,2015,Q2,2015-08-13,2016-08-09,11531497.0,11531497.0,-5026475.0,489289.0,1898592.0,-655317.0,,,,,-3293911.0,-3861645.0,0.0,,-3861645.0,,,-391988.0,-391988.0,-7493583,CMBG,2015-06-30
778513,USD,2015,Q3,2015-11-13,2016-11-08,11622756.0,11622756.0,-5142198.0,608792.0,1641346.0,19655.0,,,,,-2872405.0,-885263.0,0.0,,-885263.0,,,244199.0,244199.0,-3544707,CMBG,2015-09-30
778513,USD,2015,Q4,2016-03-14,2018-03-05,11695763.0,11695763.0,-4991877.0,557321.0,2112452.0,-856783.0,,,,,-3178887.0,-638929.0,0.0,-1568627.0,-2207556.0,,,203505.0,203505.0,-5221780,CMBG,2015-12-31
778513,USD,2016,Q1,2016-05-09,2017-05-08,11884066.0,11884066.0,-4210113.0,671649.0,137548.0,-181881.0,,,,,-3582797.0,-674736.0,,,-674736.0,,,5063251.0,5063251.0,782932,CMBG,2016-03-31
778513,USD,2016,Q2,2016-08-09,2017-08-08,13737722.0,13737722.0,-7197282.0,677488.0,2149147.0,-799028.0,,,,,-5169675.0,-486832.0,,,-486832.0,,,37549522.0,37549522.0,31802667,CMBG,2016-06-30
778513,USD,2016,Q3,2016-11-08,2017-11-08,14128465.0,14128465.0,-10661220.0,685274.0,6391030.0,265019.0,,,,,-3319897.0,-491771.0,,,-491771.0,,,510313.0,510313.0,-3354310,CMBG,2016-09-30
778513,USD,2016,Q4,2017-03-14,2019-02-19,14279379.0,14279379.0,-6139761.0,600590.0,1283334.0,460471.0,,,,,-3795366.0,-1080068.0,,,-1080068.0,,,162468.0,162468.0,-4863454,CMBG,2016-12-31
778513,USD,2017,Q1,2017-05-08,2018-05-07,14281745.0,14281745.0,-6161993.0,669739.0,1432144.0,-798553.0,,,,,-4858663.0,-1050262.0,,,-1050262.0,,,5514.0,5514.0,-5890648,CMBG,2017-03-31
778513,USD,2017,Q2,2017-08-08,2018-08-07,14298973.0,14298973.0,-6203518.0,699429.0,1469920.0,1114781.0,,,,,-2919388.0,-1986846.0,,,-1986846.0,,,-1289666.0,-1289666.0,-6063339,CMBG,2017-06-30
778513,USD,2017,Q3,2017-11-08,2018-11-06,14349569.0,14349569.0,-6202214.0,756223.0,1339075.0,-2066780.0,,,,,-6173696.0,-3964516.0,,,-3964516.0,,,-926060.0,-926060.0,-11006414,CMBG,2017-09-30
