SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
521210,USD,2010,Q2,2010-08-06,2011-08-08,81551000.0,82212000.0,12042000.0,6540000.0,5655000.0,-13073000.0,,,,,11164000.0,1181000.0,0.0,0.0,2054000.0,,,826000.0,1273000.0,12078000,CNVR,2010-06-30
521210,USD,2010,Q3,2010-11-08,2011-11-09,81228000.0,81814000.0,36177000.0,7040000.0,6407000.0,-29490000.0,,,,,20134000.0,-3197000.0,7947000.0,-41673000.0,-36039000.0,,0.0,-12236000.0,-12220000.0,-24253000,CNVR,2010-09-30
521210,USD,2010,Q4,2011-02-28,2013-02-27,80789000.0,81814000.0,21062000.0,7075000.0,6945000.0,-79000.0,,,,,35003000.0,-2912000.0,13820000.0,12000.0,11815000.0,,0.0,1342000.0,1418000.0,46823000,CNVR,2010-12-31
521210,USD,2011,Q1,2011-05-06,2012-05-09,80687000.0,81644000.0,16862000.0,6642000.0,1670000.0,4799000.0,,,,,29973000.0,-1918000.0,3000000.0,0.0,1989000.0,,0.0,-28804000.0,-28603000.0,5460000,CNVR,2011-03-31
521210,USD,2011,Q2,2011-08-08,2012-08-07,78981000.0,80059000.0,16981000.0,7909000.0,2916000.0,-12141000.0,,,,,15665000.0,-3209000.0,0.0,-68886000.0,-71178000.0,,0.0,-3566000.0,-2221000.0,-57243000,CNVR,2011-06-30
521210,USD,2011,Q3,2011-11-09,2012-11-08,80112000.0,81277000.0,37910000.0,8455000.0,3933000.0,-31462000.0,,,,,18836000.0,-3454000.0,0.0,-140202000.0,-142727000.0,,145000000.0,-61851000.0,83533000.0,-43847000,CNVR,2011-09-30
521210,USD,2011,Q4,2012-02-29,2014-03-03,81512000.0,82976000.0,29377000.0,11301000.0,7643000.0,2128000.0,,,,,50449000.0,-2573000.0,0.0,-7444000.0,-9076000.0,,22500000.0,-43869000.0,-20935000.0,17989000,CNVR,2011-12-31
521210,USD,2012,Q1,2012-05-09,2013-05-09,80339000.0,82106000.0,21571000.0,11447000.0,6565000.0,10659000.0,,,,,50242000.0,-3874000.0,,-148000.0,-2968000.0,,-62500000.0,3282000.0,-58510000.0,-8980000,CNVR,2012-03-31
521210,USD,2012,Q2,2012-08-07,2013-08-07,78720000.0,80336000.0,20336000.0,11616000.0,3944000.0,-14478000.0,,,,,21418000.0,-7791000.0,,-4000.0,-6729000.0,,67500000.0,-99245000.0,-30526000.0,-19540000,CNVR,2012-06-30
521210,USD,2012,Q3,2012-11-08,2013-11-12,75130000.0,76513000.0,23530000.0,11410000.0,5513000.0,-6605000.0,,,,,33848000.0,-2079000.0,,-2000.0,-1102000.0,,2500000.0,-6658000.0,-3533000.0,25678000,CNVR,2012-09-30
521210,USD,2012,Q4,2013-02-27,2014-03-03,75179000.0,76637000.0,36279000.0,9716000.0,3085000.0,1466000.0,,,,,50546000.0,-3728000.0,0.0,-87000.0,-2723000.0,,-32500000.0,-938000.0,-32739000.0,22804000,CNVR,2012-12-31
521210,USD,2013,Q1,2013-05-09,2014-05-09,75648000.0,77567000.0,26283000.0,9709000.0,7043000.0,6430000.0,,,,,49465000.0,-1401000.0,,0.0,-396000.0,,-62500000.0,5835000.0,-54266000.0,-7504000,CNVR,2013-03-31
521210,USD,2013,Q2,2013-08-07,2014-08-08,75531000.0,77413000.0,11875000.0,9725000.0,27357000.0,-18953000.0,,,,,30004000.0,-4618000.0,,0.0,-3663000.0,,22500000.0,-51565000.0,-28478000.0,-2066000,CNVR,2013-06-30
521210,USD,2013,Q3,2013-11-12,2014-11-07,71649000.0,73322000.0,17991000.0,9652000.0,13206000.0,-5859000.0,,,,,34990000.0,-6184000.0,,0.0,-684000.0,,90799000.0,-169615000.0,-77586000.0,-36311000,CNVR,2013-09-30
521210,USD,2013,Q4,2014-03-03,2014-03-03,66676000.0,68186000.0,45730000.0,10312000.0,5129000.0,2922000.0,,,,,64093000.0,-1491000.0,0.0,0.0,-1491000.0,,-55000000.0,376000.0,-54521000.0,-9438000,CNVR,2013-12-31
521210,USD,2014,Q1,2014-05-09,2014-05-09,67087000.0,68727000.0,54463000.0,9924000.0,-27402000.0,3306000.0,,,,,40291000.0,-1738000.0,,48527000.0,46789000.0,,-80000000.0,-15235000.0,-92998000.0,9125000,CNVR,2014-03-31
521210,USD,2014,Q2,2014-08-08,2014-08-08,65820000.0,67202000.0,17666000.0,9288000.0,139000.0,27939000.0,,,,,55032000.0,-4928000.0,,0.0,-4928000.0,,5000000.0,-61998000.0,-56757000.0,-6870000,CNVR,2014-06-30
