SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
811353,USD,2016,Q3,2016-12-09,2017-12-07,18420000.0,18420000.0,-6694000.0,1161000.0,3825000.0,-1117000.0,,,,,-2825000.0,-1044000.0,,,-1044000.0,,,3523000.0,144571000.0,140702000,COUP,2016-10-31
811353,USD,2016,Q4,2017-03-11,2018-03-28,50094000.0,50094000.0,-6608000.0,1310000.0,5207000.0,-10320000.0,,,,,-10411000.0,-991000.0,,-6750000.0,-7741000.0,,,202000.0,-772000.0,-18924000,COUP,2017-01-31
811353,USD,2017,Q1,2017-06-09,2018-06-06,50577000.0,50577000.0,-10038000.0,1536000.0,6422000.0,9023000.0,,,,,6943000.0,-996000.0,,-140000.0,-1136000.0,,,7553000.0,30593000.0,36400000,COUP,2017-04-30
811353,USD,2017,Q2,2017-09-08,2018-09-06,52749000.0,52749000.0,-13742000.0,2077000.0,8707000.0,12136000.0,,,,,9178000.0,-1105000.0,,-38933000.0,-40038000.0,,,1855000.0,1079000.0,-29781000,COUP,2017-07-31
811353,USD,2017,Q3,2017-12-07,2018-12-10,53779000.0,53779000.0,-11302000.0,1944000.0,8823000.0,5712000.0,,,,,5177000.0,-1486000.0,,-520000.0,-2006000.0,,,7536000.0,7536000.0,10707000,COUP,2017-10-31
811353,USD,2017,Q4,2018-03-28,2018-03-28,54891000.0,54891000.0,-8723000.0,2005000.0,10243000.0,-5053000.0,,,,,-1528000.0,-901000.0,,-6482000.0,-7383000.0,,223675000.0,2380000.0,202767000.0,193856000,COUP,2018-01-31
811353,USD,2018,Q1,2018-06-06,2018-06-06,55873000.0,55873000.0,-15454000.0,2015000.0,15252000.0,10823000.0,,,,,12636000.0,-1124000.0,,-1178000.0,-2302000.0,,,7432000.0,6793000.0,17127000,COUP,2018-04-30
811353,USD,2018,Q2,2018-09-06,2018-09-06,56966000.0,56966000.0,-13854000.0,1982000.0,17084000.0,6096000.0,,,,,11308000.0,-2292000.0,-160500000.0,0.0,-162792000.0,,,3515000.0,3515000.0,-147969000,COUP,2018-07-31
811353,USD,2018,Q3,2018-12-10,2018-12-10,58212000.0,58212000.0,-9645000.0,2723000.0,17746000.0,-6805000.0,,,,,4019000.0,-1454000.0,-16997000.0,-48033000.0,-66484000.0,,,8005000.0,8005000.0,-54460000,COUP,2018-10-31
811353,USD,2018,Q4,2019-03-27,2019-03-27,59813000.0,59813000.0,-16571000.0,3722000.0,18920000.0,3402000.0,,,,,9473000.0,-2658000.0,-1286000.0,-94674000.0,-98618000.0,,-639000.0,2790000.0,2790000.0,-86355000,COUP,2019-01-31
811353,USD,2019,Q1,2019-06-04,2019-06-04,60785000.0,60785000.0,-20468000.0,4036000.0,22609000.0,12616000.0,,,,,18793000.0,-2654000.0,179321000.0,,176667000.0,,,9735000.0,9735000.0,205195000,COUP,2019-04-30
811353,USD,2019,Q2,2019-09-05,2019-09-05,62038000.0,62038000.0,-19994000.0,7294000.0,31384000.0,-17432000.0,,,,,1252000.0,-3519000.0,-194202000.0,-210468000.0,-408189000.0,,786567000.0,6570000.0,674399000.0,267462000,COUP,2019-07-31
811353,USD,2019,Q3,2019-12-03,2019-12-03,63057000.0,63057000.0,-26317000.0,7835000.0,35837000.0,8477000.0,,,,,25832000.0,-3689000.0,-59768000.0,1963000.0,-61494000.0,,-410000.0,9245000.0,8835000.0,-26827000,COUP,2019-10-31
811353,USD,2019,Q4,2020-03-20,2020-03-20,64056000.0,64056000.0,-24053000.0,9388000.0,35968000.0,976000.0,,,,,22279000.0,-2108000.0,-242825000.0,-99901000.0,-344834000.0,,0.0,3686000.0,3686000.0,-318869000,COUP,2020-01-31
