SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
494803,USD,2013,Q4,2014-02-11,2016-03-10,10538000.0,10538000.0,-19973000.0,232000.0,3118000.0,2080000.0,,,,,-14543000.0,-308000.0,13300000.0,0.0,12992000.0,,-440000.0,,110000.0,-1441000,CSLT,2013-12-31
494803,USD,2014,Q1,2014-05-12,2015-05-12,26970000.0,26970000.0,-24281000.0,282000.0,6482000.0,1456000.0,,,,,-16061000.0,-656000.0,-17733000.0,,-18389000.0,,-2102000.0,,189363000.0,154913000,CSLT,2014-03-31
494803,USD,2014,Q2,2014-08-11,2015-08-05,89520000.0,89520000.0,-21776000.0,322000.0,4251000.0,-2371000.0,,,,,-19574000.0,-311000.0,-123442000.0,0.0,-123652000.0,,-1679000.0,,-1573000.0,-144799000,CSLT,2014-06-30
494803,USD,2014,Q3,2014-11-12,2015-11-04,89698000.0,89698000.0,-20199000.0,340000.0,5668000.0,6733000.0,,,,,-7458000.0,-431000.0,-2448000.0,0.0,-2879000.0,,3781000.0,,300000.0,-10037000,CSLT,2014-09-30
494803,USD,2014,Q4,2015-03-12,2017-03-01,91336000.0,91336000.0,-19684000.0,410000.0,6020000.0,1710000.0,,,,,-11544000.0,-462000.0,2834000.0,0.0,2372000.0,,-3781000.0,,1366000.0,-7806000,CSLT,2014-12-31
494803,USD,2015,Q1,2015-05-12,2016-05-10,91786000.0,91786000.0,-19643000.0,454000.0,5169000.0,831000.0,,,,,-13189000.0,-887000.0,22146000.0,,21259000.0,,-94000.0,,1546000.0,9616000,CSLT,2015-03-31
494803,USD,2015,Q2,2015-08-05,2016-08-08,93804000.0,93804000.0,-21212000.0,456000.0,5403000.0,-1859000.0,,,,,-17212000.0,-806000.0,25449000.0,-3125000.0,20518000.0,,0.0,,1186000.0,4492000,CSLT,2015-06-30
494803,USD,2015,Q3,2015-11-04,2016-11-02,94409000.0,94409000.0,-20007000.0,468000.0,6175000.0,-1146000.0,,,,,-14510000.0,-1806000.0,11100000.0,-1000000.0,8294000.0,,0.0,,354000.0,-5862000,CSLT,2015-09-30
494803,USD,2015,Q4,2016-03-10,2017-03-01,95013000.0,95013000.0,-19058000.0,646000.0,5978000.0,477000.0,,,,,-11957000.0,-1877000.0,6549000.0,0.0,4672000.0,,0.0,,764000.0,-6521000,CSLT,2015-12-31
494803,USD,2016,Q1,2016-05-10,2017-04-28,96291000.0,96291000.0,-21355000.0,783000.0,6832000.0,-250000.0,,,,,-13990000.0,-466000.0,29151000.0,,28685000.0,,0.0,,1266000.0,15961000,CSLT,2016-03-31
