SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
773452,USD,2011,Q2,2011-08-03,2012-08-06,27767000.0,27767000.0,-2169000.0,3238000.0,9095000.0,-9491000.0,,,,,673000.0,-7571000.0,,86000.0,-7485000.0,,79071000.0,,72219000.0,65682000,CVGI,2011-06-30
773452,USD,2011,Q3,2011-11-02,2012-11-02,27768000.0,28152000.0,7376000.0,3316000.0,803000.0,-1158000.0,,,,,10337000.0,-3914000.0,,-2415000.0,-6680000.0,,0.0,,-111000.0,1144000,CVGI,2011-09-30
773452,USD,2011,Q4,2012-03-13,2014-03-17,28092000.0,28655000.0,10106000.0,3121000.0,1762000.0,-5537000.0,,,,,9452000.0,-6764000.0,,0.0,-6413000.0,,0.0,5000.0,-1178000.0,2637000,CVGI,2011-12-31
773452,USD,2012,Q1,2012-05-04,2013-05-03,28171000.0,28373000.0,11992000.0,3082000.0,-181000.0,-9174000.0,,,,,5719000.0,-2873000.0,,,-3149000.0,,,,,2899000,CVGI,2012-03-31
773452,USD,2012,Q2,2012-08-06,2013-08-02,28171000.0,28396000.0,13153000.0,3300000.0,2025000.0,-15503000.0,,,,,2975000.0,-3890000.0,,,-4594000.0,,,,,-3283000,CVGI,2012-06-30
773452,USD,2012,Q3,2012-11-02,2013-11-08,28172000.0,28461000.0,30473000.0,3618000.0,-28751000.0,10271000.0,,,,,15611000.0,-6245000.0,,,-6246000.0,,,,,11972000,CVGI,2012-09-30
773452,USD,2012,Q4,2013-03-11,2015-03-16,28406000.0,28482000.0,-5588000.0,4067000.0,1298000.0,-33000.0,,,,,-256000.0,-4190000.0,,-24520000.0,-28770000.0,,,5000.0,-1178000.0,-31174000,CVGI,2012-12-31
773452,USD,2013,Q1,2013-05-03,2014-05-09,28463000.0,28463000.0,-4616000.0,4318000.0,636000.0,-3133000.0,,,,,-2795000.0,-2293000.0,,,-2544000.0,,,,,-3094000,CVGI,2013-03-31
773452,USD,2013,Q2,2013-08-02,2014-08-08,28491000.0,28491000.0,-1663000.0,4206000.0,3569000.0,1180000.0,,,,,7292000.0,-4897000.0,,,-5294000.0,,,,,-404000,CVGI,2013-06-30
773452,USD,2013,Q3,2013-11-08,2014-11-07,28563000.0,28563000.0,-7267000.0,7060000.0,-955000.0,12713000.0,,,,,11551000.0,-2512000.0,,,-2512000.0,,,37000.0,37000.0,10191000,CVGI,2013-09-30
773452,USD,2013,Q4,2014-03-17,2016-03-11,28819000.0,28819000.0,1095000.0,4999000.0,2585000.0,-5573000.0,,,,,3106000.0,-2602000.0,,,-2599000.0,,0.0,1000.0,-974000.0,-2367000,CVGI,2013-12-31
773452,USD,2014,Q1,2014-05-09,2015-05-08,28860000.0,28860000.0,-508000.0,4337000.0,2366000.0,-4900000.0,,,,,1295000.0,-1464000.0,,,-1464000.0,,1041000.0,,1041000.0,1253000,CVGI,2014-03-31
773452,USD,2014,Q2,2014-08-08,2015-08-05,28868000.0,29204000.0,2738000.0,4638000.0,2578000.0,-7980000.0,,,,,1974000.0,-2462000.0,,,-5102000.0,,0.0,,0.0,-3688000,CVGI,2014-06-30
773452,USD,2014,Q3,2014-11-07,2015-11-04,28883000.0,29258000.0,1164000.0,4562000.0,4628000.0,739000.0,,,,,11093000.0,-5061000.0,,,-5061000.0,,0.0,,0.0,5811000,CVGI,2014-09-30
773452,USD,2014,Q4,2015-03-16,2017-03-09,29093000.0,29146000.0,4237000.0,4710000.0,1178000.0,-14968000.0,,,,,-4843000.0,-4028000.0,,,-662000.0,,0.0,,-527000.0,-5980000,CVGI,2014-12-31
773452,USD,2015,Q1,2015-05-08,2016-05-05,29149000.0,29206000.0,3593000.0,4478000.0,3436000.0,4487000.0,,,,,15994000.0,-2650000.0,,,-2689000.0,,,,,11096000,CVGI,2015-03-31
