SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
821879,USD,2011,Q2,2011-08-11,2012-08-08,125100000.0,125100000.0,-177100000.0,207200000.0,-31200000.0,-94600000.0,,,,,-95700000.0,-51800000.0,,-31100000.0,-556900000.0,,802700000.0,,781600000.0,160000000,CZR,2011-06-30
821879,USD,2011,Q3,2011-11-10,2012-11-08,125000000.0,125000000.0,-184600000.0,219100000.0,71600000.0,80000000.0,,,,,186100000.0,-94600000.0,-9800000.0,12100000.0,-83800000.0,,-10900000.0,,-4500000.0,110200000,CZR,2011-09-30
821879,USD,2011,Q4,2012-03-15,2014-03-17,125100000.0,125100000.0,-224900000.0,200400000.0,39100000.0,-219800000.0,,,,,-205200000.0,-110900000.0,-3300000.0,0.0,-174200000.0,,143100000.0,,127300000.0,-246100000,CZR,2011-12-31
821879,USD,2012,Q1,2012-05-09,2013-05-09,125200000.0,125200000.0,-288400000.0,225800000.0,133900000.0,72000000.0,,,,,143300000.0,-82700000.0,-4700000.0,,-14800000.0,,87500000.0,17000000.0,85700000.0,230100000,CZR,2012-03-31
821879,USD,2012,Q2,2012-08-08,2013-08-09,125300000.0,125300000.0,-161300000.0,221900000.0,12200000.0,-144600000.0,,,,,-71800000.0,-109300000.0,-1300000.0,15200000.0,-85400000.0,,8000000.0,400000.0,6800000.0,-141000000,CZR,2012-06-30
821879,USD,2012,Q3,2012-11-08,2013-11-08,125300000.0,125300000.0,-502600000.0,225000000.0,296700000.0,166800000.0,,,,,185900000.0,-111400000.0,-3000000.0,-7500000.0,-742200000.0,,755600000.0,0.0,757500000.0,202300000,CZR,2012-09-30
821879,USD,2012,Q4,2013-03-18,2015-03-16,124200000.0,124200000.0,-150700000.0,201300000.0,-97800000.0,-177200000.0,,,,,-224400000.0,-203600000.0,2000000.0,-3700000.0,-382600000.0,,649900000.0,-400000.0,623000000.0,566600000,CZR,2012-12-31
821879,USD,2013,Q1,2013-05-09,2014-05-09,125300000.0,125300000.0,-174700000.0,206300000.0,-72100000.0,-6800000.0,,,,,-47300000.0,-148100000.0,-700000.0,0.0,657800000.0,,-200300000.0,,-273600000.0,337900000,CZR,2013-03-31
821879,USD,2013,Q2,2013-08-09,2014-08-11,125500000.0,125500000.0,-202800000.0,177100000.0,-3200000.0,21500000.0,,,,,-7400000.0,-172200000.0,15100000.0,50400000.0,-84300000.0,,-234400000.0,12600000.0,-190000000.0,-284700000,CZR,2013-06-30
821879,USD,2013,Q3,2013-11-08,2013-11-08,126300000.0,126300000.0,-780800000.0,183700000.0,501200000.0,139600000.0,,,,,43700000.0,-146400000.0,14700000.0,-8600000.0,-348400000.0,,142100000.0,3400000.0,133500000.0,-102600000,CZR,2013-09-30
