SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
596024,USD,2011,Q2,2011-09-08,2012-08-31,69044000.0,70720000.0,145703000.0,13147000.0,-116870000.0,6197000.0,,,,,48177000.0,-17277000.0,-26484000.0,,-43761000.0,,-11000000.0,1911000.0,-12098000.0,-7682000,DBI,2011-07-31
596024,USD,2011,Q3,2011-12-02,2012-11-30,82428000.0,89478000.0,53669000.0,12478000.0,5790000.0,-6469000.0,,,,,65468000.0,-21284000.0,98764000.0,,77480000.0,-92401000.0,0.0,1063000.0,-90888000.0,52060000,DBI,2011-10-31
596024,USD,2011,Q4,2012-03-27,2014-03-27,86488000.0,93106000.0,24395000.0,13019000.0,14899000.0,30928000.0,,,,,83241000.0,-19351000.0,-84335000.0,,-103790000.0,-6458000.0,0.0,1327000.0,-2728000.0,-22672000,DBI,2012-01-31
596024,USD,2012,Q1,2012-06-01,2013-06-07,87358000.0,89316000.0,38607000.0,13506000.0,31531000.0,-48125000.0,,,,,35519000.0,-22797000.0,-22765000.0,,-45562000.0,-7371000.0,,7723000.0,7587000.0,-2456000,DBI,2012-04-30
596024,USD,2012,Q2,2012-08-31,2013-09-06,88908000.0,90512000.0,29318000.0,14086000.0,18126000.0,4425000.0,,,,,65955000.0,-24244000.0,-53551000.0,,-77795000.0,-8680000.0,,2476000.0,-3648000.0,-15488000,DBI,2012-07-31
596024,USD,2012,Q3,2012-11-30,2013-12-06,89328000.0,91046000.0,50115000.0,14635000.0,30976000.0,-19986000.0,,,,,75740000.0,-33162000.0,125966000.0,,92804000.0,-97029000.0,,1045000.0,-95281000.0,73263000,DBI,2012-10-31
596024,USD,2012,Q4,2013-03-28,2015-03-26,89790000.0,91550000.0,27146000.0,15775000.0,18724000.0,19705000.0,,,,,81350000.0,-21831000.0,-35732000.0,0.0,-88855000.0,-16135000.0,,4312000.0,-45720000.0,-53225000,DBI,2013-01-31
596024,USD,2013,Q1,2013-06-07,2014-06-06,90114000.0,91556000.0,34515000.0,16300000.0,11884000.0,-20385000.0,,,,,42314000.0,-21639000.0,-20580000.0,,-42219000.0,0.0,,1913000.0,1213000.0,1308000,DBI,2013-04-30
596024,USD,2013,Q2,2013-09-06,2014-09-05,90380000.0,91796000.0,33720000.0,16779000.0,25101000.0,29156000.0,,,,,104756000.0,-23627000.0,-86280000.0,0.0,-109907000.0,-11254000.0,,1404000.0,-8325000.0,-13476000,DBI,2013-07-31
596024,USD,2013,Q3,2013-12-06,2014-12-05,90645000.0,92090000.0,54961000.0,15802000.0,24808000.0,-38480000.0,,,,,57091000.0,-22214000.0,-1963000.0,0.0,-29977000.0,-11297000.0,,2692000.0,-6484000.0,17980000,DBI,2013-10-31
596024,USD,2013,Q4,2014-03-27,2016-03-24,90749000.0,92162000.0,28106000.0,15356000.0,10439000.0,43313000.0,,,,,97214000.0,-18932000.0,-40027000.0,0.0,-59306000.0,-11303000.0,,-1358000.0,-12796000.0,25112000,DBI,2014-01-31
596024,USD,2014,Q1,2014-06-06,2015-06-04,90824000.0,92107000.0,38639000.0,16346000.0,2713000.0,-43162000.0,,,,,14536000.0,-25833000.0,49246000.0,,23126000.0,-16975000.0,,660000.0,-16783000.0,20879000,DBI,2014-04-30
596024,USD,2014,Q2,2014-09-05,2015-09-03,90120000.0,91126000.0,33970000.0,17577000.0,3465000.0,28191000.0,,,,,83203000.0,-22141000.0,38307000.0,-25187000.0,-59315000.0,-16811000.0,,-52871000.0,-69740000.0,-45494000,DBI,2014-07-31
596024,USD,2014,Q3,2014-12-05,2015-12-02,88781000.0,89810000.0,49554000.0,16839000.0,3542000.0,-36183000.0,,,,,33752000.0,-24425000.0,41680000.0,-135000.0,21207000.0,-16646000.0,,-29847000.0,-45971000.0,8988000,DBI,2014-10-31
596024,USD,2014,Q4,2015-03-26,2017-03-23,88271000.0,89405000.0,30864000.0,17481000.0,7355000.0,9847000.0,,,,,65547000.0,-25727000.0,-59429000.0,86000.0,-90500000.0,-16480000.0,,1840000.0,-12270000.0,-37223000,DBI,2015-01-31
596024,USD,2015,Q1,2015-06-04,2016-06-02,88524000.0,89624000.0,47366000.0,17879000.0,2103000.0,-17957000.0,,,,,49391000.0,-26710000.0,136234000.0,0.0,109709000.0,-17607000.0,,2601000.0,-14715000.0,147697000,DBI,2015-04-30
596024,USD,2015,Q2,2015-09-03,2016-09-01,88713000.0,89693000.0,37610000.0,18833000.0,4739000.0,3997000.0,,,,,65179000.0,-24269000.0,-77998000.0,0.0,-104804000.0,-17685000.0,,830000.0,-16229000.0,-55861000,DBI,2015-07-31
596024,USD,2015,Q3,2015-12-02,2016-12-01,87493000.0,88369000.0,39295000.0,18125000.0,1545000.0,-28220000.0,,,,,30745000.0,-28873000.0,12581000.0,0.0,-11721000.0,-17263000.0,,-63040000.0,-79974000.0,-60988000,DBI,2015-10-31
596024,USD,2015,Q4,2016-03-24,2017-03-23,85514000.0,86318000.0,11763000.0,18740000.0,19269000.0,47564000.0,,,,,97336000.0,-24087000.0,2792000.0,184000.0,-24296000.0,-17165000.0,,-112480000.0,-130564000.0,-57524000,DBI,2016-01-31
596024,USD,2016,Q1,2016-06-02,2017-05-25,81953000.0,82705000.0,30014000.0,19753000.0,6705000.0,-46658000.0,,,,,9814000.0,-26039000.0,127769000.0,-60411000.0,34678000.0,-16337000.0,,243000.0,-17136000.0,27356000,DBI,2016-04-30
596024,USD,2016,Q2,2016-09-01,2017-08-25,82053000.0,82655000.0,25032000.0,20636000.0,6699000.0,-1037000.0,,,,,51330000.0,-25895000.0,-6273000.0,0.0,-32168000.0,-16346000.0,,186000.0,-16222000.0,2940000,DBI,2016-07-31
596024,USD,2016,Q3,2016-12-01,2017-11-22,82026000.0,82537000.0,38963000.0,20640000.0,2998000.0,-12986000.0,,,,,49615000.0,-21223000.0,24068000.0,930000.0,3393000.0,-16415000.0,,-39512000.0,-57244000.0,-4236000,DBI,2016-10-31
596024,USD,2016,Q4,2017-03-23,2017-03-23,80112000.0,80643000.0,30526000.0,20610000.0,-15571000.0,66582000.0,,,,,102147000.0,-14423000.0,-20725000.0,-295000.0,-30192000.0,-15975000.0,,-4638000.0,-19853000.0,52102000,DBI,2017-01-31
596024,USD,2017,Q1,2017-05-25,2017-05-25,80217000.0,80732000.0,22967000.0,20872000.0,6425000.0,-42946000.0,,,,,7318000.0,-18314000.0,-664000.0,0.0,-24667000.0,-15977000.0,,328000.0,-15394000.0,-32743000,DBI,2017-04-30
596024,USD,2017,Q2,2017-08-25,2017-08-25,80317000.0,80714000.0,28599000.0,21100000.0,3626000.0,-16006000.0,,,,,37319000.0,-9825000.0,-772000.0,0.0,-10597000.0,-15992000.0,,30000.0,-16062000.0,10660000,DBI,2017-07-31
596024,USD,2017,Q3,2017-11-22,2017-11-22,80112000.0,80647000.0,4037000.0,19472000.0,37856000.0,32574000.0,,,,,93939000.0,-11413000.0,-770000.0,0.0,-12183000.0,-15921000.0,,-8600000.0,-25499000.0,56257000,DBI,2017-10-31
596024,USD,2017,Q4,2018-03-23,2018-03-23,79994000.0,80655000.0,11701000.0,18772000.0,11210000.0,10757000.0,,,,,52440000.0,-16730000.0,56919000.0,0.0,-11518000.0,-15933000.0,,166000.0,-14474000.0,26448000,DBI,2018-01-31
596024,USD,2018,Q1,2018-06-01,2018-06-01,80108000.0,80758000.0,24297000.0,18011000.0,10715000.0,-27728000.0,,,,,25295000.0,-18185000.0,51809000.0,,17635000.0,-19934000.0,,764000.0,-21700000.0,21230000,DBI,2018-04-30
