SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
998407,USD,2014,Q4,2015-02-07,2017-02-24,48475849.0,48475849.0,1991000.0,6166000.0,1213000.0,-3520000.0,,,,,5850000.0,-96761000.0,,,-105406000.0,-10661000.0,62685000.0,47228000.0,98454000.0,-1102000,DOC,2014-12-31
998407,USD,2015,Q1,2015-05-08,2016-05-06,65649478.0,65649478.0,-448000.0,8240000.0,-558000.0,2491000.0,,,,,9725000.0,-204756000.0,,,-209376000.0,-15792000.0,-65466000.0,301567000.0,219502000.0,19851000,DOC,2015-03-31
998407,USD,2015,Q2,2015-08-10,2016-08-04,70376959.0,74267284.0,3297000.0,10351000.0,-148000.0,-765000.0,,,,,12735000.0,-131637000.0,,,-142648000.0,-16059000.0,117500000.0,16221000.0,116688000.0,-13225000,DOC,2015-06-30
998407,USD,2015,Q3,2015-11-09,2016-11-03,71034747.0,75104821.0,3983000.0,12476000.0,-448000.0,3180000.0,,,,,19191000.0,-294430000.0,,,-298082000.0,-16174000.0,281480000.0,-466000.0,261060000.0,-17831000,DOC,2015-09-30
998407,USD,2015,Q4,2016-02-29,2018-03-01,83941712.0,92146709.0,5909000.0,14404000.0,-496000.0,-2116000.0,,,,,17701000.0,-123933000.0,,2000000.0,-149610000.0,-16258000.0,-78536000.0,226707000.0,130334000.0,-1575000,DOC,2015-12-31
998407,USD,2016,Q1,2016-05-06,2017-05-05,102704008.0,107148380.0,5424000.0,16010000.0,-664000.0,-622000.0,,,,,20148000.0,-199696000.0,,,-197038000.0,-19870000.0,-103041000.0,321238000.0,196653000.0,19763000,DOC,2016-03-31
998407,USD,2016,Q2,2016-08-04,2017-08-04,131481329.0,135944722.0,7184000.0,19799000.0,-1117000.0,13527000.0,,,,,39393000.0,-679781000.0,,,-682285000.0,-24985000.0,256452000.0,431082000.0,657931000.0,15039000,DOC,2016-06-30
998407,USD,2016,Q3,2016-11-03,2017-11-03,134608396.0,138880787.0,10294000.0,23969000.0,-3023000.0,-1358000.0,,,,,29882000.0,-173789000.0,,,-179055000.0,-30775000.0,152443000.0,-783000.0,119624000.0,-29549000,DOC,2016-09-30
998407,USD,2016,Q4,2017-02-24,2019-02-28,135778723.0,139893683.0,8620000.0,26811000.0,1442000.0,901000.0,,,,,37774000.0,-198476000.0,,-5847000.0,-204438000.0,-30786000.0,204414000.0,1877000.0,173759000.0,7095000,DOC,2016-12-31
998407,USD,2017,Q1,2017-05-05,2018-05-04,138986629.0,142605930.0,6716000.0,27933000.0,-1206000.0,443000.0,,,,,33886000.0,-178171000.0,,1375000.0,-163747000.0,-31425000.0,-10715000.0,277886000.0,231854000.0,101993000,DOC,2017-03-31
998407,USD,2017,Q2,2017-08-04,2018-08-03,155366080.0,161012360.0,10331000.0,28123000.0,-4555000.0,21023000.0,,,,,54922000.0,-568884000.0,,-20952000.0,-596821000.0,-34623000.0,390383000.0,82072000.0,435924000.0,-105975000,DOC,2017-06-30
998407,USD,2017,Q3,2017-11-03,2018-11-05,177847424.0,183298145.0,12539000.0,32975000.0,-320000.0,-5760000.0,,,,,39434000.0,-165884000.0,,-5694000.0,-202248000.0,-36317000.0,-225559000.0,420777000.0,156229000.0,-6585000,DOC,2017-09-30
998407,USD,2017,Q4,2018-03-01,2020-02-27,180292303.0,186008761.0,10187000.0,36128000.0,-1026000.0,6940000.0,,,,,52229000.0,-358349000.0,,15522000.0,-339822000.0,-41343000.0,287448000.0,40087000.0,285396000.0,-2197000,DOC,2017-12-31
998407,USD,2018,Q1,2018-05-04,2019-05-02,181809570.0,187317243.0,11332000.0,38576000.0,-2121000.0,-6897000.0,,,,,40890000.0,-87370000.0,,-2720000.0,-106422000.0,-42332000.0,109843000.0,5316000.0,69355000.0,3823000,DOC,2018-03-31
998407,USD,2018,Q2,2018-08-03,2019-08-08,182002062.0,187431132.0,12062000.0,37725000.0,561000.0,11075000.0,,,,,61423000.0,4500000.0,,500000.0,7083000.0,-42171000.0,-22652000.0,351000.0,-65830000.0,2676000,DOC,2018-06-30
998407,USD,2018,Q3,2018-11-05,2019-11-06,182064064.0,187526762.0,23771000.0,42723000.0,-14974000.0,-8369000.0,,,,,43151000.0,30907000.0,,5000000.0,38719000.0,-42212000.0,-40031000.0,832000.0,-86633000.0,-4763000,DOC,2018-09-30
998407,USD,2018,Q4,2019-02-28,2021-02-26,182064064.0,187526762.0,11156000.0,39365000.0,-461000.0,13170000.0,,,,,63230000.0,-2048000.0,,-6406000.0,-16563000.0,-42256000.0,9822000.0,2057000.0,-31969000.0,14698000,DOC,2018-12-31
998407,USD,2019,Q1,2019-05-02,2020-05-08,182672863.0,188497308.0,11500000.0,36449000.0,-147000.0,-21375000.0,,,,,26427000.0,-17256000.0,,-150000.0,-37666000.0,-42585000.0,12092000.0,30915000.0,-2874000.0,-14113000,DOC,2019-03-31
998407,USD,2019,Q2,2019-08-08,2020-08-07,185239471.0,190815892.0,7316000.0,36285000.0,5606000.0,20580000.0,,,,,69787000.0,-16425000.0,,150000.0,-24001000.0,-42821000.0,-17405000.0,17599000.0,-43951000.0,1835000,DOC,2019-06-30
998407,USD,2019,Q3,2019-11-06,2020-11-06,185770251.0,191626320.0,15619000.0,36614000.0,382000.0,-8706000.0,,,,,43909000.0,-71682000.0,,-1233000.0,-84737000.0,-42967000.0,34592000.0,52005000.0,42669000.0,1841000,DOC,2019-09-30
998407,USD,2019,Q4,2020-02-27,2021-02-26,185770251.0,191626320.0,42751000.0,37088000.0,-26888000.0,8103000.0,,,,,61054000.0,-26921000.0,,-25843000.0,-108904000.0,-43683000.0,69537000.0,17087000.0,41481000.0,-6369000,DOC,2019-12-31
998407,USD,2020,Q1,2020-05-08,2021-05-06,196211728.0,202842340.0,14960000.0,36747000.0,3086000.0,-19935000.0,,,,,34858000.0,-16089000.0,,,-22076000.0,-44535000.0,-202990000.0,239139000.0,-12525000.0,257000,DOC,2020-03-31
