SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
113753,USD,2010,Q2,2010-08-09,2011-08-05,39819000.0,40023000.0,27998000.0,5196000.0,1883000.0,-14246000.0,,,,,20831000.0,-13790000.0,,,-13790000.0,,-166000.0,509000.0,620000.0,8484000,DRQ,2010-06-30
113753,USD,2010,Q3,2010-11-04,2011-11-04,39830000.0,40035000.0,27657000.0,5206000.0,6654000.0,17761000.0,,,,,57278000.0,-26454000.0,,,-26454000.0,,-173000.0,1628000.0,1457000.0,32071000,DRQ,2010-09-30
113753,USD,2010,Q4,2011-02-28,2013-02-28,39935000.0,40210000.0,20874000.0,5589000.0,-1067000.0,-19254000.0,,,,,6142000.0,-25594000.0,,,-25594000.0,,-169000.0,6689000.0,8178000.0,-12124000,DRQ,2010-12-31
113753,USD,2011,Q1,2011-05-09,2012-05-07,40049000.0,40320000.0,21672000.0,5755000.0,581000.0,12563000.0,,,,,40571000.0,-18764000.0,,,-18764000.0,,-172000.0,310000.0,186000.0,22426000,DRQ,2011-03-31
113753,USD,2011,Q2,2011-08-05,2012-08-06,40058000.0,40312000.0,22208000.0,4851000.0,1470000.0,-33658000.0,,,,,-5129000.0,-12052000.0,,,-12052000.0,,-75000.0,76000.0,202000.0,-18158000,DRQ,2011-06-30
113753,USD,2011,Q3,2011-11-04,2012-11-09,40059000.0,40296000.0,23263000.0,6367000.0,-383000.0,-13444000.0,,,,,15803000.0,-12040000.0,,,-12040000.0,,-10000.0,18000.0,56000.0,5454000,DRQ,2011-09-30
113753,USD,2011,Q4,2012-02-27,2014-02-28,40118000.0,40360000.0,28124000.0,6040000.0,1425000.0,15020000.0,,,,,50609000.0,-11331000.0,,,-11331000.0,,-12000.0,3791000.0,4654000.0,43004000,DRQ,2011-12-31
113753,USD,2012,Q1,2012-05-07,2013-05-03,40184000.0,40411000.0,28797000.0,6058000.0,1071000.0,-37410000.0,,,,,-1484000.0,-13710000.0,,,-13710000.0,,,491000.0,544000.0,-13088000,DRQ,2012-03-31
113753,USD,2012,Q2,2012-08-06,2013-08-02,40268000.0,40453000.0,29803000.0,6373000.0,229000.0,-67416000.0,,,,,-31011000.0,-12937000.0,,,-12937000.0,,,6713000.0,7669000.0,-37345000,DRQ,2012-06-30
113753,USD,2012,Q3,2012-11-09,2013-11-01,40423000.0,40589000.0,29657000.0,6979000.0,1184000.0,-15275000.0,,,,,22545000.0,-12656000.0,,,-12656000.0,,,2836000.0,3046000.0,15278000,DRQ,2012-09-30
113753,USD,2012,Q4,2013-02-28,2015-02-27,40453000.0,40639000.0,30952000.0,6814000.0,2354000.0,-38329000.0,,,,,1791000.0,-9696000.0,,,-9696000.0,,-39000.0,769000.0,998000.0,-6230000,DRQ,2012-12-31
