SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
372651,USD,2008,Q4,2009-05-22,2011-05-24,323000000.0,323000000.0,-42000000.0,46000000.0,25000000.0,186000000.0,,,,,215000000.0,-25000000.0,0.0,0.0,20000000.0,,,14000000.0,14000000.0,242000000,EA,2009-03-31
372651,USD,2009,Q1,2009-08-10,2010-08-09,323000000.0,323000000.0,-234000000.0,48000000.0,43000000.0,-185000000.0,,,,,-328000000.0,-8000000.0,0.0,-3000000.0,-112000000.0,,,3000000.0,3000000.0,-416000000,EA,2009-06-30
372651,USD,2009,Q2,2010-01-28,2010-11-08,323000000.0,323000000.0,-391000000.0,46000000.0,21000000.0,330000000.0,,,,,6000000.0,-26000000.0,4000000.0,0.0,-204000000.0,,,22000000.0,22000000.0,-163000000,EA,2009-09-30
372651,USD,2009,Q3,2010-02-09,2011-02-07,325000000.0,325000000.0,-82000000.0,48000000.0,104000000.0,151000000.0,,,,,221000000.0,-16000000.0,6000000.0,-275000000.0,-155000000.0,,,0.0,13000000.0,72000000,EA,2009-12-31
372651,USD,2009,Q4,2010-05-28,2012-05-25,325000000.0,325000000.0,30000000.0,50000000.0,84000000.0,89000000.0,,,,,253000000.0,-22000000.0,7000000.0,-5000000.0,-101000000.0,,,14000000.0,15000000.0,159000000,EA,2010-03-31
372651,USD,2010,Q1,2010-08-09,2011-08-09,323000000.0,323000000.0,96000000.0,48000000.0,57000000.0,-349000000.0,,,,,-148000000.0,-11000000.0,8000000.0,,-53000000.0,,,1000000.0,1000000.0,-216000000,EA,2010-06-30
372651,USD,2010,Q2,2010-11-08,2011-11-08,323000000.0,323000000.0,-201000000.0,46000000.0,9000000.0,12000000.0,,,,,-134000000.0,-12000000.0,124000000.0,,97000000.0,,,16000000.0,16000000.0,-1000000,EA,2010-09-30
372651,USD,2010,Q3,2011-02-07,2012-02-07,325000000.0,325000000.0,-322000000.0,44000000.0,56000000.0,571000000.0,,,,,349000000.0,-15000000.0,0.0,-16000000.0,-51000000.0,,,0.0,0.0,297000000,EA,2010-12-31
372651,USD,2010,Q4,2011-05-24,2013-05-22,325000000.0,325000000.0,151000000.0,42000000.0,37000000.0,23000000.0,,,,,253000000.0,-21000000.0,0.0,0.0,-8000000.0,,0.0,-41000000.0,-40000000.0,226000000,EA,2011-03-31
372651,USD,2011,Q1,2011-08-09,2012-08-03,328000000.0,332000000.0,221000000.0,43000000.0,41000000.0,-579000000.0,,,,,-274000000.0,-32000000.0,,-25000000.0,-64000000.0,,,-77000000.0,-75000000.0,-406000000,EA,2011-06-30
