SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
360213,USD,2014,Q3,2015-07-22,2015-11-16,2459475.0,2460264.0,-3898.0,7808.0,3906.0,64272.0,,,,,72088.0,0.0,0.0,0.0,-202655.0,,141029.0,,141029.0,6439,ELYS,2014-09-30
360213,USD,2014,Q4,2015-07-24,2016-04-18,2918522.0,2917732.0,-2095843.0,93337.0,1787144.0,-381214.0,,,,,-596576.0,-724.0,0.0,-1496159.0,-1960784.0,,306988.0,2669000.0,2975988.0,415571,ELYS,2014-12-31
360213,USD,2015,Q1,2015-07-30,2016-05-11,2653178.0,2653178.0,-299291.0,96076.0,176141.0,88877.0,,,,,61803.0,-1704.0,,-63308.0,6541.0,,-146178.0,,-146178.0,-250353,ELYS,2015-03-31
360213,USD,2015,Q2,2015-08-19,2016-11-23,2908100.0,2908100.0,-893322.0,215529.0,307823.0,80918.0,,,,,-289052.0,-20754.0,133800.0,-208910.0,-214472.0,,320401.0,,320401.0,-28727,ELYS,2015-06-30
360213,USD,2015,Q3,2015-11-16,2015-11-16,2911157.0,2911157.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,66900.0,0.0,,0.0,,0.0,0,ELYS,2015-09-30
360213,USD,2015,Q4,2016-04-18,2017-04-10,3233630.0,3233630.0,-830050.0,117605.0,536910.0,-104107.0,,,,,-279642.0,-94264.0,221400.0,15968.0,-25746.0,,160300.0,155000.0,315300.0,14167,ELYS,2015-12-31
360213,USD,2016,Q1,2016-05-11,2017-05-18,3042059.0,3042059.0,-482839.0,123460.0,226352.0,-300009.0,,,,,-433036.0,-12010.0,,-116939.0,-128949.0,,556334.0,,556334.0,20825,ELYS,2016-03-31
360213,USD,2016,Q2,2016-08-15,2017-08-08,3043378.0,3043378.0,-174435.0,124748.0,3951.0,-96621.0,,,,,-142357.0,-839.0,,-85093.0,-113764.0,,200084.0,,200084.0,-57058,ELYS,2016-06-30
360213,USD,2016,Q3,2016-11-23,2017-11-08,3795299.0,3936015.0,36115.0,126999.0,370338.0,-36804.0,,,,,496648.0,-43243.0,,17.0,689983.0,,365454.0,,365454.0,1557541,ELYS,2016-09-30
360213,USD,2016,Q4,2017-04-10,2018-03-30,4197597.0,4056882.0,-1347500.0,146992.0,855988.0,1209145.0,,,,,864625.0,-89826.0,,1702.0,-253242.0,,100547.0,,100547.0,551751,ELYS,2016-12-31
360213,USD,2017,Q1,2017-05-18,2018-05-15,4626162.0,4626162.0,-842116.0,136499.0,46416.0,68543.0,,,,,-590658.0,-55325.0,,,-55286.0,,257766.0,,257766.0,-401269,ELYS,2017-03-31
360213,USD,2017,Q2,2017-08-08,2018-08-14,4626162.0,4687860.0,213405.0,144605.0,108281.0,-535599.0,,,,,-69308.0,-62251.0,,,-105526.0,,295856.0,,295856.0,296680,ELYS,2017-06-30
360213,USD,2017,Q3,2017-11-08,2018-11-19,4626162.0,4694001.0,271665.0,145154.0,-30085.0,420146.0,,,,,806880.0,-22975.0,,,-24238.0,,109683.0,,109683.0,1057717,ELYS,2017-09-30
360213,USD,2017,Q4,2018-03-30,2018-03-30,23137830.0,23664452.0,1722932.0,175008.0,114125.0,1199695.0,,,,,3211760.0,-40171.0,,0.0,-40814.0,,-92680.0,,-92680.0,3286308,ELYS,2017-12-31
360213,USD,2018,Q1,2018-05-15,2018-05-15,9273323.0,9512007.0,768677.0,158357.0,-661833.0,1178830.0,,,,,1444031.0,-182858.0,,,-182798.0,,-644221.0,,-692260.0,720351,ELYS,2018-03-31
360213,USD,2018,Q2,2018-08-14,2018-08-14,9344282.0,9344282.0,-6487928.0,68079.0,6835851.0,-622788.0,,,,,-206786.0,-4259650.0,,,-4244053.0,,6794887.0,,4365874.0,-404943,ELYS,2018-06-30
