SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
60283,USD,2010,Q3,2010-08-06,2011-08-05,79864000.0,81031000.0,40495000.0,5835000.0,22158000.0,6821000.0,-12981000.0,-1274000.0,,21076000.0,75309000.0,-3279000.0,-72555000.0,,-75838000.0,,,-9811000.0,-3092000.0,-4711000,FFIV,2010-06-30
60283,USD,2010,Q4,2010-11-23,2012-11-21,80272000.0,82095000.0,48235000.0,5910000.0,17770000.0,14476000.0,-9715000.0,-1069000.0,,25260000.0,86391000.0,-2506000.0,-54758000.0,,-54708000.0,,,-17668000.0,-7555000.0,24941000,FFIV,2010-09-30
60283,USD,2011,Q1,2011-02-07,2012-02-03,80644000.0,81648000.0,55663000.0,5250000.0,22068000.0,20158000.0,-30082000.0,632000.0,,49608000.0,103139000.0,-5491000.0,-91649000.0,,-97179000.0,,,-16156000.0,-6026000.0,-621000,FFIV,2010-12-31
60283,USD,2011,Q2,2011-05-06,2012-05-07,80809000.0,81622000.0,55575000.0,5286000.0,21362000.0,9006000.0,-675000.0,29000.0,,9652000.0,91229000.0,-6293000.0,-7304000.0,,-13520000.0,,,-46152000.0,-39996000.0,38082000,FFIV,2011-03-31
60283,USD,2011,Q3,2011-08-05,2012-08-07,80866000.0,81497000.0,62549000.0,5179000.0,24046000.0,9302000.0,-12305000.0,213000.0,,21394000.0,101076000.0,-8840000.0,35907000.0,,26623000.0,,,-38087000.0,-34152000.0,93589000,FFIV,2011-06-30
60283,USD,2011,Q4,2011-11-22,2013-11-22,80313000.0,81161000.0,67610000.0,5172000.0,27577000.0,21135000.0,-11464000.0,792000.0,,31807000.0,121494000.0,-15536000.0,-40532000.0,0.0,-55643000.0,,,-149892000.0,-146490000.0,-83020000,FFIV,2011-09-30
60283,USD,2012,Q1,2012-02-03,2013-02-07,79272000.0,79822000.0,66492000.0,5822000.0,22519000.0,37046000.0,-22601000.0,-344000.0,,59991000.0,131879000.0,-5857000.0,-61511000.0,,-67371000.0,,,-24896000.0,-23497000.0,40704000,FFIV,2011-12-31
60283,USD,2012,Q2,2012-05-07,2013-05-09,79156000.0,79775000.0,68641000.0,9113000.0,22394000.0,1456000.0,4462000.0,469000.0,,-3475000.0,101604000.0,-7211000.0,31298000.0,-128335000.0,-104270000.0,,,-49787000.0,-45730000.0,-48029000,FFIV,2012-03-31
60283,USD,2012,Q3,2012-08-07,2013-08-08,79135000.0,79655000.0,72336000.0,10052000.0,24648000.0,6363000.0,-10090000.0,-14000.0,,16467000.0,113399000.0,-5726000.0,-89751000.0,0.0,-95482000.0,,,-35151000.0,-31181000.0,-13852000,FFIV,2012-06-30
60283,USD,2012,Q4,2012-11-21,2014-11-26,78977000.0,79868000.0,67717000.0,10152000.0,23612000.0,47074000.0,8022000.0,-373000.0,,39425000.0,148555000.0,-11323000.0,-73844000.0,0.0,-85156000.0,,,-49768000.0,-48823000.0,15574000,FFIV,2012-09-30
60283,USD,2013,Q1,2013-02-07,2014-02-06,78789000.0,79278000.0,69493000.0,9934000.0,25820000.0,39559000.0,-24256000.0,-1313000.0,,65128000.0,144806000.0,-7788000.0,-124901000.0,,-133417000.0,,,-38417000.0,-37914000.0,-26618000,FFIV,2012-12-31
