SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
143587,USD,2014,Q1,2014-05-05,2015-05-05,64353952.0,64353952.0,-15943000.0,412000.0,1816000.0,3495000.0,,,,,-10220000.0,-40000.0,-5762000.0,,-5802000.0,,-100000.0,15000.0,-85000.0,-16107000,FOLD,2014-03-31
143587,USD,2014,Q2,2014-08-07,2015-08-05,67212764.0,67212764.0,-14614000.0,396000.0,1158000.0,1241000.0,,,,,-11819000.0,-92000.0,8027000.0,,7935000.0,,-99000.0,18354000.0,18255000.0,14371000,FOLD,2014-06-30
143587,USD,2014,Q3,2014-11-06,2015-11-04,78889346.0,78889346.0,-17149000.0,375000.0,1126000.0,526000.0,,,,,-15122000.0,-60000.0,-29415000.0,,-29475000.0,,-100000.0,22464000.0,22364000.0,-22233000,FOLD,2014-09-30
143587,USD,2014,Q4,2015-03-03,2017-03-03,87320566.0,87320566.0,-21220000.0,364000.0,2222000.0,4126000.0,,,,,-14508000.0,-46000.0,-79688000.0,,-79734000.0,,0.0,98645000.0,98645000.0,4403000,FOLD,2014-12-31
143587,USD,2015,Q1,2015-05-05,2016-05-03,95743416.0,95743416.0,-24288000.0,508000.0,3053000.0,-248000.0,,,,,-20975000.0,-753000.0,22418000.0,,21665000.0,,,4063000.0,4063000.0,4753000,FOLD,2015-03-31
143587,USD,2015,Q2,2015-08-05,2016-08-09,99994125.0,99994125.0,-27133000.0,353000.0,3362000.0,782000.0,,,,,-22636000.0,-676000.0,10331000.0,,9655000.0,,-11291000.0,246085000.0,233177000.0,220196000,FOLD,2015-06-30
143587,USD,2015,Q3,2015-11-04,2016-11-07,118724882.0,118724882.0,-37801000.0,395000.0,4046000.0,12343000.0,,,,,-21017000.0,-817000.0,-120192000.0,-141060000.0,-262069000.0,,50000000.0,3567000.0,53502000.0,-229584000,FOLD,2015-09-30
143587,USD,2015,Q4,2016-02-29,2017-03-03,125232837.0,125232837.0,-42896000.0,577000.0,5347000.0,1461000.0,,,,,-35511000.0,-2571000.0,87977000.0,0.0,85406000.0,,0.0,513000.0,151000.0,50046000,FOLD,2015-12-31
143587,USD,2016,Q1,2016-05-03,2017-05-09,125178517.0,125178517.0,-43691000.0,673000.0,7936000.0,-9854000.0,,,,,-44936000.0,-2878000.0,2436000.0,,-442000.0,,,155000.0,-502000.0,-45975000,FOLD,2016-03-31
143587,USD,2016,Q2,2016-08-09,2017-08-07,129122175.0,129122175.0,-51050000.0,767000.0,17024000.0,524000.0,,,,,-32735000.0,-1730000.0,-8067000.0,,-9797000.0,,29953000.0,58310000.0,83263000.0,40146000,FOLD,2016-06-30
143587,USD,2016,Q3,2016-11-07,2017-11-08,140656109.0,140656109.0,-46654000.0,896000.0,5617000.0,-737000.0,,,,,-40878000.0,-912000.0,-28703000.0,,-29615000.0,,-71000.0,40059000.0,39635000.0,-30541000,FOLD,2016-09-30
143587,USD,2016,Q4,2017-03-01,2017-03-03,142649551.0,142649551.0,-58647000.0,906000.0,14554000.0,11202000.0,,,,,-31985000.0,-431000.0,35776000.0,,35345000.0,,162461000.0,1580000.0,150319000.0,153911000,FOLD,2016-12-31
143587,USD,2017,Q1,2017-05-09,2017-05-09,142770629.0,142770629.0,-54992000.0,823000.0,12293000.0,-7968000.0,,,,,-49844000.0,-732000.0,-91680000.0,,-92412000.0,,-71000.0,265000.0,-95000.0,-142271000,FOLD,2017-03-31
143587,USD,2017,Q2,2017-08-07,2017-08-07,143000718.0,143000718.0,-48137000.0,813000.0,6439000.0,-1034000.0,,,,,-41919000.0,-1547000.0,45095000.0,,43548000.0,,-71000.0,1289000.0,-9524000.0,-7361000,FOLD,2017-06-30
143587,USD,2017,Q3,2017-11-08,2017-11-08,160796841.0,160796841.0,-111665000.0,850000.0,62529000.0,-1669000.0,,,,,-49955000.0,-1119000.0,-172792000.0,,-173911000.0,,-70000.0,250323000.0,250189000.0,26739000,FOLD,2017-09-30
