SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378151,USD,2016,Q2,2016-07-27,2017-07-27,412514000.0,412514000.0,238900000.0,44900000.0,10900000.0,15900000.0,,,,,310600000.0,-33000000.0,,0.0,-30600000.0,0.0,3370100000.0,,207200000.0,487200000,FTV,2016-06-30
378151,USD,2016,Q3,2016-10-27,2017-10-26,413470000.0,417294000.0,226900000.0,45100000.0,15500000.0,44100000.0,,,,,331600000.0,-28600000.0,,-177800000.0,-206500000.0,-24200000.0,138500000.0,,111600000.0,237600000,FTV,2016-09-30
378151,USD,2016,Q4,2017-01-27,2018-02-28,413948000.0,417772000.0,224500000.0,42500000.0,2200000.0,48300000.0,,,,,317500000.0,-39600000.0,,9500000.0,-34500000.0,-24200000.0,-155300000.0,,-177000000.0,78400000,FTV,2016-12-31
378151,USD,2017,Q1,2017-04-27,2018-04-26,414665000.0,420042500.0,199700000.0,36700000.0,12000000.0,-100100000.0,,,,,148300000.0,-26800000.0,,0.0,-27400000.0,-24200000.0,-95500000.0,,-119400000.0,14400000,FTV,2017-03-31
378151,USD,2017,Q2,2017-07-27,2018-07-26,414904000.0,420879000.0,240100000.0,37100000.0,13300000.0,-44800000.0,,,,,245700000.0,-28800000.0,,0.0,-31200000.0,-24400000.0,-63300000.0,0.0,-80700000.0,150800000,FTV,2017-06-30
378151,USD,2017,Q3,2017-10-26,2018-10-25,415501500.0,421715500.0,267800000.0,39900000.0,-3400000.0,14700000.0,,,,,319000000.0,-32100000.0,,-802100000.0,-829700000.0,-24200000.0,461500000.0,0.0,440900000.0,-57500000,FTV,2017-09-30
378151,USD,2017,Q4,2018-02-28,2018-02-28,415979500.0,422791000.0,336900000.0,60400000.0,-72500000.0,138600000.0,,,,,463400000.0,-48400000.0,,-733000000.0,-781400000.0,-24400000.0,380800000.0,0.0,358900000.0,51200000,FTV,2017-12-31
378151,USD,2018,Q1,2018-04-26,2018-04-26,416577000.0,423508000.0,261200000.0,60000000.0,11900000.0,-162100000.0,,,,,171000000.0,-31400000.0,,-7700000.0,-39000000.0,-24300000.0,-74300000.0,,-94200000.0,53600000,FTV,2018-03-31
378151,USD,2018,Q2,2018-07-26,2018-07-26,417294000.0,424225000.0,295000000.0,58200000.0,14600000.0,-26000000.0,,,,,341800000.0,-27300000.0,,-1600000.0,-25100000.0,-24400000.0,-251700000.0,1338200000.0,1073000000.0,1352500000,FTV,2018-06-30
378151,USD,2018,Q3,2018-10-25,2018-10-25,418130500.0,424583500.0,245300000.0,66600000.0,14000000.0,60900000.0,,,,,386800000.0,-35000000.0,,-2815900000.0,-2850700000.0,-24500000.0,1286700000.0,-800000.0,1255700000.0,-1223100000,FTV,2018-09-30
378151,USD,2018,Q4,2019-02-28,2019-02-28,399488500.0,404029500.0,-311300000.0,-10600000.0,-25200000.0,131600000.0,,,,,444800000.0,23800000.0,,46600000.0,948200000.0,73200000.0,1900000.0,-1337400000.0,-1355400000.0,33300000,FTV,2018-12-31
378151,USD,2019,Q1,2019-04-25,2019-04-25,400444500.0,405702500.0,164000000.0,81900000.0,12900000.0,-97600000.0,,,,,156200000.0,-24000000.0,,0.0,-24000000.0,-23400000.0,2458700000.0,,2411200000.0,2550500000,FTV,2019-03-31
378151,USD,2019,Q2,2019-07-25,2019-07-25,401042000.0,405941500.0,175300000.0,110400000.0,15900000.0,-41400000.0,,,,,258800000.0,-24500000.0,,-3237100000.0,-3261600000.0,-23400000.0,391500000.0,0.0,365200000.0,-2636800000,FTV,2019-06-30
378151,USD,2019,Q3,2019-10-25,2019-10-25,401639500.0,406180500.0,207300000.0,116800000.0,-24500000.0,79400000.0,,,,,381000000.0,-31100000.0,,-150600000.0,-181700000.0,-23500000.0,-196800000.0,0.0,-211400000.0,-31600000,FTV,2019-09-30
378151,USD,2019,Q4,2020-02-27,2020-02-27,401998000.0,407375500.0,-278500000.0,32400000.0,-1100000.0,148800000.0,,,,,475400000.0,5100000.0,,-552100000.0,-587300000.0,70300000.0,299300000.0,0.0,237900000.0,144700000,FTV,2019-12-31
378151,USD,2020,Q1,2020-04-30,2021-04-29,402476000.0,406300000.0,54800000.0,98400000.0,12800000.0,-44300000.0,,,,,191000000.0,-26200000.0,,-1100000.0,-44200000.0,-23500000.0,-259000000.0,,-283200000.0,-164700000,FTV,2020-03-31
