SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
256748,USD,2010,Q4,2011-01-20,2013-01-29,48738000.0,49740000.0,15444000.0,8091000.0,1241000.0,20251000.0,,,,,45027000.0,-7901000.0,,-805000.0,-8706000.0,-3444000.0,7497000.0,2026000.0,-48127000.0,-7440000,FUL,2010-11-30
256748,USD,2011,Q1,2011-03-28,2012-03-30,49006000.0,49877000.0,14207000.0,10066000.0,3847000.0,-26653000.0,,,,,1467000.0,-5996000.0,,,-5996000.0,-3452000.0,29339000.0,1679000.0,-10859000.0,-11339000,FUL,2011-02-28
256748,USD,2011,Q2,2011-06-24,2012-07-06,49021000.0,49850000.0,21653000.0,8797000.0,-7101000.0,-2816000.0,,,,,20533000.0,-7382000.0,,-6000000.0,-13382000.0,-3698000.0,69682000.0,-2114000.0,-7822000.0,15671000,FUL,2011-05-31
256748,USD,2011,Q3,2011-09-23,2012-10-05,49000000.0,49917000.0,22176000.0,9685000.0,4982000.0,-7751000.0,,,,,29092000.0,-6819000.0,,0.0,-6819000.0,-3704000.0,69015000.0,-1987000.0,-8740000.0,11524000,FUL,2011-08-31
256748,USD,2011,Q4,2012-01-27,2014-01-24,48937000.0,49820000.0,22179000.0,10502000.0,-13123000.0,17438000.0,,,,,36996000.0,-10095000.0,0.0,0.0,-10095000.0,-3696000.0,51045000.0,1609000.0,-15396000.0,7016000,FUL,2011-11-30
256748,USD,2012,Q1,2012-03-30,2013-03-29,49365000.0,50253000.0,13607000.0,9574000.0,10686000.0,-33201000.0,,,,,666000.0,-5473000.0,,0.0,-5473000.0,-3726000.0,-20000.0,4006000.0,-4484000.0,-6272000,FUL,2012-02-29
256748,USD,2012,Q2,2012-07-06,2013-06-28,49652000.0,50722000.0,5060000.0,16425000.0,-8877000.0,21536000.0,,,,,34144000.0,-6679000.0,0.0,-404725000.0,-411404000.0,-4242000.0,486246000.0,730000.0,385392000.0,5922000,FUL,2012-05-31
256748,USD,2012,Q3,2012-10-05,2013-09-27,49627000.0,50699000.0,24608000.0,14770000.0,9813000.0,-18638000.0,,,,,30553000.0,-4794000.0,0.0,0.0,-4794000.0,-4244000.0,96876000.0,-2401000.0,-91372000.0,53446000,FUL,2012-08-31
256748,USD,2012,Q4,2013-01-29,2015-01-28,49640000.0,50798000.0,25012000.0,16647000.0,-29667000.0,31286000.0,,,,,43278000.0,-17211000.0,0.0,-7881000.0,-25092000.0,-4242000.0,-4731000.0,733000.0,-15621000.0,-7309000,FUL,2012-11-30
256748,USD,2013,Q1,2013-03-29,2014-03-28,49817000.0,51027000.0,20774000.0,15643000.0,5777000.0,-53678000.0,,,,,-11484000.0,-19370000.0,,1625000.0,-17745000.0,-4273000.0,35711000.0,1518000.0,-8740000.0,-37305000,FUL,2013-02-28
256748,USD,2013,Q2,2013-06-28,2014-06-27,49935000.0,51152000.0,26048000.0,14345000.0,9684000.0,2118000.0,,,,,52195000.0,-28316000.0,-2387000.0,0.0,-30703000.0,-5021000.0,53482000.0,-4251000.0,-22309000.0,-1946000,FUL,2013-05-31
256748,USD,2013,Q3,2013-09-27,2014-09-26,49913000.0,51127000.0,-46748028.0,-29942205.0,-15449363.0,51517801.0,,,,,-40621795.0,47605312.0,2384613.0,-1633614.0,48356311.0,9279683.0,-89084865.0,2728000.0,31010241.0,39210823,FUL,2013-08-31
256748,USD,2013,Q4,2014-01-24,2016-01-27,49907000.0,51238000.0,95901028.0,61611205.0,4334363.0,-29242801.0,,,,,132603795.0,-122072312.0,-2384613.0,-8605386.0,-133062311.0,-19319683.0,106380865.0,-8742000.0,-48623241.0,-45274823,FUL,2013-11-30
256748,USD,2014,Q1,2014-03-28,2015-03-27,49910000.0,51255000.0,14649000.0,16128000.0,377000.0,-48262000.0,,,,,-17108000.0,-50269000.0,0.0,0.0,-50269000.0,-5004000.0,41283000.0,-13342000.0,24550000.0,-42074000,FUL,2014-02-28
256748,USD,2014,Q2,2014-06-27,2015-06-30,49956000.0,51175000.0,20626000.0,17523000.0,2378000.0,-57259000.0,,,,,-16732000.0,-30076000.0,0.0,-151000.0,-30227000.0,-6020000.0,142756000.0,2544000.0,30117000.0,-18003000,FUL,2014-05-31
256748,USD,2014,Q3,2014-09-26,2015-09-25,50053000.0,51297000.0,4084000.0,18387000.0,15636000.0,-16824000.0,,,,,21283000.0,-35087000.0,,0.0,-35087000.0,-6028000.0,61351000.0,1628000.0,-6376000.0,-19500000,FUL,2014-08-31
256748,USD,2014,Q4,2015-01-28,2017-01-31,50105000.0,51293000.0,10792000.0,18456000.0,34223000.0,-21180000.0,,,,,42291000.0,-18251000.0,,-26183000.0,-44434000.0,-6035000.0,321212000.0,512000.0,6673000.0,2025000,FUL,2014-11-30
256748,USD,2015,Q1,2015-03-27,2016-04-05,50188000.0,51379000.0,9795000.0,17824000.0,27958000.0,10636000.0,,,,,66213000.0,-27078000.0,,-217638000.0,-244716000.0,-6044000.0,312252000.0,-519000.0,176086000.0,-5995000,FUL,2015-02-28
256748,USD,2015,Q2,2015-06-30,2016-06-24,50345000.0,51471000.0,26616000.0,18926000.0,-218000.0,4679000.0,,,,,50003000.0,-10766000.0,,66000.0,-10700000.0,-6561000.0,27233000.0,2263000.0,-30302000.0,7889000,FUL,2015-05-31
256748,USD,2015,Q3,2015-09-25,2016-09-23,50421000.0,51530000.0,26886000.0,18992000.0,5587000.0,-14637000.0,,,,,36828000.0,-9265000.0,,0.0,-9265000.0,-6569000.0,15401000.0,384000.0,-14123000.0,6358000,FUL,2015-08-31
256748,USD,2015,Q4,2016-01-27,2018-01-31,50142000.0,51192000.0,25100000.0,19547000.0,2976000.0,9862000.0,,,,,57485000.0,-6189000.0,0.0,0.0,-6189000.0,-6509000.0,-509000.0,-16787000.0,-15394000.0,33347000,FUL,2015-11-30
