SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
786096,USD,2011,Q2,2011-08-11,2012-08-09,40253000.0,62570000.0,12070000.0,2965000.0,23541000.0,-23675000.0,,,,,14901000.0,-5838000.0,-32077000.0,0.0,-37915000.0,,,2543000.0,3239000.0,-19775000,GDOT,2011-06-30
786096,USD,2011,Q3,2011-11-10,2012-11-09,40525000.0,61449000.0,13303000.0,3276000.0,21980000.0,-17827000.0,,,,,20732000.0,-5766000.0,10000000.0,0.0,4234000.0,,,267000.0,367000.0,25333000,GDOT,2011-09-30
786096,USD,2011,Q4,2012-03-30,2014-03-03,38984000.0,56103000.0,14009000.0,3558000.0,20186000.0,-20211000.0,,,,,17542000.0,-6079000.0,5158000.0,0.0,1777000.0,,,1797000.0,7820000.0,27139000,GDOT,2011-12-31
786096,USD,2012,Q1,2012-05-10,2013-05-09,34069000.0,42879000.0,16368000.0,3651000.0,19731000.0,-2487000.0,,,,,37263000.0,-7833000.0,-106324000.0,-32052000.0,-145447000.0,,,588000.0,2371000.0,-105813000,GDOT,2012-03-31
786096,USD,2012,Q2,2012-08-09,2013-08-09,34269000.0,42386000.0,10869000.0,4090000.0,21746000.0,-17422000.0,,,,,19283000.0,-9059000.0,-3004000.0,-1375000.0,-12578000.0,,,1961000.0,-3205000.0,3500000,GDOT,2012-06-30
786096,USD,2012,Q3,2012-11-09,2013-11-08,34652000.0,41558000.0,9612000.0,4823000.0,19973000.0,-7638000.0,,,,,26770000.0,-6420000.0,-5864000.0,26000.0,-11390000.0,,,161000.0,28918000.0,44298000,GDOT,2012-09-30
786096,USD,2012,Q4,2013-08-09,2015-03-02,35006000.0,16909000.0,10370000.0,5567000.0,26781000.0,-24006000.0,,,,,18712000.0,-17129000.0,-37640000.0,1578000.0,-40905000.0,,0.0,840000.0,151366000.0,129173000,GDOT,2012-12-31
786096,USD,2013,Q1,2013-05-09,2014-05-12,35047000.0,36293000.0,15586000.0,6354000.0,21007000.0,-18445000.0,,,,,24502000.0,-8886000.0,20412000.0,,11850000.0,,,400000.0,40217000.0,76569000,GDOT,2013-03-31
786096,USD,2013,Q2,2013-11-28,2014-08-11,35380000.0,36686000.0,11305000.0,6649000.0,18398000.0,26266000.0,,,,,62618000.0,-8127000.0,-9583000.0,0.0,-17711000.0,,,2020000.0,-11038000.0,33869000,GDOT,2013-06-30
786096,USD,2013,Q3,2013-11-08,2014-11-07,36163000.0,37771000.0,6113000.0,6903000.0,14410000.0,-21553000.0,,,,,5873000.0,-9899000.0,-63829000.0,0.0,-73054000.0,,,7144000.0,-10047000.0,-77228000,GDOT,2013-09-30
