SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
78526,USD,2011,Q2,2010-12-17,2011-12-20,642100000.0,664500000.0,615300000.0,118900000.0,18000000.0,-330300000.0,,,,,421900000.0,-146300000.0,,0.0,-146200000.0,-182200000.0,-183000000.0,-78200000.0,-425400000.0,-130700000,GIS,2010-11-30
78526,USD,2011,Q3,2011-03-23,2012-03-21,638900000.0,660100000.0,393500000.0,124300000.0,6800000.0,124000000.0,,,,,648600000.0,-142800000.0,,-59900000.0,-200500000.0,-181200000.0,-198100000.0,-128700000.0,-489300000.0,-26000000,GIS,2011-02-28
78526,USD,2011,Q4,2011-07-08,2013-07-03,642500000.0,662700000.0,321100000.0,118100000.0,-47700000.0,-108500000.0,,,,,283000000.0,-224800000.0,,-29000000.0,-248200000.0,-181900000.0,33900000.0,154100000.0,31100000.0,79300000,GIS,2011-05-31
78526,USD,2012,Q1,2011-09-21,2012-09-19,647900000.0,667000000.0,404300000.0,125500000.0,45800000.0,-134800000.0,,,,,440800000.0,-132500000.0,,-900100000.0,-1157700000.0,-200300000.0,706000000.0,-85900000.0,431900000.0,-281400000,GIS,2011-08-31
78526,USD,2012,Q2,2011-12-20,2012-12-19,646300000.0,665800000.0,449200000.0,137800000.0,20500000.0,108200000.0,,,,,715700000.0,-131000000.0,,0.0,-153000000.0,-199200000.0,-166300000.0,-25700000.0,-375900000.0,170900000,GIS,2011-11-30
78526,USD,2012,Q3,2012-03-21,2013-03-20,647900000.0,667300000.0,400800000.0,135500000.0,-124500000.0,93300000.0,,,,,505100000.0,-159000000.0,,0.0,-159000000.0,-200000000.0,-203600000.0,7600000.0,-377500000.0,-23800000,GIS,2012-02-29
78526,USD,2012,Q4,2012-07-03,2014-07-03,650300000.0,666700000.0,334800000.0,142700000.0,91000000.0,177100000.0,,,,,745600000.0,-251200000.0,,-150000000.0,-401100000.0,-200600000.0,-167800000.0,24500000.0,-345100000.0,-14100000,GIS,2012-05-31
78526,USD,2013,Q1,2012-09-19,2013-09-18,650400000.0,667400000.0,562100000.0,139200000.0,-82000000.0,-130500000.0,,,,,488800000.0,-140300000.0,,-31800000.0,-153600000.0,-217800000.0,1155500000.0,-233500000.0,692800000.0,1037200000,GIS,2012-08-31
78526,USD,2013,Q2,2012-12-19,2013-12-18,648100000.0,664500000.0,541000000.0,146900000.0,-53700000.0,194100000.0,,,,,828300000.0,-120300000.0,,-820000000.0,-949600000.0,-216700000.0,-384700000.0,-93000000.0,-659100000.0,-773500000,GIS,2012-11-30
78526,USD,2013,Q3,2013-03-20,2014-03-19,648500000.0,665100000.0,412600000.0,146200000.0,68900000.0,200900000.0,,,,,828600000.0,-129300000.0,,-49000000.0,-178000000.0,-217100000.0,-276700000.0,-160700000.0,-633000000.0,16300000,GIS,2013-02-28
