SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
627777,USD,2011,Q2,2011-08-03,2012-07-31,36415000.0,42953000.0,5019000.0,12034000.0,1181000.0,53366000.0,,,,,71600000.0,-15475000.0,,-2312000.0,-18116000.0,,-51394000.0,,-68964000.0,-15480000,GPRE,2011-06-30
627777,USD,2011,Q3,2011-11-01,2012-11-01,35624000.0,42151000.0,12402000.0,12811000.0,10951000.0,-621000.0,,,,,35543000.0,-8481000.0,,303000.0,-8505000.0,,-19855000.0,-14201000.0,-45513000.0,-18475000,GPRE,2011-09-30
627777,USD,2011,Q4,2012-02-17,2014-02-10,32866000.0,39364000.0,13261000.0,13228000.0,15592000.0,50860000.0,,,,,92941000.0,-6957000.0,,-3923000.0,-9756000.0,,-29217000.0,-14000000.0,-26125000.0,57060000,GPRE,2011-12-31
627777,USD,2012,Q1,2012-05-08,2013-05-02,32238000.0,32238000.0,-12696000.0,13158000.0,-3912000.0,-89441000.0,,,,,-92891000.0,-5660000.0,,-1490000.0,-7150000.0,,74061000.0,-10445000.0,60042000.0,-39999000,GPRE,2012-03-31
627777,USD,2012,Q2,2012-07-31,2013-08-01,29614000.0,29614000.0,-7554000.0,13259000.0,-1544000.0,48314000.0,,,,,52475000.0,-8744000.0,,0.0,-14515000.0,,-59093000.0,0.0,-52266000.0,-14306000,GPRE,2012-06-30
627777,USD,2012,Q3,2012-11-01,2013-10-31,29655000.0,29655000.0,-1007000.0,13505000.0,13743000.0,-3247000.0,,,,,22994000.0,-9488000.0,,-6513000.0,-10230000.0,,9937000.0,0.0,6730000.0,19494000,GPRE,2012-09-30
627777,USD,2012,Q4,2013-11-13,2015-02-10,29677000.0,30345000.0,33020000.0,12906000.0,-35722000.0,-6506000.0,,,,,3698000.0,114827000.0,,-1485000.0,113342000.0,,3314000.0,0.0,-2928000.0,114112000,GPRE,2012-12-31
627777,USD,2013,Q1,2013-05-02,2014-05-01,29933000.0,30210000.0,2555000.0,12609000.0,4507000.0,-31566000.0,,,,,-11895000.0,-1904000.0,,-803000.0,-2707000.0,,-23870000.0,,-9879000.0,-24481000,GPRE,2013-03-31
627777,USD,2013,Q2,2013-08-01,2014-07-31,30160000.0,36804000.0,5965000.0,12435000.0,8061000.0,55218000.0,,,,,81679000.0,-3044000.0,,-15305000.0,-18349000.0,,-78412000.0,,-79675000.0,-16345000,GPRE,2013-06-30
627777,USD,2013,Q3,2013-10-31,2014-10-30,30204000.0,37483000.0,9410000.0,12763000.0,8000000.0,21139000.0,,,,,51312000.0,-7645000.0,,-2344000.0,-9989000.0,-1207000.0,95469000.0,,79723000.0,121046000,GPRE,2013-09-30
627777,USD,2013,Q4,2014-02-10,2016-02-18,30435000.0,48719000.0,25461000.0,13047000.0,18276000.0,-70544000.0,,,,,-13760000.0,-6926000.0,,-109613000.0,-116539000.0,-1219000.0,68523000.0,,67817000.0,-62482000,GPRE,2013-12-31
627777,USD,2014,Q1,2014-05-01,2015-04-30,33153000.0,43251000.0,43203000.0,14627000.0,26904000.0,-134950000.0,,,,,-50216000.0,-14777000.0,,12000.0,-14765000.0,-1396000.0,-2717000.0,,-12000.0,-64993000,GPRE,2014-03-31
627777,USD,2014,Q2,2014-07-31,2015-07-31,37467000.0,39359000.0,32314000.0,14735000.0,-8932000.0,163112000.0,,,,,201229000.0,-14158000.0,,-27189000.0,-41347000.0,-1497000.0,-15855000.0,,-33537000.0,126345000,GPRE,2014-06-30
627777,USD,2014,Q3,2014-10-30,2015-11-05,37588000.0,40542000.0,41749000.0,16417000.0,8542000.0,7846000.0,,,,,74554000.0,-15307000.0,,-183000.0,-15490000.0,-3006000.0,-16441000.0,,8670000.0,67734000,GPRE,2014-09-30
627777,USD,2014,Q4,2015-02-10,2017-02-22,37660000.0,39768000.0,42238000.0,16360000.0,9623000.0,-72238000.0,,,,,-4017000.0,-6047000.0,,-946000.0,-6993000.0,-3009000.0,54996000.0,,35407000.0,24397000,GPRE,2014-12-31
627777,USD,2015,Q1,2015-04-30,2016-05-05,37803000.0,37803000.0,-3318000.0,15847000.0,10374000.0,-68681000.0,,,,,-45778000.0,-14332000.0,,-334000.0,-14666000.0,-3032000.0,28770000.0,,40833000.0,-19611000,GPRE,2015-03-31
627777,USD,2015,Q2,2015-07-31,2016-08-03,38027000.0,40075000.0,7792000.0,16165000.0,7934000.0,37091000.0,,,,,68982000.0,-14358000.0,,-2975000.0,-17333000.0,-3045000.0,-52195000.0,,-58060000.0,-6411000,GPRE,2015-06-30
627777,USD,2015,Q3,2015-11-05,2016-11-03,38066000.0,38556000.0,10041000.0,16622000.0,-46208000.0,-11139000.0,,,,,-30684000.0,-15774000.0,,0.0,-15774000.0,-4569000.0,150595000.0,-4003000.0,142833000.0,96375000,GPRE,2015-09-30
627777,USD,2015,Q4,2016-02-18,2018-02-14,37892000.0,39678000.0,713000.0,17316000.0,18511000.0,-15190000.0,,,,,21350000.0,-18886000.0,,-116542000.0,-135428000.0,-9149000.0,26235000.0,0.0,3082000.0,-110996000,GPRE,2015-12-31
627777,USD,2016,Q1,2016-05-05,2017-05-04,38197000.0,38197000.0,-19816000.0,18145000.0,-12681000.0,-65455000.0,,,,,-79807000.0,-18571000.0,,260000.0,-18311000.0,-9248000.0,98301000.0,,96693000.0,-1425000,GPRE,2016-03-31
627777,USD,2016,Q2,2016-08-03,2017-08-03,38425000.0,38536000.0,12985000.0,23288000.0,-41000.0,48509000.0,,,,,84741000.0,-10513000.0,,-19201000.0,-29714000.0,-9272000.0,-34698000.0,-6005000.0,-51549000.0,3478000,GPRE,2016-06-30
627777,USD,2016,Q3,2016-11-03,2017-11-02,38282000.0,39136000.0,12884000.0,14699000.0,13064000.0,17606000.0,,,,,58253000.0,-6574000.0,,-234935000.0,-241509000.0,-9317000.0,228484000.0,0.0,203695000.0,20439000,GPRE,2016-09-30
627777,USD,2016,Q4,2017-02-22,2018-02-14,38368000.0,38423000.0,24438000.0,28094000.0,28602000.0,-59128000.0,,,,,22006000.0,-22455000.0,,-260609000.0,-283064000.0,-9441000.0,178792000.0,0.0,157910000.0,-103148000,GPRE,2016-12-31
627777,USD,2017,Q1,2017-05-04,2018-05-07,38420000.0,38420000.0,1651000.0,26083000.0,3620000.0,-91505000.0,,,,,-60151000.0,-14902000.0,,-6473000.0,-21375000.0,-9461000.0,12317000.0,,-945000.0,-82471000,GPRE,2017-03-31
627777,USD,2017,Q2,2017-08-03,2018-08-02,40220000.0,40220000.0,-11796000.0,26188000.0,-3131000.0,11147000.0,,,,,22408000.0,-13083000.0,,-64103000.0,-77186000.0,-9783000.0,-4983000.0,,-14766000.0,-69544000,GPRE,2017-06-30
627777,USD,2017,Q3,2017-11-02,2017-11-02,41348000.0,50647000.0,39429000.0,27834000.0,-60639000.0,-91097000.0,,,,,-84473000.0,-8490000.0,,-3184000.0,-11674000.0,-10023000.0,198985000.0,-5733000.0,205539000.0,109392000,GPRE,2017-09-30
627777,USD,2017,Q4,2018-02-14,2018-02-14,37000000.0,71673000.0,52347000.0,27256000.0,13767000.0,-130974000.0,,,,,-37604000.0,-9992000.0,,-8253000.0,-18245000.0,-10116000.0,63380000.0,-991000.0,60912000.0,5063000,GPRE,2017-12-31
627777,USD,2018,Q1,2018-05-07,2018-05-07,40164000.0,40164000.0,-19455000.0,26474000.0,-5840000.0,-42270000.0,,,,,-41091000.0,-7352000.0,,-1020000.0,-872000.0,-10251000.0,7979000.0,,-5162000.0,-47125000,GPRE,2018-03-31
627777,USD,2018,Q2,2018-08-02,2018-08-02,40194000.0,40194000.0,3751000.0,26823000.0,-6656000.0,63032000.0,,,,,86950000.0,-7288000.0,,-2862000.0,-10150000.0,-10329000.0,-80587000.0,,-91039000.0,-14239000,GPRE,2018-06-30
627777,USD,2018,Q3,2018-11-09,2018-11-09,40229000.0,40229000.0,-7419000.0,30713000.0,-7669000.0,22904000.0,,,,,38529000.0,-16474000.0,,-122971000.0,-139445000.0,-10341000.0,94934000.0,,84391000.0,-16525000,GPRE,2018-09-30
627777,USD,2018,Q4,2019-02-20,2019-02-20,40693000.0,44429000.0,59857000.0,14248000.0,-127803000.0,-1160000.0,,,,,-45421000.0,662235000.0,,126853000.0,657932000.0,-10344000.0,-618268000.0,-2828000.0,-528787000.0,83724000,GPRE,2018-12-31
627777,USD,2019,Q1,2019-05-09,2019-05-09,40315000.0,40315000.0,-37871000.0,19235000.0,-6879000.0,4732000.0,,,,,-20783000.0,-7654000.0,,,-7654000.0,-10334000.0,-10903000.0,,-16516000.0,-44953000,GPRE,2019-03-31
627777,USD,2019,Q2,2019-08-06,2019-08-06,40081000.0,40081000.0,-40179000.0,19094000.0,-4112000.0,13771000.0,,,,,-11426000.0,-12658000.0,,0.0,-12658000.0,-10358000.0,35094000.0,-39870000.0,-15250000.0,-39334000,GPRE,2019-06-30
627777,USD,2019,Q3,2019-11-07,2019-11-07,36913000.0,36913000.0,-35491000.0,14634000.0,-4177000.0,39410000.0,,,,,31845000.0,-19591000.0,,77140000.0,53380000.0,-5497000.0,6888000.0,-16014000.0,-65094000.0,20131000,GPRE,2019-09-30
627777,USD,2019,Q4,2020-02-20,2020-02-20,35135000.0,35135000.0,-34459000.0,19164000.0,21495000.0,-15368000.0,,,,,-9168000.0,-32109000.0,,-256000.0,-2424000.0,-5497000.0,37332000.0,-4167000.0,27449000.0,15857000,GPRE,2019-12-31
627777,USD,2020,Q1,2020-05-06,2021-05-04,34665000.0,34665000.0,-10347000.0,18080000.0,1906000.0,8138000.0,,,,,17777000.0,-38792000.0,,,-39890000.0,-5498000.0,-24073000.0,-11479000.0,-42259000.0,-64372000,GPRE,2020-03-31
