SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
122864,USD,2011,Q2,2011-08-01,2012-07-30,26231116.0,26231116.0,8925000.0,2824000.0,-948000.0,-8848000.0,,,,,1953000.0,-3625000.0,,,-3539000.0,-1888000.0,-2000000.0,,-3916000.0,-5367000,GRC,2011-06-30
122864,USD,2011,Q3,2011-10-31,2012-10-29,26237353.0,26237353.0,7655000.0,2887000.0,-390000.0,825000.0,,,,,10977000.0,-2623000.0,,,-2310000.0,-1890000.0,-5000000.0,,-6889000.0,611000,GRC,2011-09-30
122864,USD,2011,Q4,2012-03-05,2014-03-10,26238730.0,26238730.0,5105000.0,2943000.0,2244000.0,-7465000.0,,,,,2827000.0,-2628000.0,,,-2242000.0,-1889000.0,-5000000.0,,-6862000.0,-6187000,GRC,2011-12-31
122864,USD,2012,Q1,2012-04-30,2013-04-29,26238616.0,26238616.0,10241000.0,2948000.0,-240000.0,-6754000.0,,,,,6195000.0,-4523000.0,,,-4370000.0,-1889000.0,,,-1889000.0,215000,GRC,2012-03-31
122864,USD,2012,Q2,2012-07-30,2013-07-29,26238616.0,26238616.0,7568000.0,2937000.0,-758000.0,-3990000.0,,,,,5757000.0,-6456000.0,,,-6397000.0,-2099000.0,-1000000.0,,-3099000.0,-4117000,GRC,2012-06-30
122864,USD,2012,Q3,2012-10-29,2013-10-28,26246035.0,26246035.0,6706000.0,3042000.0,-191000.0,-844000.0,,,,,8713000.0,-3186000.0,,-4812000.0,-7404000.0,-2100000.0,-1000000.0,,-3100000.0,-1460000,GRC,2012-09-30
122864,USD,2012,Q4,2013-03-04,2015-03-09,26246142.0,26246198.0,3688000.0,3139000.0,3128000.0,2013000.0,,,,,11968000.0,-2208000.0,,-16011000.0,-18220000.0,-2100000.0,14000000.0,,11900000.0,5339000,GRC,2012-12-31
122864,USD,2013,Q1,2013-04-29,2014-04-30,26246116.0,26246116.0,5818000.0,3428000.0,484000.0,-6060000.0,,,,,3670000.0,-2349000.0,,,-2345000.0,-2100000.0,-3000000.0,,-5100000.0,-3655000,GRC,2013-03-31
122864,USD,2013,Q2,2013-07-29,2014-07-30,26245543.0,26246116.0,9168000.0,3377000.0,557000.0,4316000.0,,,,,17418000.0,-1050000.0,,,-1051000.0,-2099000.0,-4000000.0,,-6099000.0,10387000,GRC,2013-06-30
122864,USD,2013,Q3,2013-10-28,2014-10-29,26253616.0,26253616.0,7946000.0,3378000.0,673000.0,4631000.0,,,,,16628000.0,-1723000.0,,,-1726000.0,-2101000.0,-6000000.0,,-8101000.0,6712000,GRC,2013-09-30
122864,USD,2013,Q4,2014-03-10,2016-03-11,26252021.0,26252021.0,7172000.0,3405000.0,-1044000.0,3137000.0,,,,,12670000.0,-12987000.0,,0.0,-12987000.0,-2362000.0,0.0,0.0,-2362000.0,-2440000,GRC,2013-12-31
122864,USD,2014,Q1,2014-04-30,2015-04-29,26253043.0,26253043.0,9954000.0,3462000.0,-504000.0,-14275000.0,,,,,-1363000.0,-1591000.0,,,-1591000.0,-2692000.0,-3837000.0,,-6529000.0,-9373000,GRC,2014-03-31
122864,USD,2014,Q2,2014-07-30,2015-07-29,26253043.0,26253043.0,8860000.0,3586000.0,741000.0,159000.0,,,,,13346000.0,-3995000.0,,,-20275000.0,-2034000.0,17504000.0,,15470000.0,7696000,GRC,2014-06-30
122864,USD,2014,Q3,2014-10-29,2015-10-28,26260543.0,26260543.0,9439000.0,3703000.0,-592000.0,291000.0,,,,,12841000.0,-2094000.0,-16280000.0,,-2094000.0,-2363000.0,-5500000.0,0.0,-7863000.0,3494000,GRC,2014-09-30
122864,USD,2014,Q4,2015-03-09,2017-03-03,26260667.0,26260667.0,7888000.0,3864000.0,-1147000.0,-6426000.0,,,,,4179000.0,-4917000.0,16280000.0,-16667000.0,-5304000.0,-2626000.0,-5167000.0,0.0,-7793000.0,-8449000,GRC,2014-12-31
122864,USD,2015,Q1,2015-04-29,2016-05-04,26260543.0,26260543.0,7275000.0,3752000.0,913000.0,-2977000.0,,,,,8963000.0,,,,-1397000.0,-2626000.0,-3000000.0,,-5626000.0,2810000,GRC,2015-03-31
122864,USD,2015,Q2,2015-07-29,2016-08-03,26260543.0,26260543.0,6629000.0,3780000.0,2364000.0,-4222000.0,,,,,8551000.0,,,,-2673000.0,-2626000.0,-3000000.0,,-5626000.0,-1312000,GRC,2015-06-30
122864,USD,2015,Q3,2015-10-28,2016-11-03,26165810.0,26165810.0,5893000.0,3824000.0,2872000.0,14799000.0,,,,,27388000.0,-2543000.0,,,-5963000.0,-2608000.0,-6044000.0,-4579000.0,-13231000.0,7833000,GRC,2015-09-30
122864,USD,2015,Q4,2016-03-11,2017-03-03,26081392.0,26081392.0,5312000.0,3926000.0,-3143000.0,-10314000.0,,,,,-4219000.0,-1147000.0,,-3386000.0,-1147000.0,-2739000.0,-1868000.0,0.0,-4607000.0,-10098000,GRC,2015-12-31
