SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
923327,USD,2010,Q2,2010-07-23,2011-07-22,98922000.0,100467000.0,8721000.0,917000.0,1192000.0,5643000.0,,,,,16473000.0,-807000.0,-363000.0,,-1170000.0,-9676000.0,,545000.0,-8983000.0,6320000,HCSG,2010-06-30
923327,USD,2010,Q3,2010-10-22,2011-10-21,99058500.0,100618500.0,9169000.0,885000.0,-831000.0,-7759000.0,,,,,1464000.0,-1078000.0,-666000.0,,-1744000.0,-10124000.0,,1077000.0,-8579000.0,-8859000,HCSG,2010-09-30
923327,USD,2010,Q4,2011-02-18,2013-02-21,65917000.0,67008000.0,9123000.0,1039000.0,3839000.0,8070000.0,,,,,22071000.0,-1637000.0,381000.0,0.0,-1256000.0,-10260000.0,,2320000.0,-7232000.0,13583000,HCSG,2010-12-31
923327,USD,2011,Q1,2011-04-25,2012-04-27,66401000.0,67454000.0,7767000.0,1004000.0,1249000.0,-4078000.0,,,,,5942000.0,-1473000.0,1950000.0,,477000.0,-10402000.0,,921000.0,-9419000.0,-3000000,HCSG,2011-03-31
923327,USD,2011,Q2,2011-07-22,2012-07-27,66517000.0,67545000.0,9828000.0,1045000.0,33000.0,-1330000.0,,,,,9576000.0,-1162000.0,349000.0,,-813000.0,-10500000.0,,420000.0,-9957000.0,-1194000,HCSG,2011-06-30
923327,USD,2011,Q3,2011-10-21,2012-10-22,66710000.0,67530000.0,9996000.0,1074000.0,3770000.0,-10971000.0,,,,,3869000.0,-1776000.0,-698000.0,-1000000.0,-3474000.0,-10592000.0,,739000.0,-8765000.0,-8370000,HCSG,2011-09-30
923327,USD,2011,Q4,2012-02-23,2014-02-21,66920000.0,67811000.0,10565000.0,1264000.0,1414000.0,318000.0,,,,,13561000.0,-1112000.0,9436000.0,0.0,8324000.0,-10734000.0,,283000.0,-10374000.0,11511000,HCSG,2011-12-31
923327,USD,2012,Q1,2012-04-27,2013-04-26,67084000.0,68085000.0,8578000.0,1248000.0,-734000.0,349000.0,,,,,9441000.0,-813000.0,9672000.0,,8859000.0,-10847000.0,,1840000.0,-8683000.0,9617000,HCSG,2012-03-31
923327,USD,2012,Q2,2012-07-27,2013-07-25,67296000.0,68228000.0,11321000.0,1280000.0,314000.0,5026000.0,,,,,17941000.0,-1002000.0,-250000.0,,-1252000.0,-10956000.0,,824000.0,-9346000.0,7343000,HCSG,2012-06-30
923327,USD,2012,Q3,2012-10-22,2013-10-24,67651000.0,68635000.0,11517000.0,1245000.0,-255000.0,-4470000.0,,,,,8037000.0,-834000.0,-77000.0,0.0,-911000.0,-11063000.0,,1246000.0,-9549000.0,-2423000,HCSG,2012-09-30
923327,USD,2012,Q4,2013-02-21,2015-02-19,68013000.0,68992000.0,12798000.0,1343000.0,745000.0,10071000.0,,,,,24957000.0,-809000.0,-200000.0,0.0,-1009000.0,-11227000.0,,1663000.0,-8175000.0,15773000,HCSG,2012-12-31
923327,USD,2013,Q1,2013-04-26,2014-04-24,68463000.0,69361000.0,14954000.0,1352000.0,703000.0,-22036000.0,,,,,-5027000.0,-804000.0,-1352000.0,,-2156000.0,-11415000.0,,3640000.0,-7039000.0,-14222000,HCSG,2013-03-31
923327,USD,2013,Q2,2013-07-25,2014-07-24,68599000.0,69370000.0,12933000.0,1355000.0,-618000.0,5337000.0,,,,,19007000.0,-748000.0,205000.0,,-543000.0,-11516000.0,,1040000.0,-10031000.0,8433000,HCSG,2013-06-30
923327,USD,2013,Q3,2013-10-24,2014-10-30,69706000.0,70531000.0,13790000.0,1784000.0,-928000.0,-20754000.0,,,,,-6108000.0,-1025000.0,10318000.0,-5000000.0,4293000.0,-11829000.0,,789000.0,-10786000.0,-12601000,HCSG,2013-09-30
923327,USD,2013,Q4,2014-02-21,2016-02-19,70056000.0,70918000.0,5452000.0,1713000.0,-4380000.0,21501000.0,,,,,24286000.0,-1027000.0,38000.0,0.0,-989000.0,-11947000.0,,959000.0,-9701000.0,13596000,HCSG,2013-12-31
923327,USD,2014,Q1,2014-04-24,2015-04-23,70321000.0,71072000.0,14639000.0,1757000.0,4411000.0,-2487000.0,,,,,18320000.0,-1453000.0,-289000.0,,-1742000.0,-12077000.0,,2559000.0,-9041000.0,7537000,HCSG,2014-03-31
923327,USD,2014,Q2,2014-07-24,2015-07-22,70440000.0,71206000.0,13921000.0,1824000.0,-558000.0,-18680000.0,,,,,-3493000.0,-922000.0,467000.0,,-455000.0,-12186000.0,,1275000.0,-10475000.0,-14423000,HCSG,2014-06-30
923327,USD,2014,Q3,2014-10-30,2015-10-23,70671000.0,70671000.0,-22182000.0,1725000.0,-10207000.0,39488000.0,,,,,8824000.0,-888000.0,-866000.0,,-1754000.0,-12335000.0,,688000.0,-11463000.0,-4393000,HCSG,2014-09-30
923327,USD,2014,Q4,2015-02-19,2017-02-24,71032000.0,72415000.0,15472000.0,1963000.0,-4643000.0,21287000.0,,,,,34079000.0,-2449000.0,-60000.0,,-2509000.0,-12479000.0,,1674000.0,-9166000.0,22404000,HCSG,2014-12-31
923327,USD,2015,Q1,2015-04-23,2016-04-22,71469000.0,72159000.0,15516000.0,1911000.0,1563000.0,-25194000.0,,,,,-6204000.0,-1395000.0,-143000.0,,-1538000.0,-12655000.0,,2884000.0,-9246000.0,-16988000,HCSG,2015-03-31
