SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
903401,USD,2011,Q2,2011-08-11,2012-08-08,48800000.0,49600000.0,40000000.0,46000000.0,27000000.0,73000000.0,,,,,186000000.0,-20000000.0,,,-20000000.0,0.0,-7000000.0,1000000.0,-10000000.0,156000000,HII,2011-06-30
903401,USD,2011,Q3,2011-11-10,2012-11-08,48900000.0,48900000.0,-248000000.0,47000000.0,337000000.0,96000000.0,,,,,232000000.0,-36000000.0,,,-36000000.0,0.0,-7000000.0,0.0,-41000000.0,155000000,HII,2011-09-30
903401,USD,2011,Q4,2012-03-29,2014-02-27,48700000.0,47900000.0,63000000.0,46000000.0,36000000.0,329000000.0,,,,,474000000.0,-78000000.0,,,-78000000.0,0.0,-8000000.0,1000000.0,-17000000.0,379000000,HII,2011-12-31
903401,USD,2012,Q1,2012-05-09,2013-05-08,49000000.0,49500000.0,33000000.0,47000000.0,27000000.0,-436000000.0,,,,,-329000000.0,-27000000.0,,,-27000000.0,0.0,-8000000.0,,-8000000.0,-364000000,HII,2012-03-31
903401,USD,2012,Q2,2012-08-08,2013-08-07,49500000.0,50100000.0,50000000.0,45000000.0,21000000.0,33000000.0,,,,,149000000.0,-30000000.0,,,-30000000.0,0.0,-7000000.0,4000000.0,-3000000.0,116000000,HII,2012-06-30
903401,USD,2012,Q3,2012-11-08,2013-11-07,49600000.0,50300000.0,13000000.0,45000000.0,28000000.0,53000000.0,,,,,139000000.0,-35000000.0,,,-35000000.0,0.0,-7000000.0,2000000.0,-5000000.0,99000000,HII,2012-09-30
903401,USD,2012,Q4,2013-02-27,2015-02-19,49500000.0,50500000.0,50000000.0,47000000.0,55000000.0,221000000.0,,,,,373000000.0,-70000000.0,,,-70000000.0,-5000000.0,-7000000.0,0.0,-12000000.0,291000000,HII,2012-12-31
903401,USD,2013,Q1,2013-05-08,2014-05-08,49800000.0,50300000.0,44000000.0,49000000.0,22000000.0,-477000000.0,,,,,-362000000.0,-30000000.0,,0.0,-30000000.0,-5000000.0,-13000000.0,2000000.0,-13000000.0,-405000000,HII,2013-03-31
903401,USD,2013,Q2,2013-08-07,2014-08-07,50200000.0,50700000.0,57000000.0,44000000.0,26000000.0,-102000000.0,,,,,25000000.0,-25000000.0,,0.0,-25000000.0,-5000000.0,0.0,-24000000.0,-29000000.0,-29000000,HII,2013-06-30
903401,USD,2013,Q3,2013-11-07,2014-11-06,49900000.0,50600000.0,69000000.0,58000000.0,-35000000.0,189000000.0,,,,,281000000.0,-30000000.0,,0.0,28000000.0,-5000000.0,-9000000.0,-25000000.0,-37000000.0,272000000,HII,2013-09-30
903401,USD,2013,Q4,2014-02-27,2016-02-18,48900000.0,50000000.0,91000000.0,75000000.0,-65000000.0,191000000.0,,,,,292000000.0,-54000000.0,,0.0,-54000000.0,-10000000.0,-29000000.0,-65000000.0,-90000000.0,148000000,HII,2013-12-31
903401,USD,2014,Q1,2014-05-08,2015-05-07,49100000.0,49700000.0,90000000.0,60000000.0,14000000.0,-378000000.0,,,,,-214000000.0,-24000000.0,,-46000000.0,-70000000.0,-10000000.0,,-9000000.0,-17000000.0,-301000000,HII,2014-03-31
903401,USD,2014,Q2,2014-08-07,2015-08-06,48800000.0,49100000.0,100000000.0,49000000.0,-17000000.0,140000000.0,,,,,272000000.0,-27000000.0,,-227000000.0,-254000000.0,-10000000.0,-14000000.0,-93000000.0,-168000000.0,-150000000,HII,2014-06-30
903401,USD,2014,Q3,2014-11-06,2015-11-05,48700000.0,49000000.0,96000000.0,47000000.0,30000000.0,83000000.0,,,,,256000000.0,-40000000.0,,1000000.0,-39000000.0,-10000000.0,-22000000.0,-8000000.0,-40000000.0,177000000,HII,2014-09-30
