SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
335043,USD,2012,Q2,2012-07-30,2013-12-16,233114000.0,242964000.0,131951000.0,18023000.0,-10172000.0,-2727000.0,,,,,137075000.0,-15000000.0,,,-15057000.0,-35138000.0,324031000.0,-429466000.0,-134036000.0,-19695000,HLF,2012-06-30
335043,USD,2012,Q3,2012-10-29,2013-12-16,217632000.0,227292000.0,111873000.0,18789000.0,9714000.0,2071000.0,,,,,142447000.0,-19310000.0,,,-20167000.0,-32377000.0,-55380000.0,-232000.0,-91588000.0,35556000,HLF,2012-09-30
335043,USD,2012,Q4,2013-03-18,2015-02-26,216072000.0,228198000.0,112245000.0,18998000.0,24094000.0,12573000.0,,,,,167910000.0,-62214000.0,,,-62548000.0,-32413000.0,-12709000.0,-49888000.0,-93423000.0,11753000,HLF,2012-12-31
335043,USD,2013,Q1,2013-06-16,2014-04-28,208242000.0,216136000.0,118873000.0,20964000.0,14105000.0,-16315000.0,,,,,137627000.0,-24832000.0,,,-24832000.0,-30904000.0,487714000.0,-164060000.0,293197000.0,388940000,HLF,2013-03-31
335043,USD,2013,Q2,2013-09-15,2014-07-28,205986000.0,214166000.0,143162000.0,21346000.0,19335000.0,29983000.0,,,,,213826000.0,-31183000.0,,,-31183000.0,-30919000.0,-12737000.0,-695000.0,-44783000.0,127229000,HLF,2013-06-30
335043,USD,2013,Q3,2013-12-16,2014-11-03,204400000.0,215554000.0,141950000.0,20897000.0,20331000.0,42353000.0,,,,,225531000.0,-35646000.0,,,-35646000.0,-30828000.0,-12478000.0,-110091000.0,-155998000.0,42845000,HLF,2013-09-30
335043,USD,2013,Q4,2014-02-18,2016-02-25,202172000.0,213344000.0,123515000.0,21493000.0,-10871000.0,61779000.0,,,,,195916000.0,-55039000.0,-4100000.0,,-59139000.0,-30449000.0,-18799000.0,-30654000.0,-61716000.0,80486000,HLF,2013-12-31
335043,USD,2014,Q1,2014-04-28,2015-05-05,190800000.0,201600000.0,74600000.0,21300000.0,117700000.0,-23000000.0,,,,,190600000.0,-58500000.0,-3200000.0,,-61700000.0,-30400000.0,1131200000.0,-694400000.0,260300000.0,288900000,HLF,2014-03-31
335043,USD,2014,Q2,2014-07-28,2015-08-05,172200000.0,182400000.0,119600000.0,23500000.0,14900000.0,-1000000.0,,,,,157000000.0,-47000000.0,-4400000.0,,-51400000.0,0.0,-18700000.0,-581500000.0,-596700000.0,-488400000,HLF,2014-06-30
335043,USD,2014,Q3,2014-11-03,2015-11-03,163800000.0,172400000.0,11200000.0,24400000.0,122400000.0,-56100000.0,,,,,101900000.0,-34500000.0,-4200000.0,,-38700000.0,0.0,-18800000.0,-100000.0,-21400000.0,-95300000,HLF,2014-09-30
