SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
497806,USD,2014,Q4,2015-02-05,2017-02-23,122133000.0,125028000.0,13499000.0,4868000.0,3844000.0,13469000.0,,,,,35680000.0,-1171000.0,,,-5011000.0,0.0,-29000.0,0.0,-49000.0,30620000,INOV,2014-12-31
497806,USD,2015,Q1,2015-05-08,2016-05-05,135331000.0,138902000.0,13759000.0,4915000.0,1283000.0,-19140000.0,,,,,817000.0,-1338000.0,,,-6496000.0,,354054000.0,282172000.0,636226000.0,630547000,INOV,2015-03-31
497806,USD,2015,Q2,2015-08-06,2016-08-04,147648000.0,151299000.0,26136000.0,4812000.0,75000.0,-12104000.0,,,,,18919000.0,-1053000.0,,,-610843000.0,,-7207000.0,227000.0,-6757000.0,-598681000,INOV,2015-06-30
497806,USD,2015,Q3,2015-11-05,2016-11-03,148871000.0,151835000.0,10120000.0,5526000.0,-10070000.0,18844000.0,,,,,24420000.0,-2148000.0,,-114015000.0,-74026000.0,,-5611000.0,11475000.0,21680000.0,-27926000,INOV,2015-09-30
497806,USD,2015,Q4,2016-02-26,2018-02-21,151130000.0,151064000.0,16048000.0,7380000.0,6594000.0,-6624000.0,,,,,23398000.0,-1947000.0,,-703000.0,-76955000.0,,-4443000.0,2958000.0,1084000.0,-52473000,INOV,2015-12-31
497806,USD,2016,Q1,2016-05-05,2017-05-04,151282000.0,152355000.0,2365000.0,8394000.0,358000.0,3182000.0,,,,,14299000.0,-4053000.0,,,-2237000.0,,-3963000.0,3841000.0,789000.0,12851000,INOV,2016-03-31
497806,USD,2016,Q2,2016-08-04,2017-08-03,151712000.0,152706000.0,16251000.0,8496000.0,3466000.0,-10106000.0,,,,,18107000.0,-4210000.0,,,17735000.0,,-3663000.0,574000.0,-2932000.0,32910000,INOV,2016-06-30
497806,USD,2016,Q3,2016-11-03,2017-11-02,150732000.0,151562000.0,7807000.0,8904000.0,1127000.0,18375000.0,,,,,36213000.0,-3004000.0,,0.0,74825000.0,,-3792000.0,-50422000.0,-56447000.0,54591000,INOV,2016-09-30
497806,USD,2016,Q4,2017-02-23,2018-02-21,146466000.0,147197000.0,681000.0,11490000.0,6900000.0,5140000.0,,,,,24211000.0,-8093000.0,,-88509000.0,-50524000.0,,-5196000.0,-54059000.0,-60390000.0,-86703000,INOV,2016-12-31
497806,USD,2017,Q1,2017-05-04,2018-05-08,144729000.0,145165000.0,3642000.0,12485000.0,4075000.0,-17871000.0,,,,,2331000.0,-2965000.0,,,51045000.0,,-7813000.0,-25358000.0,-33171000.0,20205000,INOV,2017-03-31
497806,USD,2017,Q2,2017-08-03,2018-08-01,142632000.0,143072000.0,5486000.0,12479000.0,1911000.0,18912000.0,,,,,38788000.0,-6215000.0,,0.0,29626000.0,,-7491000.0,-16799000.0,-24290000.0,44124000,INOV,2017-06-30
497806,USD,2017,Q3,2017-11-02,2017-11-02,141226000.0,141699000.0,8241000.0,13550000.0,3851000.0,14187000.0,,,,,39829000.0,-8364000.0,,-3490000.0,27250000.0,,-7488000.0,-19048000.0,-26536000.0,40543000,INOV,2017-09-30
497806,USD,2017,Q4,2018-02-21,2018-02-21,140313000.0,141012000.0,17449000.0,14575000.0,-3454000.0,-11812000.0,,,,,16758000.0,-15021000.0,,0.0,-1362000.0,,-11593000.0,-27414000.0,-39007000.0,-23611000,INOV,2017-12-31
497806,USD,2018,Q1,2018-05-08,2018-05-08,139378000.0,139378000.0,-16834000.0,16380000.0,-622000.0,7950000.0,,,,,6874000.0,-9645000.0,,,204472000.0,,-11740000.0,1450000.0,-10290000.0,201056000,INOV,2018-03-31
497806,USD,2018,Q2,2018-08-01,2018-08-01,147181000.0,147181000.0,-10466000.0,26906000.0,14065000.0,-17255000.0,,,,,13250000.0,-6831000.0,,-1082740000.0,-1076547000.0,,721141000.0,163000.0,721304000.0,-341993000,INOV,2018-06-30
497806,USD,2018,Q3,2018-11-07,2018-11-07,147339000.0,147339000.0,-844000.0,26571000.0,6689000.0,10475000.0,,,,,42891000.0,-3467000.0,,0.0,-6998000.0,,-399000.0,15000.0,-384000.0,35509000,INOV,2018-09-30
497806,USD,2018,Q4,2019-02-20,2019-02-20,147658000.0,147658000.0,-11020000.0,26868000.0,1581000.0,9957000.0,,,,,27386000.0,-5562000.0,,0.0,-10281000.0,,17598000.0,205000.0,-5030000.0,12075000,INOV,2018-12-31
497806,USD,2019,Q1,2019-05-01,2019-05-01,147774000.0,147774000.0,-8323000.0,27047000.0,3092000.0,-7061000.0,,,,,14755000.0,-3796000.0,,,-6258000.0,,-3536000.0,0.0,-4208000.0,4289000,INOV,2019-03-31
