SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
675457,USD,2011,Q2,2011-08-05,2012-08-03,26667000.0,27911000.0,8024000.0,2457000.0,1291000.0,-17762000.0,,,,,-5990000.0,-2654000.0,2500000.0,,-154000.0,,,4013000.0,6870000.0,726000,IRBT,2011-06-30
675457,USD,2011,Q3,2011-11-04,2012-11-02,26902000.0,27940000.0,14052000.0,2597000.0,3857000.0,4468000.0,,,,,24974000.0,-3149000.0,0.0,,-3149000.0,,,801000.0,1112000.0,22937000,IRBT,2011-09-30
675457,USD,2011,Q4,2012-02-21,2014-02-18,27190000.0,28360000.0,10638000.0,3075000.0,1347000.0,21594000.0,,,,,36654000.0,-2654000.0,-4189000.0,0.0,-6843000.0,,,4003000.0,4835000.0,34646000,IRBT,2011-12-31
675457,USD,2012,Q1,2012-05-04,2013-05-03,27352000.0,28283000.0,653000.0,2602000.0,-4795000.0,5372000.0,,,,,3832000.0,-1643000.0,2500000.0,,-5143000.0,,,1323000.0,1801000.0,490000,IRBT,2012-03-31
675457,USD,2012,Q2,2012-08-03,2013-08-02,27522000.0,28182000.0,7375000.0,2711000.0,5153000.0,-19576000.0,,,,,-4337000.0,-1313000.0,-5086000.0,,-6399000.0,,,699000.0,481000.0,-10255000,IRBT,2012-06-30
675457,USD,2012,Q3,2012-11-02,2013-11-01,27650000.0,28321000.0,15207000.0,2868000.0,4191000.0,-10464000.0,,,,,11802000.0,-1111000.0,0.0,,-1111000.0,,,2000000.0,2424000.0,13115000,IRBT,2012-09-30
675457,USD,2012,Q4,2013-02-15,2015-02-13,27784000.0,28418000.0,-5938000.0,3491000.0,2645000.0,26366000.0,,,,,26564000.0,-2703000.0,7500000.0,-74530000.0,-69733000.0,,,304000.0,281000.0,-42888000,IRBT,2012-12-31
675457,USD,2013,Q1,2013-05-03,2014-05-02,27930000.0,28558000.0,8355000.0,3284000.0,2630000.0,-14113000.0,,,,,156000.0,-1077000.0,-1547000.0,,-4624000.0,,,1744000.0,1274000.0,-3194000,IRBT,2013-03-31
675457,USD,2013,Q2,2013-08-02,2014-08-01,28416000.0,29226000.0,8294000.0,3265000.0,3304000.0,-6822000.0,,,,,8041000.0,-1751000.0,-5350000.0,,-7101000.0,,,8099000.0,9341000.0,10281000,IRBT,2013-06-30
675457,USD,2013,Q3,2013-11-01,2014-10-31,28733000.0,29582000.0,7804000.0,2480000.0,2505000.0,-10206000.0,,,,,2583000.0,-1831000.0,2044000.0,,213000.0,,,2521000.0,3078000.0,5874000,IRBT,2013-09-30
675457,USD,2013,Q4,2014-02-18,2016-02-19,28901000.0,30050000.0,3188000.0,3140000.0,4017000.0,20767000.0,,,,,31112000.0,-1520000.0,-5049000.0,,-6569000.0,,,1265000.0,1130000.0,25673000,IRBT,2013-12-31
675457,USD,2014,Q1,2014-05-02,2015-05-01,29189000.0,30033000.0,5280000.0,3142000.0,2760000.0,-18944000.0,,,,,-7762000.0,-2177000.0,-8711000.0,,-10888000.0,,,6957000.0,8070000.0,-10580000,IRBT,2014-03-31
675457,USD,2014,Q2,2014-08-01,2015-07-31,29533000.0,30129000.0,8530000.0,3178000.0,1249000.0,-12992000.0,,,,,-35000.0,-3347000.0,-4503000.0,,-7850000.0,,,694000.0,779000.0,-7106000,IRBT,2014-06-30
675457,USD,2014,Q3,2014-10-31,2015-10-30,29595000.0,30183000.0,14607000.0,3258000.0,4154000.0,-14348000.0,,,,,7671000.0,-3644000.0,-3500000.0,,-7144000.0,,,202000.0,179000.0,706000,IRBT,2014-09-30
675457,USD,2014,Q4,2015-02-13,2017-02-17,29623000.0,30495000.0,9386000.0,3471000.0,5960000.0,21915000.0,,,,,40732000.0,-4606000.0,1995000.0,0.0,-2861000.0,,,-588000.0,-338000.0,37533000,IRBT,2014-12-31
675457,USD,2015,Q1,2015-05-01,2016-05-06,29653000.0,30230000.0,4754000.0,3561000.0,2505000.0,-3099000.0,,,,,7721000.0,-4445000.0,-1041000.0,,-6001000.0,,,-3458000.0,-4016000.0,-2296000,IRBT,2015-03-31
675457,USD,2015,Q2,2015-07-31,2016-08-05,29785000.0,30268000.0,7252000.0,3450000.0,4256000.0,-10921000.0,,,,,4037000.0,-1094000.0,-139000.0,0.0,-1733000.0,,,636000.0,651000.0,2955000,IRBT,2015-06-30
675457,USD,2015,Q3,2015-10-30,2016-11-07,29654000.0,30117000.0,12793000.0,3558000.0,5508000.0,-13640000.0,,,,,8219000.0,-2018000.0,1425000.0,0.0,-593000.0,,,-17855000.0,-17812000.0,-10186000,IRBT,2015-09-30
675457,USD,2015,Q4,2016-02-19,2018-02-16,29108000.0,29813000.0,19331000.0,4735000.0,-3676000.0,-13655000.0,,,,,6735000.0,-1815000.0,2500000.0,5645000.0,6330000.0,,,-10252000.0,-9580000.0,3485000,IRBT,2015-12-31
675457,USD,2016,Q1,2016-05-06,2017-05-05,29004000.0,29474000.0,3932000.0,3375000.0,3611000.0,37705000.0,,,,,48623000.0,-2390000.0,2500000.0,,-413000.0,,,-11184000.0,-12135000.0,36075000,IRBT,2016-03-31
675457,USD,2016,Q2,2016-08-05,2017-08-04,27360000.0,27836000.0,4814000.0,3354000.0,4258000.0,-25425000.0,,,,,-12999000.0,-1857000.0,-4052000.0,23520000.0,17706000.0,,,-82694000.0,-82231000.0,-77524000,IRBT,2016-06-30
675457,USD,2016,Q3,2016-11-07,2017-11-03,27237000.0,27778000.0,19512000.0,3442000.0,8315000.0,141000.0,,,,,31410000.0,-3471000.0,-3502000.0,0.0,-6980000.0,,,1353000.0,1656000.0,26086000,IRBT,2016-09-30
675457,USD,2016,Q4,2017-02-17,2019-02-14,27191000.0,28080000.0,13681000.0,3435000.0,-1964000.0,34238000.0,,,,,49390000.0,-3099000.0,-2000000.0,0.0,-6123000.0,,,4848000.0,6704000.0,49971000,IRBT,2016-12-31
675457,USD,2017,Q1,2017-05-05,2018-05-04,27304000.0,28295000.0,16359000.0,3486000.0,4514000.0,2400000.0,,,,,26759000.0,-3008000.0,2000.0,,-3510000.0,,,722000.0,-2056000.0,21205000,IRBT,2017-03-31
675457,USD,2017,Q2,2017-08-04,2018-08-03,27516000.0,28778000.0,7903000.0,5329000.0,1059000.0,-8260000.0,,,,,6031000.0,-10264000.0,-36000.0,-16524000.0,-26175000.0,,,4643000.0,4447000.0,-15555000,IRBT,2017-06-30
675457,USD,2017,Q3,2017-11-03,2018-11-02,27739000.0,28916000.0,22081000.0,5708000.0,2253000.0,-11734000.0,,,,,18308000.0,-3358000.0,3500000.0,0.0,-321000.0,,,3625000.0,3625000.0,21613000,IRBT,2017-09-30
675457,USD,2017,Q4,2018-02-16,2019-02-14,27885000.0,29023000.0,4621000.0,10976000.0,9547000.0,73000.0,,,,,25217000.0,-6741000.0,-978000.0,-132241000.0,-139917000.0,,,1583000.0,1574000.0,-113151000,IRBT,2017-12-31
675457,USD,2018,Q1,2018-05-04,2018-05-04,27988000.0,28923000.0,20401000.0,8747000.0,4352000.0,-3710000.0,,,,,29790000.0,-8717000.0,-2938000.0,,-11276000.0,,,399000.0,-3079000.0,15866000,IRBT,2018-03-31
675457,USD,2018,Q2,2018-08-03,2018-08-03,27615000.0,28337000.0,10471000.0,8915000.0,4145000.0,-27002000.0,,,,,-3471000.0,-5567000.0,3500000.0,0.0,-3654000.0,,,-47794000.0,-47848000.0,-55718000,IRBT,2018-06-30
675457,USD,2018,Q3,2018-11-02,2018-11-02,27493000.0,28506000.0,31929000.0,9415000.0,7131000.0,-34501000.0,,,,,13974000.0,-11000000.0,3500000.0,0.0,-7699000.0,,,5343000.0,5343000.0,11339000,IRBT,2018-09-30
675457,USD,2018,Q4,2019-02-14,2021-02-16,27672000.0,28794000.0,25191000.0,9497000.0,1165000.0,-4461000.0,,,,,31392000.0,-7138000.0,4356000.0,0.0,-3738000.0,,,2418000.0,2418000.0,30251000,IRBT,2018-12-31
675457,USD,2019,Q1,2019-05-02,2019-05-02,27863000.0,28763000.0,22520000.0,8724000.0,7232000.0,14227000.0,,,,,52703000.0,-6004000.0,2380000.0,,-5601000.0,,,2563000.0,-4649000.0,42721000,IRBT,2019-03-31
675457,USD,2019,Q2,2019-08-01,2019-08-01,28079000.0,28763000.0,7207000.0,9181000.0,-3379000.0,-44409000.0,,,,,-31400000.0,-8701000.0,3500000.0,-2817000.0,-10582000.0,,,2117000.0,2052000.0,-40299000,IRBT,2019-06-30
675457,USD,2019,Q3,2019-10-31,2019-10-31,28154000.0,28650000.0,35532000.0,9839000.0,5548000.0,-103801000.0,,,,,-52882000.0,-12375000.0,3500000.0,0.0,-9670000.0,,,301000.0,301000.0,-62253000,IRBT,2019-09-30
675457,USD,2019,Q4,2020-02-13,2020-02-13,28292000.0,28764000.0,20041000.0,9415000.0,2053000.0,130122000.0,,,,,161631000.0,-8257000.0,13287000.0,0.0,4930000.0,,,2166000.0,2166000.0,168850000,IRBT,2019-12-31
675457,USD,2020,Q1,2020-05-01,2021-05-06,28297000.0,28297000.0,-18135000.0,7459000.0,6194000.0,45216000.0,,,,,40734000.0,-7310000.0,1940000.0,,-5370000.0,,,-24066000.0,-25882000.0,9376000,IRBT,2020-03-31
