SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378180,USD,2009,Q2,2009-08-05,2010-08-06,257489460.0,265008180.0,410984000.0,22210000.0,-488786000.0,59183000.0,,,,,3591000.0,-5716000.0,-42079000.0,-26638000.0,-15516000.0,,-10268000.0,175000.0,-36596000.0,-48521000,JEF,2009-05-31
378180,USD,2009,Q3,2009-11-05,2010-11-05,259778184.0,264555348.0,369580000.0,21130000.0,-395104000.0,-54866000.0,,,,,-59260000.0,-6200000.0,92661000.0,-19481000.0,111013000.0,,25552000.0,391000.0,24735000.0,76488000,JEF,2009-08-31
378180,USD,2009,Q4,2010-02-04,2012-02-27,259434288.0,274530468.0,-91836000.0,22795000.0,19732000.0,37425000.0,,,,,-11884000.0,19624000.0,138391000.0,-225706000.0,-60533000.0,,-5178000.0,392000.0,-6107000.0,-78524000,JEF,2009-11-30
378180,USD,2010,Q1,2010-05-05,2011-05-05,259834788.0,264430392.0,191505000.0,26455000.0,-268189000.0,-21818000.0,,,,,-72047000.0,-3476000.0,138426000.0,-12850000.0,127091000.0,,10814000.0,261000.0,9811000.0,64855000,JEF,2010-02-28
378180,USD,2010,Q2,2010-08-06,2011-08-03,259857216.0,259857216.0,-236278000.0,26057000.0,188768000.0,35858000.0,,,,,14405000.0,-4634000.0,-32969000.0,-4801000.0,-9017000.0,,23873000.0,358000.0,23866000.0,29254000,JEF,2010-05-31
378180,USD,2010,Q3,2010-11-05,2011-11-08,259862556.0,264406896.0,250088000.0,27674000.0,-112033000.0,-62187000.0,,,,,103542000.0,-6845000.0,-218598000.0,-13557000.0,-162977000.0,,146990000.0,0.0,146373000.0,86938000,JEF,2010-08-31
378180,USD,2010,Q4,2011-02-25,2013-02-25,260160528.0,269360280.0,1673924000.0,25668000.0,-1339343000.0,25117000.0,,,,,385366000.0,126572000.0,-441986000.0,-310956000.0,-163815000.0,-60952000.0,-64981000.0,10658000.0,-115386000.0,106165000,JEF,2010-11-30
378180,USD,2011,Q1,2011-05-05,2012-05-04,260679576.0,261254160.0,10707000.0,23787000.0,29980000.0,-82249000.0,,,,,-17775000.0,11759000.0,-196217000.0,-5342000.0,-179521000.0,,71910000.0,1340000.0,69888000.0,-127408000,JEF,2011-02-28
378180,USD,2011,Q2,2011-08-03,2012-08-01,261148428.0,265959768.0,185114000.0,24711000.0,-243672000.0,53546000.0,,,,,19699000.0,-9697000.0,101597000.0,-213227000.0,157037000.0,,43238000.0,5513000.0,48424000.0,225160000,JEF,2011-05-31
378180,USD,2011,Q3,2011-11-08,2012-11-06,261211440.0,261211440.0,-292541000.0,23679000.0,355679000.0,-65787000.0,,,,,21030000.0,-8856000.0,322316000.0,-435487000.0,-90267000.0,,-159594000.0,273000.0,-163585000.0,-232822000,JEF,2011-08-31
378180,USD,2011,Q4,2012-02-27,2014-02-28,261144156.0,256390488.0,112007000.0,24446000.0,-889261000.0,173083000.0,,,,,-579725000.0,-5358000.0,973100000.0,-497330000.0,503420000.0,-61146000.0,-6996000.0,-155000.0,-61364000.0,-137780000,JEF,2011-11-30
378180,USD,2012,Q1,2012-05-04,2013-05-09,261214644.0,265873260.0,487235000.0,50141000.0,-488215000.0,-91848000.0,,,,,-42687000.0,-16596000.0,539205000.0,-1746000.0,539658000.0,,-455507000.0,,-460170000.0,36801000,JEF,2012-02-29
378180,USD,2012,Q2,2012-08-01,2013-08-06,261214644.0,261214644.0,-187768000.0,44353000.0,224510000.0,24761000.0,,,,,105856000.0,-12344000.0,-45307000.0,-2546000.0,-31243000.0,,-86198000.0,,-93239000.0,-18626000,JEF,2012-05-31
378180,USD,2012,Q3,2012-11-06,2013-11-07,261214644.0,265835880.0,121451000.0,40212000.0,49695000.0,-11414000.0,,,,,199944000.0,-13442000.0,148000.0,-28282000.0,421509000.0,,-28824000.0,,-35974000.0,585479000,JEF,2012-08-31
378180,USD,2012,Q4,2013-02-25,2015-02-27,261214644.0,270436824.0,450072000.0,35407000.0,-289926000.0,186773000.0,,,,,382326000.0,-18215000.0,-1310548000.0,-36311000.0,-946543000.0,-61146000.0,-1373000.0,,-62325000.0,-626184000,JEF,2012-11-30
378180,USD,2013,Q1,2013-05-09,2014-05-09,294484980.0,300734916.0,300789000.0,36252000.0,-207487000.0,-292551000.0,,,,,-162997000.0,-5792000.0,102406000.0,3000774000.0,3110680000.0,-22996000.0,95149000.0,,47039000.0,2994461000,JEF,2013-02-28
