SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
680726,USD,2016,Q4,2017-03-14,2018-04-13,10420760.0,10420760.0,2045000.0,8937000.0,-2223000.0,21361000.0,,,,,30120000.0,-11262000.0,,,-11262000.0,0.0,-10345000.0,,-10345000.0,8513000,JILL,2017-01-31
680726,USD,2017,Q1,2017-06-12,2018-06-14,10127822.0,10404692.0,8027000.0,8793000.0,318000.0,-10151000.0,,,,,6987000.0,-4423000.0,,,-4423000.0,,-700000.0,,-700000.0,1864000,JILL,2017-04-30
680726,USD,2017,Q2,2017-09-12,2017-09-12,9897168.0,10374628.0,11996000.0,8338000.0,1441000.0,16518000.0,,,,,38293000.0,-6492000.0,,,-6492000.0,,-18472000.0,,-18472000.0,13329000,JILL,2017-07-31
680726,USD,2017,Q3,2017-12-12,2017-12-12,9940506.0,10374563.0,5994000.0,8628000.0,-3000.0,-5364000.0,,,,,9255000.0,-11410000.0,,,-11410000.0,,-700000.0,,-700000.0,-2855000,JILL,2017-10-31
680726,USD,2017,Q4,2018-04-13,2018-04-13,9981746.0,10361277.0,29348000.0,9281000.0,-22017000.0,5207000.0,,,,,21819000.0,-16047000.0,,,-16047000.0,,-5600000.0,,-5600000.0,172000,JILL,2018-01-31
680726,USD,2018,Q1,2018-06-14,2018-06-14,10055930.0,10339646.0,11258000.0,9357000.0,-745000.0,-14335000.0,,,,,5535000.0,-2150000.0,,,-2150000.0,,-700000.0,,-700000.0,2685000,JILL,2018-04-30
680726,USD,2018,Q2,2018-09-18,2018-09-18,10208148.0,10651397.0,10485000.0,8888000.0,292000.0,17915000.0,,,,,37580000.0,-3509000.0,,,-3509000.0,,-699000.0,,-699000.0,33372000,JILL,2018-07-31
680726,USD,2018,Q3,2018-12-13,2018-12-13,10231446.0,10594134.0,6688000.0,9152000.0,779000.0,-9706000.0,,,,,6913000.0,-8358000.0,,,-8358000.0,,-700000.0,,-700000.0,-2145000,JILL,2018-10-31
680726,USD,2018,Q4,2019-04-08,2019-04-08,3721529.0,3806624.0,2094000.0,9346000.0,960000.0,5075000.0,,,,,17475000.0,-10693000.0,,,-10693000.0,,-700000.0,232000.0,-468000.0,6314000,JILL,2019-01-31
680726,USD,2019,Q1,2019-06-11,2019-06-11,8665504.0,8895631.0,4366000.0,9452000.0,770000.0,-10314000.0,,,,,4274000.0,-4068000.0,,,-4068000.0,-50154000.0,-700000.0,,-52120000.0,-51914000,JILL,2019-04-30
680726,USD,2019,Q2,2019-09-11,2019-09-11,8758670.0,8758670.0,-96735000.0,9394000.0,93264000.0,13339000.0,,,,,19262000.0,-3836000.0,,,-3836000.0,0.0,-699000.0,,-592000.0,14834000,JILL,2019-07-31
680726,USD,2019,Q3,2019-12-12,2019-12-12,8767733.0,8790140.0,2387000.0,9455000.0,-978000.0,-16713000.0,,,,,-5849000.0,-5589000.0,,,-5589000.0,0.0,-700000.0,,-728000.0,-12166000,JILL,2019-10-31
680726,USD,2019,Q4,2020-06-15,2020-06-15,8807552.0,8555019.0,-38585000.0,9615000.0,35033000.0,8903000.0,,,,,14966000.0,-4729000.0,,,-4729000.0,0.0,-5700000.0,134000.0,-5668000.0,4569000,JILL,2020-01-31
