SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
921297,USD,2014,Q3,2014-11-14,2015-11-16,4828122.0,4828122.0,-202373.0,52822.0,86585.0,-325234.0,,,,,-388200.0,6850.0,,,13380.0,,,,-511921.0,-886741,JYNT,2014-09-30
921297,USD,2014,Q4,2015-02-14,2016-03-17,7347819.0,7347819.0,-2567201.0,68416.0,1750127.0,425595.0,,,,,-323063.0,-120982.0,,-1407500.0,-1543604.0,,,22425000.0,20289525.0,18422858,JYNT,2014-12-31
921297,USD,2015,Q1,2015-05-15,2016-05-16,9662502.0,9662502.0,-1903723.0,122596.0,-163968.0,602034.0,,,,,-1343061.0,-2521.0,,-2375000.0,-2370792.0,,,,,-3713853,JYNT,2015-03-31
921297,USD,2015,Q2,2015-08-14,2016-08-12,9768230.0,9768230.0,-1855870.0,278502.0,-137564.0,514425.0,,,,,-1200507.0,-471287.0,,-2812975.0,-3277432.0,,-25000.0,,-25000.0,-4502939,JYNT,2015-06-30
921297,USD,2015,Q3,2015-11-16,2016-11-14,9844964.0,9844964.0,-1656724.0,421391.0,-79460.0,-150321.0,,,,,-1465114.0,-975817.0,,-540050.0,-1507864.0,,-85000.0,,-85000.0,-3057978,JYNT,2015-09-30
921297,USD,2015,Q4,2016-03-17,2017-03-10,10892308.0,10892308.0,-3381004.0,446466.0,-188254.0,334995.0,,,,,-2787797.0,-2604821.0,,-273000.0,-2856995.0,,-108500.0,14375532.0,12915629.0,7270837,JYNT,2015-12-31
921297,USD,2016,Q1,2016-05-16,2017-05-12,12567901.0,12567901.0,-3525134.0,575544.0,94374.0,-2904512.0,,,,,-5759728.0,-287942.0,,-275000.0,-545684.0,,-120500.0,558.0,-119942.0,-6425354,JYNT,2016-03-31
921297,USD,2016,Q2,2016-08-12,2017-08-11,12672974.0,12672974.0,-3261381.0,637115.0,194464.0,134292.0,,,,,-2295510.0,-1053460.0,,-861451.0,-1920265.0,,-96950.0,63992.0,-32958.0,-4248733,JYNT,2016-06-30
921297,USD,2016,Q3,2016-11-14,2017-11-13,12730624.0,12730624.0,-2626892.0,695579.0,202127.0,-559293.0,,,,,-2288479.0,-156472.0,,1.0,-142430.0,,-218900.0,-82456.0,-301356.0,-2732265,JYNT,2016-09-30
921297,USD,2016,Q4,2017-03-10,2018-03-09,12815097.0,12815097.0,-5760465.0,657898.0,3911564.0,687408.0,,,,,-503595.0,-69853.0,,-27550.0,-87443.0,,0.0,4404.0,214404.0,-376634,JYNT,2016-12-31
921297,USD,2017,Q1,2017-05-12,2018-05-11,13042595.0,13042595.0,-1765385.0,577987.0,650270.0,-741432.0,,,,,-1278560.0,-39325.0,,,-29317.0,,-163500.0,116277.0,952777.0,-355100,JYNT,2017-03-31
