SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
275886,USD,2013,Q1,2013-05-15,2016-02-24,1845000.0,1845000.0,,,,,,,,,518000.0,-80000.0,,,-80000.0,,,,0.0,438000,KANP,2013-03-31
275886,USD,2013,Q2,2013-08-08,2016-03-28,1845000.0,1845000.0,,,,,,,,,-673000.0,-83000.0,,,-83000.0,,,,0.0,-756000,KANP,2013-06-30
275886,USD,2013,Q3,2013-11-14,2016-04-11,1845000.0,1845000.0,,,,,,,,,-1739000.0,-559000.0,,,-559000.0,,,,0.0,-2298000,KANP,2013-09-30
275886,USD,2013,Q4,2015-12-29,2016-09-27,1845000.0,1845000.0,,,,,,,,,1930000.0,-95000.0,,,-444000.0,,,,0.0,1486000,KANP,2013-12-31
275886,USD,2014,Q1,2016-02-24,2016-06-30,1845000.0,1845000.0,,,,,,,,,728000.0,-241000.0,,,-241000.0,,,,35000.0,522000,KANP,2014-03-31
275886,USD,2014,Q2,2016-03-28,2016-07-15,1845000.0,1845000.0,,,,,,,,,5276000.0,-277000.0,,,-277000.0,,,,49000.0,5048000,KANP,2014-06-30
275886,USD,2014,Q3,2016-04-11,2016-08-08,1845000.0,1845000.0,,,,,,,,,3055000.0,-290000.0,,,-290000.0,,,,-107000.0,2658000,KANP,2014-09-30
275886,USD,2014,Q4,2016-05-18,2017-03-31,1845000.0,1845000.0,,,,,,,,,2204000.0,-203000.0,,,-23000.0,,,,59000.0,2240000,KANP,2014-12-31
275886,USD,2015,Q1,2016-06-30,2016-10-24,1845000.0,1845000.0,,,,,,,,,725000.0,-53000.0,,,-53000.0,,,,66000.0,738000,KANP,2015-03-31
275886,USD,2015,Q2,2016-07-15,2016-11-04,1845000.0,1845000.0,,,,,,,,,-282000.0,-67000.0,,,-67000.0,,,,67000.0,-282000,KANP,2015-06-30
275886,USD,2015,Q3,2016-08-08,2016-11-14,1845000.0,1845000.0,,,,,,,,,-782000.0,-29000.0,,,-29000.0,,,,70000.0,-741000,KANP,2015-09-30
275886,USD,2015,Q4,2016-09-27,2018-03-29,1845000.0,1845000.0,,,,,,,,,-1107000.0,-162000.0,,,81000.0,,,,-185000.0,-1211000,KANP,2015-12-31
275886,USD,2016,Q1,2016-10-24,2017-05-15,1845000.0,1845000.0,,,,,,,,,1140000.0,-30000.0,,,-30000.0,,,,96000.0,1206000,KANP,2016-03-31
275886,USD,2016,Q2,2016-11-04,2017-08-11,1845000.0,1845000.0,,,,,,,,,-919000.0,-75000.0,,,-75000.0,,,,60000.0,-934000,KANP,2016-06-30
275886,USD,2016,Q3,2016-11-14,2017-11-13,1845000.0,1845000.0,,,,,,,,,-86000.0,-194000.0,,,-194000.0,,,,60000.0,-220000,KANP,2016-09-30
275886,USD,2016,Q4,2017-03-31,2018-03-29,1845000.0,1845000.0,,,,,,,,,-837000.0,-124000.0,,,-224000.0,,,,-54000.0,-1115000,KANP,2016-12-31
275886,USD,2017,Q1,2017-05-15,2018-05-15,1845000.0,1845000.0,,,,,,,,,-528000.0,-98000.0,,,-98000.0,,,,95000.0,-531000,KANP,2017-03-31
275886,USD,2017,Q2,2017-08-11,2018-08-13,1845000.0,1845000.0,,,,,,,,,509000.0,-88000.0,,,-88000.0,,,,86000.0,507000,KANP,2017-06-30
275886,USD,2017,Q3,2017-11-13,2017-11-13,1845000.0,1845000.0,,,,,,,,,8277000.0,-289000.0,,,-289000.0,,,,77000.0,8065000,KANP,2017-09-30
275886,USD,2017,Q4,2018-03-29,2018-03-29,1845000.0,1845000.0,,,,,,,,,1583000.0,-87000.0,,,-130000.0,,,,22000.0,1475000,KANP,2017-12-31
275886,USD,2018,Q1,2018-05-15,2018-05-15,1845000.0,1845000.0,,,,,,,,,413000.0,-25000.0,,,-25000.0,,,,82000.0,470000,KANP,2018-03-31
275886,USD,2018,Q2,2018-08-13,2018-08-13,1845000.0,1845000.0,,,,,,,,,335000.0,-304000.0,,,-304000.0,,,,104000.0,135000,KANP,2018-06-30
275886,USD,2018,Q3,2018-11-13,2018-11-13,1845000.0,1845000.0,,,,,,,,,-1131000.0,-56000.0,,,-56000.0,,,,108000.0,-1079000,KANP,2018-09-30
275886,USD,2018,Q4,2019-03-29,2019-03-29,1845000.0,1845000.0,,,,,,,,,-1185000.0,-89000.0,,,-89000.0,,,,-1000.0,-1275000,KANP,2018-12-31
275886,USD,2019,Q1,2019-05-14,2019-05-14,1845000.0,1845000.0,,,,,,,,,-909000.0,-49000.0,,,-49000.0,,,,104000.0,-854000,KANP,2019-03-31
275886,USD,2019,Q2,2019-08-13,2019-08-13,1845000.0,1845000.0,,,,,,,,,-376000.0,-215000.0,,,-215000.0,,,,104000.0,-487000,KANP,2019-06-30
275886,USD,2019,Q3,2019-11-13,2019-11-13,1845000.0,1845000.0,,,,,,,,,-1849000.0,-203000.0,,,-203000.0,,,,105000.0,-1947000,KANP,2019-09-30
275886,USD,2019,Q4,2020-03-26,2020-03-26,1845000.0,1845000.0,,,,,,,,,-1703000.0,-174000.0,,,-174000.0,,,,105000.0,-1772000,KANP,2019-12-31
275886,USD,2020,Q1,2020-05-12,2021-05-14,1845000.0,1845000.0,,,,,,,,,-1132000.0,-214000.0,,,-214000.0,,,,4000.0,-1342000,KANP,2020-03-31
