SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
895821,USD,2011,Q2,2011-08-04,2012-12-07,23800000.0,23800000.0,-5300000.0,11400000.0,1700000.0,-14700000.0,,,,,-6900000.0,500000.0,,-25100000.0,77700000.0,,-11200000.0,-400000.0,-13400000.0,54900000,KTOS,2011-06-30
895821,USD,2011,Q3,2011-11-04,2012-11-08,30800000.0,30800000.0,-7200000.0,15200000.0,2300000.0,12400000.0,,,,,22700000.0,-5300000.0,,-124600000.0,-127800000.0,,122200000.0,0.0,116700000.0,8700000,KTOS,2011-09-30
895821,USD,2011,Q4,2012-03-08,2014-03-12,33700000.0,33700000.0,-7200000.0,16600000.0,700000.0,-17500000.0,,,,,-7400000.0,-2200000.0,,-17300000.0,-19800000.0,,-2000000.0,-8900000.0,-14600000.0,-39500000,KTOS,2011-12-31
895821,USD,2012,Q1,2012-06-07,2013-05-09,32500000.0,32500000.0,-2500000.0,13600000.0,1700000.0,12200000.0,,,,,25000000.0,-2700000.0,,-21500000.0,-23800000.0,,-300000.0,,-400000.0,4600000,KTOS,2012-03-31
895821,USD,2012,Q2,2012-09-06,2013-08-08,41700000.0,41700000.0,-14900000.0,12300000.0,2600000.0,-15200000.0,,,,,-15200000.0,-3500000.0,,0.0,-3600000.0,,-200000.0,97000000.0,93100000.0,71500000,KTOS,2012-06-30
895821,USD,2012,Q3,2012-11-08,2013-11-07,56600000.0,56600000.0,-4400000.0,16600000.0,2800000.0,10300000.0,,,,,25300000.0,-5800000.0,,-127900000.0,-133500000.0,,-300000.0,0.0,-1100000.0,-108100000,KTOS,2012-09-30
895821,USD,2012,Q4,2013-03-12,2015-03-13,56800000.0,56800000.0,-91100000.0,15500000.0,96700000.0,-3900000.0,,,,,17200000.0,-4600000.0,,0.0,-4500000.0,,-200000.0,0.0,-700000.0,11400000,KTOS,2012-12-31
895821,USD,2013,Q1,2013-05-09,2014-04-30,56600000.0,56600000.0,-8200000.0,14200000.0,2300000.0,-3200000.0,,,,,5100000.0,-3300000.0,,1200000.0,-1900000.0,,-300000.0,,-500000.0,2600000,KTOS,2013-03-31
895821,USD,2013,Q2,2013-08-08,2014-08-07,56600000.0,56600000.0,-7300000.0,13600000.0,2300000.0,-5300000.0,,,,,3300000.0,-4000000.0,,0.0,-4000000.0,,-200000.0,,-2400000.0,-1900000,KTOS,2013-06-30
895821,USD,2013,Q3,2013-11-07,2014-11-07,57100000.0,57100000.0,-9500000.0,12900000.0,-3800000.0,3000000.0,,,,,2600000.0,-4900000.0,,1000000.0,-3600000.0,,-300000.0,,1200000.0,100000,KTOS,2013-09-30
895821,USD,2013,Q4,2014-03-12,2016-03-11,56900000.0,56900000.0,-4500000.0,5700000.0,3200000.0,6500000.0,,,,,10900000.0,-1100000.0,,0.0,-1200000.0,,-200000.0,1500000.0,-300000.0,5000000,KTOS,2013-12-31
