SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
600871,USD,2011,Q4,2011-09-09,2013-09-12,28340768.0,27987633.0,-1848072.0,1323644.0,-394524.0,-659186.0,,,,,-1578138.0,-1589945.0,-10912098.0,,-12502043.0,,4836895.0,103384.0,4910854.0,-9172656,LCI,2011-06-30
600871,USD,2012,Q1,2011-11-04,2012-11-09,28431733.0,28686644.0,222000.0,1418000.0,1982000.0,-3770000.0,,,,,-148000.0,-719000.0,11518000.0,,10799000.0,,1877000.0,-283000.0,1594000.0,12242000,LCI,2011-09-30
600871,USD,2012,Q2,2012-02-08,2013-02-08,28526658.0,28773477.0,630000.0,1384000.0,170000.0,1706000.0,,,,,3890000.0,-1537000.0,2351000.0,,814000.0,,-2153000.0,-62000.0,-2241000.0,2431000,LCI,2011-12-31
600871,USD,2012,Q3,2012-05-09,2013-05-09,28571062.0,28719669.0,1734000.0,1404000.0,715000.0,-2925000.0,,,,,928000.0,-1923000.0,108000.0,,-1815000.0,,-125000.0,57000.0,-68000.0,-961000,LCI,2012-03-31
600871,USD,2012,Q4,2012-09-12,2014-08-29,27523887.0,27453938.0,1432000.0,1529000.0,491000.0,2999000.0,,,,,6451000.0,-1051000.0,-1368000.0,,-2419000.0,,-260000.0,-162000.0,-415000.0,3573000,LCI,2012-06-30
600871,USD,2013,Q1,2012-11-09,2013-11-08,28278514.0,28469224.0,2943000.0,1549000.0,-310000.0,-1402000.0,,,,,2780000.0,-751000.0,1892000.0,,1141000.0,,-125000.0,-38000.0,-163000.0,3799000,LCI,2012-09-30
600871,USD,2013,Q2,2013-02-08,2014-02-07,28347464.0,28450597.0,2859000.0,1542000.0,1401000.0,4424000.0,,,,,10226000.0,-3479000.0,-1559000.0,,-5038000.0,,-127000.0,56000.0,-90000.0,5094000,LCI,2012-12-31
600871,USD,2013,Q3,2013-05-09,2014-05-09,28490175.0,29115941.0,3963000.0,1531000.0,-156000.0,-4976000.0,,,,,362000.0,-1380000.0,1272000.0,,-108000.0,,-127000.0,1537000.0,1410000.0,1611000,LCI,2013-03-31
600871,USD,2013,Q4,2013-09-12,2015-08-27,28754239.0,29735970.0,3617000.0,1576000.0,291000.0,7648000.0,,,,,13132000.0,-1899000.0,-2699000.0,,-4598000.0,,-268000.0,1088000.0,1057000.0,9623000,LCI,2013-06-30
600871,USD,2014,Q1,2013-11-08,2014-11-06,29586237.0,29586237.0,-5987000.0,1573000.0,17165000.0,-17746000.0,,,,,-4995000.0,-1978000.0,-1149000.0,,-3127000.0,,-127000.0,881000.0,1161000.0,-6962000,LCI,2013-09-30
