SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
705588,USD,2011,Q3,2011-10-11,2012-10-09,376177350.0,384338330.0,31300000.0,29925000.0,9656000.0,-139023000.0,,,,,-68142000.0,-30274000.0,,,-33663000.0,0.0,75882000.0,0.0,72445000.0,-27647000,LEVI,2011-08-31
705588,USD,2011,Q4,2012-02-07,2014-02-11,376177350.0,384338330.0,44133000.0,30373000.0,-763000.0,-89182000.0,,,,,-15439000.0,-24557000.0,,0.0,-26353000.0,0.0,33873000.0,-244000.0,25385000.0,-26302000,LEVI,2011-11-30
705588,USD,2012,Q1,2012-04-10,2013-04-09,376177350.0,384338330.0,49297000.0,31218000.0,6753000.0,17525000.0,,,,,104793000.0,-17174000.0,,,-20659000.0,0.0,-52704000.0,-479000.0,-53539000.0,33778000,LEVI,2012-02-29
705588,USD,2012,Q2,2012-07-10,2013-07-09,376177350.0,384338330.0,13243000.0,31559000.0,-23680000.0,201709000.0,,,,,222831000.0,-19195000.0,,,-13180000.0,-20036000.0,-132933000.0,0.0,-158616000.0,39573000,LEVI,2012-05-31
705588,USD,2012,Q3,2012-10-09,2013-10-04,376177350.0,384338330.0,25078000.0,28800000.0,27363000.0,6909000.0,,,,,88150000.0,-17420000.0,,,-16391000.0,0.0,-35381000.0,0.0,-36075000.0,36875000,LEVI,2012-08-31
705588,USD,2012,Q4,2013-02-07,2015-02-12,376177350.0,384338330.0,53341000.0,31031000.0,35684000.0,-4854000.0,,,,,115202000.0,-29426000.0,,-491000.0,-24968000.0,0.0,-2639000.0,-124000.0,-2709000.0,91366000,LEVI,2012-11-30
705588,USD,2013,Q1,2013-04-09,2014-04-08,376177350.0,384338330.0,106875000.0,28368000.0,7848000.0,-37000.0,,,,,143054000.0,-20838000.0,,0.0,-23548000.0,-25076000.0,-50797000.0,,-76000000.0,43462000,LEVI,2013-02-28
705588,USD,2013,Q2,2013-07-09,2014-07-08,376177350.0,384338330.0,48209000.0,28895000.0,7720000.0,26321000.0,,,,,111145000.0,-20906000.0,,0.0,-24393000.0,0.0,-139797000.0,-365000.0,-142512000.0,-59811000,LEVI,2013-05-31
705588,USD,2013,Q3,2013-10-04,2014-10-06,376177350.0,384338330.0,56445000.0,29337000.0,15775000.0,-81940000.0,,,,,19617000.0,-19090000.0,,0.0,-15440000.0,0.0,-9419000.0,0.0,-9211000.0,-7457000,LEVI,2013-08-31
705588,USD,2013,Q4,2014-02-11,2016-02-11,376177350.0,384338330.0,16607000.0,29120000.0,55436000.0,36289000.0,,,,,137452000.0,-28660000.0,,-400000.0,-29417000.0,0.0,1482000.0,-5379000.0,-2786000.0,106930000,LEVI,2013-11-30
705588,USD,2014,Q1,2014-04-08,2015-04-14,376177350.0,384338330.0,49623000.0,26945000.0,-1082000.0,-39812000.0,,,,,35674000.0,-20387000.0,,-75000.0,-14547000.0,,-7543000.0,,-6954000.0,13572000,LEVI,2014-02-28
705588,USD,2014,Q2,2014-07-08,2015-07-10,376177350.0,384338330.0,10989000.0,26454000.0,22115000.0,-22809000.0,,,,,36749000.0,-13531000.0,,0.0,-12677000.0,-30003000.0,-106097000.0,-4676000.0,-143094000.0,-116756000,LEVI,2014-05-31
705588,USD,2014,Q3,2014-10-06,2015-10-13,376177350.0,384338330.0,49800000.0,27720000.0,14749000.0,-83403000.0,,,,,8866000.0,-15072000.0,,-243000.0,-18726000.0,0.0,-7098000.0,-512000.0,-7149000.0,-18714000,LEVI,2014-08-31
705588,USD,2014,Q4,2015-06-04,2017-02-09,376177350.0,384338330.0,-6103000.0,28355000.0,23700000.0,105668000.0,,,,,151620000.0,-16357000.0,,0.0,-25899000.0,0.0,-184823000.0,-126000.0,-184479000.0,-69105000,LEVI,2014-11-30
705588,USD,2015,Q1,2015-04-14,2016-04-12,376177350.0,384338330.0,38283000.0,26475000.0,20963000.0,-48092000.0,,,,,37629000.0,-21141000.0,,,-25101000.0,,-97344000.0,,-96533000.0,-95525000,LEVI,2015-02-28
705588,USD,2015,Q2,2015-07-10,2016-07-11,376177350.0,384338330.0,11452000.0,23996000.0,-5193000.0,34680000.0,,,,,64935000.0,-13237000.0,,-251000.0,-10896000.0,-50000000.0,84641000.0,-2221000.0,29129000.0,81904000,LEVI,2015-05-31
705588,USD,2015,Q3,2015-10-13,2016-10-11,376177350.0,384338330.0,58461000.0,24977000.0,16060000.0,-91731000.0,,,,,7767000.0,-23050000.0,,-2020000.0,-17595000.0,0.0,4556000.0,-73000.0,4544000.0,-12079000,LEVI,2015-08-31
705588,USD,2015,Q4,2016-02-11,2018-02-07,376177350.0,384338330.0,101695000.0,26596000.0,48608000.0,-68898000.0,,,,,108001000.0,-38125000.0,,2271000.0,-27241000.0,0.0,-27951000.0,-1881000.0,-32035000.0,46016000,LEVI,2015-11-30
705588,USD,2016,Q1,2016-04-12,2017-04-11,376177350.0,384338330.0,66291000.0,25111000.0,-373000.0,-44951000.0,,,,,46078000.0,-30725000.0,,,-17758000.0,0.0,-73453000.0,0.0,-73571000.0,-47470000,LEVI,2016-02-29
705588,USD,2016,Q2,2016-07-11,2017-07-11,376177350.0,384338330.0,31060000.0,25385000.0,7997000.0,-7216000.0,,,,,57226000.0,878000.0,,,4798000.0,-60000000.0,83873000.0,-1393000.0,24521000.0,88439000,LEVI,2016-05-31
705588,USD,2016,Q3,2016-10-11,2017-10-10,376177350.0,384338330.0,97704000.0,25470000.0,5349000.0,-129008000.0,,,,,-485000.0,-27718000.0,,,-23186000.0,0.0,-65457000.0,-9000.0,-66607000.0,-87900000,LEVI,2016-08-31
705588,USD,2016,Q4,2017-02-09,2018-02-07,376177350.0,384338330.0,96154000.0,27912000.0,57214000.0,22451000.0,,,,,203731000.0,-27958000.0,,,-32202000.0,0.0,-55645000.0,-1161000.0,-57892000.0,103923000,LEVI,2016-11-30
705588,USD,2017,Q1,2017-04-11,2018-04-10,376177350.0,384338330.0,60121000.0,27386000.0,16835000.0,-55293000.0,,,,,49049000.0,-25073000.0,,,-15997000.0,-35000000.0,-6151000.0,-193000.0,-42502000.0,-6940000,LEVI,2017-02-28
