SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
914944,USD,2014,Q4,2015-02-13,2016-03-30,728805.0,728805.0,-6077357.0,2651285.0,1997409.0,2650731.0,,,,,1222068.0,-28060.0,,-966032.0,-6355552.0,,,0.0,4661000.0,-474015,MARA,2014-12-31
914944,USD,2015,Q1,2015-05-14,2016-05-12,866801.0,866801.0,-4781571.0,2600330.0,-447294.0,1483480.0,,,,,-1145055.0,-37147.0,,,-7968397.0,,-6118750.0,,13500000.0,4395400,MARA,2015-03-31
914944,USD,2015,Q2,2015-08-14,2016-08-15,874910.0,874910.0,-4502696.0,3030889.0,-3117475.0,142289.0,,,,,-4446993.0,16479.0,,,-4202896.0,,5714468.0,,664469.0,-7990727,MARA,2015-06-30
914944,USD,2015,Q3,2015-11-16,2016-11-14,898507.0,898507.0,-3750469.0,2886179.0,768425.0,2766408.0,,,,,2670543.0,-1852.0,,,-1852.0,,-747593.0,,-747593.0,1921597,MARA,2015-09-30
914944,USD,2015,Q4,2016-03-30,2017-04-05,911979.0,909405.0,-3905123.0,2315344.0,1923268.0,-373222.0,,,,,-39733.0,-35866.0,,,-654153.0,,-139126.0,,-139126.0,-853688,MARA,2015-12-31
914944,USD,2016,Q1,2016-05-12,2017-05-15,935446.0,935446.0,-3893413.0,2027551.0,-480219.0,2459250.0,,,,,113169.0,-2097.0,,,-2097.0,,-1248440.0,,-1248440.0,-1134761,MARA,2016-03-31
914944,USD,2016,Q2,2016-08-15,2017-08-14,926267.0,926267.0,7906279.0,1962469.0,6536253.0,-3393403.0,,,,,13011598.0,-4194.0,,-1150000.0,-4107973.0,,-3162484.0,,-3162484.0,5738389,MARA,2016-06-30
914944,USD,2016,Q3,2016-11-14,2017-11-20,940446.0,940446.0,-6274408.0,2031956.0,965602.0,1366205.0,,,,,-1910645.0,-2096.0,,-2402656.0,-2404752.0,,-1546985.0,,-1546985.0,-5863829,MARA,2016-09-30
914944,USD,2016,Q4,2017-04-05,2018-04-16,992354.0,992354.0,-26567330.0,1435290.0,22022335.0,2068190.0,,,,,-1041515.0,-1.0,,-128702.0,2825076.0,,-2750778.0,46667.0,1950019.0,3703364,MARA,2016-12-31
914944,USD,2017,Q1,2017-05-15,2018-05-21,1191222.0,1191222.0,-3606646.0,706429.0,80278.0,-1848562.0,,,,,-4668501.0,-2097.0,,,-2097.0,,-1228000.0,132427.0,167292.0,-4504862,MARA,2017-03-31
914944,USD,2017,Q2,2017-08-14,2018-08-14,1410416.0,1410416.0,-2200793.0,640365.0,148806.0,-1035089.0,,,,,-2446711.0,-2097.0,,,-2097.0,,550000.0,4907.0,3045105.0,602269,MARA,2017-06-30
914944,USD,2017,Q3,2017-11-20,2018-11-13,1567575.0,1567575.0,-6677486.0,457718.0,850929.0,-2321053.0,,,,,-7689892.0,-2097.0,,2771757.0,2769660.0,,4036714.0,2411750.0,7854307.0,2946168,MARA,2017-09-30
