SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
945856,USD,2010,Q2,2010-07-30,2011-07-29,33323000.0,33800000.0,35428000.0,14235000.0,11755000.0,4499000.0,,,,,65917000.0,-11676000.0,-37035000.0,,-29325000.0,,2549000.0,-15148000.0,-12772000.0,23820000,MGLN,2010-06-30
945856,USD,2010,Q3,2010-10-29,2011-10-27,33450000.0,34171000.0,44784000.0,13950000.0,51227000.0,18129000.0,,,,,128090000.0,-10520000.0,,,-79405000.0,,5973000.0,0.0,5866000.0,54551000,MGLN,2010-09-30
945856,USD,2010,Q4,2011-02-25,2013-02-28,33961000.0,34719000.0,32928000.0,13075000.0,-2815000.0,11474000.0,,,,,54662000.0,-13961000.0,,,2148000.0,,69223000.0,-75378000.0,-4270000.0,52540000,MGLN,2010-12-31
945856,USD,2011,Q1,2011-04-29,2012-04-27,33051000.0,33656000.0,34298000.0,13952000.0,23264000.0,-42246000.0,,,,,29268000.0,-10090000.0,,-274000.0,-117121000.0,,8016000.0,-102071000.0,-94618000.0,-182471000,MGLN,2011-03-31
945856,USD,2011,Q2,2011-07-29,2012-07-27,31301000.0,31903000.0,34231000.0,14267000.0,13162000.0,-92816000.0,,,,,-31156000.0,-16603000.0,,0.0,25390000.0,,20826000.0,-89380000.0,-67600000.0,-73366000,MGLN,2011-06-30
945856,USD,2011,Q3,2011-10-27,2012-10-26,29900000.0,30438000.0,31355000.0,15069000.0,-44604000.0,96187000.0,,,,,98007000.0,-11775000.0,,-102000.0,73090000.0,,5913000.0,-116435000.0,-110074000.0,61023000,MGLN,2011-09-30
945856,USD,2011,Q4,2012-02-28,2014-03-03,27660000.0,28235000.0,29739000.0,15335000.0,-21837000.0,-7353000.0,,,,,15884000.0,-15926000.0,71031000.0,0.0,34902000.0,,-15314000.0,349682000.0,-73289000.0,-22503000,MGLN,2011-12-31
945856,USD,2012,Q1,2012-04-27,2013-04-30,27199000.0,27747000.0,20790000.0,14781000.0,10587000.0,-16589000.0,,,,,29569000.0,-14505000.0,,,20686000.0,,2197000.0,,1454000.0,51709000,MGLN,2012-03-31
945856,USD,2012,Q2,2012-07-27,2013-07-25,27317000.0,27717000.0,26973000.0,15152000.0,-12979000.0,16317000.0,,,,,45463000.0,-22372000.0,,,-49828000.0,,806000.0,,814000.0,-3551000,MGLN,2012-06-30
945856,USD,2012,Q3,2012-10-26,2013-10-24,27521000.0,28042000.0,66262000.0,15239000.0,-25138000.0,-19738000.0,,,,,36625000.0,-16172000.0,,,-6282000.0,,-3003000.0,13092000.0,10959000.0,41302000,MGLN,2012-09-30
