SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
486138,USD,2011,Q2,2011-08-04,2012-08-09,36171000.0,36171000.0,-44480000.0,3904000.0,2452000.0,1381000.0,,,,,-36743000.0,-4053000.0,0.0,,-4053000.0,,18000000.0,678000.0,18654000.0,-22142000,MNKD,2011-06-30
486138,USD,2011,Q3,2011-11-04,2012-11-09,36171000.0,36171000.0,-38402000.0,4074000.0,3047000.0,-4754000.0,,,,,-36035000.0,-594000.0,0.0,,-594000.0,,35000000.0,120000.0,34645000.0,-1984000,MNKD,2011-09-30
486138,USD,2011,Q4,2012-03-15,2014-03-03,36171000.0,36171000.0,-36397000.0,3815000.0,3915000.0,8312000.0,,,,,-20355000.0,-125000.0,0.0,,-125000.0,,0.0,397000.0,375000.0,-20105000,MNKD,2011-12-31
486138,USD,2012,Q1,2012-05-10,2013-05-10,36171000.0,36171000.0,-38173000.0,3696000.0,3039000.0,-1048000.0,,,,,-32486000.0,-291000.0,,,-291000.0,,6250000.0,80598000.0,86451000.0,53674000,MNKD,2012-03-31
486138,USD,2012,Q2,2012-08-09,2013-08-09,36171000.0,36171000.0,-36578000.0,3647000.0,-62000.0,7975000.0,,,,,-25018000.0,-84000.0,,,-84000.0,,0.0,394000.0,386000.0,-24716000,MNKD,2012-06-30
486138,USD,2012,Q3,2012-11-09,2013-11-12,36171000.0,36171000.0,-42834000.0,3586000.0,6446000.0,-1456000.0,,,,,-34258000.0,-124000.0,,,-124000.0,,5000000.0,-10000.0,4508000.0,-29874000,MNKD,2012-09-30
486138,USD,2012,Q4,2013-03-18,2015-03-02,36171000.0,36171000.0,-51781000.0,3473000.0,4259000.0,15951000.0,,,,,-28098000.0,-61000.0,,,-61000.0,,1500000.0,86753000.0,88234000.0,60075000,MNKD,2012-12-31
486138,USD,2013,Q1,2013-05-10,2014-05-12,56011600.0,56011600.0,-40965000.0,3348000.0,5109000.0,481000.0,,,,,-32027000.0,-1459000.0,,,-1459000.0,,,78000.0,-349000.0,-33835000,MNKD,2013-03-31
486138,USD,2013,Q2,2013-08-09,2014-08-11,56808800.0,56808800.0,-46124000.0,3320000.0,10780000.0,2280000.0,,,,,-29744000.0,-132000.0,,,-132000.0,,,30421000.0,30400000.0,524000,MNKD,2013-06-30
486138,USD,2013,Q3,2013-11-12,2014-11-10,59277200.0,59277200.0,-50818000.0,3441000.0,16340000.0,-1873000.0,,,,,-32910000.0,-230000.0,,,-230000.0,,79500000.0,21159000.0,98414000.0,65274000,MNKD,2013-09-30
486138,USD,2013,Q4,2014-03-03,2016-03-15,67575200.0,67575200.0,-53583000.0,3948000.0,13776000.0,1808000.0,,,,,-34051000.0,-6166000.0,,,-6166000.0,,-75000000.0,96013000.0,17204000.0,-23013000,MNKD,2013-12-31
486138,USD,2014,Q1,2014-05-12,2015-05-11,73756800.0,73756800.0,-52056000.0,9394000.0,10937000.0,-5265000.0,,,,,-36990000.0,-1409000.0,,,-1409000.0,,,3401000.0,3368000.0,-35031000,MNKD,2014-03-31
486138,USD,2014,Q2,2014-08-11,2015-08-10,76154000.0,76154000.0,-73366000.0,3220000.0,40646000.0,6082000.0,,,,,-23418000.0,-8258000.0,,,-8258000.0,,20000000.0,17221000.0,37131000.0,5455000,MNKD,2014-06-30
486138,USD,2014,Q3,2014-11-10,2015-11-09,78832600.0,78832600.0,-36519000.0,2960000.0,-4835000.0,138632000.0,,,,,100238000.0,-217000.0,,,-217000.0,,40000000.0,17951000.0,31230000.0,131251000,MNKD,2014-09-30
486138,USD,2014,Q4,2015-03-02,2017-03-16,79436600.0,79436600.0,-36441000.0,3001000.0,6608000.0,-8912000.0,,,,,-35744000.0,-14213000.0,,,-14213000.0,,-3150000.0,1547000.0,-1667000.0,-51624000,MNKD,2014-12-31
486138,USD,2015,Q1,2015-05-11,2016-05-09,79783000.0,79783000.0,-30658000.0,2988000.0,2029000.0,28661000.0,,,,,3020000.0,-4203000.0,,,-4203000.0,,-4220000.0,6168000.0,1186000.0,3000,MNKD,2015-03-31
486138,USD,2015,Q2,2015-08-10,2016-08-10,80203000.0,80203000.0,-28911000.0,3371000.0,3455000.0,4276000.0,,,,,-17809000.0,-4534000.0,,,-4534000.0,,0.0,8702000.0,8686000.0,-13657000,MNKD,2015-06-30
486138,USD,2015,Q3,2015-11-09,2015-11-09,81039000.0,81039000.0,-31857000.0,3735000.0,2763000.0,5467000.0,,,,,-19892000.0,-1154000.0,,,-1154000.0,,-64286000.0,13190000.0,-53213000.0,-74259000,MNKD,2015-09-30
486138,USD,2015,Q4,2016-03-15,2018-02-27,83907000.0,83907000.0,-277019000.0,3182000.0,251623000.0,-337000.0,,,,,-22551000.0,-312000.0,,,-312000.0,,0.0,50743000.0,49009000.0,26146000,MNKD,2015-12-31
486138,USD,2016,Q1,2016-05-09,2017-05-10,85771000.0,85771000.0,-24873000.0,1023000.0,6222000.0,-13130000.0,,,,,-30758000.0,-1127000.0,,,-1127000.0,,,467000.0,464000.0,-31421000,MNKD,2016-03-31
486138,USD,2016,Q2,2016-08-10,2017-08-07,91061000.0,91061000.0,-29958000.0,1035000.0,9152000.0,8262000.0,,,,,-11509000.0,0.0,,,0.0,,,50267000.0,47589000.0,36080000,MNKD,2016-06-30
486138,USD,2016,Q3,2016-11-09,2017-11-07,95627000.0,96548000.0,126521000.0,1039000.0,-9496000.0,-141135000.0,,,,,-23071000.0,0.0,,,0.0,,-5000000.0,38000.0,-5132000.0,-28203000,MNKD,2016-09-30
486138,USD,2016,Q4,2017-07-03,2018-02-27,95753000.0,94960000.0,53974000.0,1061000.0,-74524000.0,6737000.0,,,,,-12752000.0,0.0,,,0.0,,0.0,121000.0,117000.0,-12635000,MNKD,2016-12-31
486138,USD,2017,Q1,2017-05-10,2018-05-09,95744000.0,95744000.0,-16324000.0,908000.0,-3103000.0,27026000.0,,,,,8507000.0,16651000.0,,,16651000.0,,,,-75000.0,25083000,MNKD,2017-03-31
486138,USD,2017,Q2,2017-08-07,2018-08-02,99864000.0,99864000.0,-35339000.0,879000.0,11050000.0,3376000.0,,,,,-20034000.0,24000.0,,,24000.0,,15429000.0,,15416000.0,-4594000,MNKD,2017-06-30
486138,USD,2017,Q3,2017-11-07,2018-11-01,104703000.0,104703000.0,-32886000.0,920000.0,7644000.0,1052000.0,,,,,-23270000.0,0.0,,,0.0,,0.0,,-22000.0,-23292000,MNKD,2017-09-30
486138,USD,2017,Q4,2018-02-27,2018-02-27,116669000.0,116669000.0,-32784000.0,821000.0,5861000.0,-3879000.0,,,,,-29981000.0,0.0,,,0.0,,0.0,61564000.0,58244000.0,28263000,MNKD,2017-12-31
486138,USD,2018,Q1,2018-05-09,2018-05-09,120911000.0,120911000.0,-30385000.0,706000.0,7586000.0,443000.0,,,,,-21650000.0,,,,,,,634000.0,528000.0,-21122000,MNKD,2018-03-31
486138,USD,2018,Q2,2018-08-02,2018-08-02,140054000.0,140054000.0,-22675000.0,753000.0,-2656000.0,-2572000.0,,,,,-27150000.0,,,,,,,28335000.0,26622000.0,-528000,MNKD,2018-06-30
486138,USD,2018,Q3,2018-11-01,2018-11-01,153597000.0,153597000.0,-24164000.0,1030000.0,3676000.0,5539000.0,,,,,-13919000.0,10000.0,,,10000.0,,-2000000.0,185000.0,-1823000.0,-15732000,MNKD,2018-09-30
486138,USD,2018,Q4,2019-02-26,2019-02-26,161982000.0,161982000.0,-9751000.0,368000.0,1099000.0,33272000.0,,,,,24988000.0,-244000.0,,,-244000.0,,-3000000.0,41365000.0,35967000.0,60711000,MNKD,2018-12-31
486138,USD,2019,Q1,2019-05-07,2019-05-07,187434000.0,187434000.0,-14883000.0,367000.0,697000.0,2222000.0,,,,,-11597000.0,-269000.0,,,-25033000.0,,,,3000.0,-36627000,MNKD,2019-03-31
486138,USD,2019,Q2,2019-08-07,2019-08-07,188054000.0,188054000.0,-12387000.0,372000.0,5202000.0,-12915000.0,,,,,-19728000.0,-1224000.0,,,-1369000.0,,,,-676000.0,-21773000,MNKD,2019-06-30
486138,USD,2019,Q3,2019-11-08,2019-11-08,199906000.0,199906000.0,-10370000.0,-332000.0,-39519000.0,-1830000.0,,,,,-52051000.0,-963000.0,,-300000.0,3761000.0,,,,65495000.0,17205000,MNKD,2019-09-30
486138,USD,2019,Q4,2020-02-25,2020-02-25,206942000.0,206942000.0,-14263000.0,565000.0,8428000.0,163000.0,,,,,-5107000.0,-109000.0,,0.0,-202000.0,,,,5042000.0,-267000,MNKD,2019-12-31
486138,USD,2020,Q1,2020-05-06,2021-05-12,212467000.0,212467000.0,-9322000.0,538000.0,2907000.0,-5342000.0,,,,,-11219000.0,-150000.0,,,19850000.0,,668000.0,,331000.0,8962000,MNKD,2020-03-31
