SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
56422,USD,2010,Q2,2010-08-06,2011-07-29,116898000.0,118488000.0,24602000.0,9546000.0,21951000.0,-25980000.0,,,,,30119000.0,-5891000.0,-16875000.0,0.0,-30383000.0,-10153000.0,,10209000.0,1064000.0,800000,NATI,2010-06-30
56422,USD,2010,Q3,2010-11-03,2011-10-27,117264000.0,118293000.0,28133000.0,9232000.0,17580000.0,-8921000.0,,,,,46024000.0,-4952000.0,18954000.0,0.0,10723000.0,-10192000.0,,-5109000.0,-15321000.0,41426000,NATI,2010-09-30
56422,USD,2010,Q4,2011-02-18,2013-02-19,117660000.0,119855000.0,38028000.0,9652000.0,-1609000.0,-18757000.0,,,,,27314000.0,-15891000.0,-19312000.0,-2027000.0,-38689000.0,-10201000.0,,13484000.0,3978000.0,-7397000,NATI,2010-12-31
56422,USD,2011,Q1,2011-04-29,2012-04-30,118693000.0,120443000.0,30461000.0,10973000.0,-2431000.0,2627000.0,,,,,41630000.0,-10016000.0,755000.0,,-12992000.0,-11868000.0,,17050000.0,6509000.0,35147000,NATI,2011-03-31
56422,USD,2011,Q2,2011-07-29,2012-08-03,119736000.0,121161000.0,26548000.0,12417000.0,20388000.0,-27687000.0,,,,,31666000.0,-14793000.0,19063000.0,-73558000.0,-74948000.0,-11992000.0,,4339000.0,-3945000.0,-47227000,NATI,2011-06-30
56422,USD,2011,Q3,2011-10-27,2012-11-06,120308000.0,121102000.0,12736000.0,12355000.0,23611000.0,-5498000.0,,,,,43204000.0,-18746000.0,-27031000.0,0.0,-47798000.0,-12037000.0,,5763000.0,-6262000.0,-10856000,NATI,2011-09-30
56422,USD,2011,Q4,2012-02-07,2014-02-20,120607000.0,122174000.0,24327000.0,14152000.0,-3040000.0,17960000.0,,,,,53399000.0,-16310000.0,-84132000.0,0.0,-101095000.0,-12064000.0,,5753000.0,-6207000.0,-53903000,NATI,2011-12-31
56422,USD,2012,Q1,2012-04-30,2013-05-02,120908000.0,121972000.0,18642000.0,14115000.0,-7871000.0,8618000.0,,,,,33504000.0,-9387000.0,84608000.0,,71481000.0,-16934000.0,,7605000.0,-9083000.0,95902000,NATI,2012-03-31
56422,USD,2012,Q2,2012-08-03,2013-08-01,121801000.0,122759000.0,26441000.0,13201000.0,14588000.0,-45933000.0,,,,,8297000.0,-20632000.0,59571000.0,,33015000.0,-17085000.0,,6817000.0,-8420000.0,32892000,NATI,2012-06-30
56422,USD,2012,Q3,2012-11-06,2013-11-01,122402000.0,123074000.0,24340000.0,13713000.0,23387000.0,-12979000.0,,,,,48461000.0,-23890000.0,27197000.0,,1687000.0,-17148000.0,,6875000.0,-10014000.0,40134000,NATI,2012-09-30
56422,USD,2012,Q4,2013-02-19,2015-02-19,122781000.0,124103000.0,20714000.0,17657000.0,-21682000.0,25565000.0,,,,,42254000.0,-37054000.0,-121038000.0,-25481000.0,-184010000.0,-17234000.0,,9605000.0,-7784000.0,-149540000,NATI,2012-12-31
56422,USD,2013,Q1,2013-05-02,2014-05-01,123306000.0,124365000.0,18600000.0,16829000.0,-4427000.0,-10520000.0,,,,,20482000.0,-20512000.0,17915000.0,,-5400000.0,-17281000.0,,11798000.0,-5024000.0,10058000,NATI,2013-03-31
56422,USD,2013,Q2,2013-08-01,2014-08-01,124377000.0,125270000.0,14421000.0,16726000.0,6550000.0,-13787000.0,,,,,23910000.0,-15345000.0,1280000.0,,-19335000.0,-17446000.0,,8814000.0,-7049000.0,-2474000,NATI,2013-06-30
56422,USD,2013,Q3,2013-11-01,2014-10-31,125032000.0,125608000.0,15764000.0,17342000.0,19250000.0,-2026000.0,,,,,50330000.0,-9084000.0,65000.0,,-11512000.0,-17514000.0,,8197000.0,-18190000.0,20628000,NATI,2013-09-30
56422,USD,2013,Q4,2014-02-20,2016-02-19,125517000.0,127041000.0,31728000.0,17077000.0,-1613000.0,27565000.0,,,,,74757000.0,-8037000.0,-9243000.0,,-21597000.0,-17535000.0,,10510000.0,-13105000.0,40055000,NATI,2013-12-31
56422,USD,2014,Q1,2014-05-01,2015-05-01,125973000.0,126725000.0,18723000.0,16994000.0,105000.0,10320000.0,,,,,46142000.0,-13008000.0,-6260000.0,,-26870000.0,-18904000.0,,10000000.0,-8834000.0,10438000,NATI,2014-03-31
56422,USD,2014,Q2,2014-08-01,2015-07-31,126887000.0,127512000.0,24523000.0,16363000.0,25130000.0,-43720000.0,,,,,22296000.0,-10735000.0,5392000.0,,-14538000.0,-19072000.0,,7124000.0,-10963000.0,-3205000,NATI,2014-06-30
56422,USD,2014,Q3,2014-10-31,2015-10-30,127478000.0,127903000.0,39702000.0,17654000.0,-1780000.0,16702000.0,,,,,72278000.0,-9140000.0,-24282000.0,,-38680000.0,-19132000.0,,7359000.0,-11639000.0,21959000,NATI,2014-09-30
56422,USD,2014,Q4,2015-02-19,2017-02-16,127782000.0,129056000.0,43385000.0,19195000.0,-2327000.0,-5859000.0,,,,,54394000.0,-14895000.0,-8864000.0,,-27485000.0,-19179000.0,,6792000.0,-12334000.0,14575000,NATI,2014-12-31
56422,USD,2015,Q1,2015-05-01,2016-05-02,128040000.0,128676000.0,15004000.0,17924000.0,-8503000.0,1986000.0,,,,,26411000.0,-10662000.0,-6558000.0,-24523000.0,-43965000.0,-24346000.0,,7402000.0,-16928000.0,-34482000,NATI,2015-03-31
56422,USD,2015,Q2,2015-07-31,2016-08-01,128682000.0,129337000.0,24942000.0,18578000.0,15748000.0,-34896000.0,,,,,24372000.0,-10484000.0,13705000.0,0.0,-6003000.0,-24523000.0,,-1531000.0,-25133000.0,-6764000,NATI,2015-06-30
56422,USD,2015,Q3,2015-10-30,2016-10-31,127935000.0,128229000.0,23178000.0,18655000.0,3172000.0,24693000.0,,,,,69698000.0,-9196000.0,7956000.0,-4106000.0,-16539000.0,-24537000.0,25000000.0,-57178000.0,-56708000.0,-3549000,NATI,2015-09-30
56422,USD,2015,Q4,2016-02-19,2018-02-22,127331000.0,128430000.0,32138000.0,18172000.0,24554000.0,-26280000.0,,,,,48584000.0,-6456000.0,100271000.0,-96983000.0,-11885000.0,-24237000.0,12000000.0,3837000.0,-9344000.0,21894000,NATI,2015-12-31
56422,USD,2016,Q1,2016-05-02,2017-05-01,127595000.0,128103000.0,9298000.0,19432000.0,-167000.0,15801000.0,,,,,44364000.0,-9630000.0,18581000.0,-549000.0,399000.0,-25556000.0,-12000000.0,2803000.0,-34753000.0,14271000,NATI,2016-03-31
56422,USD,2016,Q2,2016-08-01,2017-08-01,128282000.0,128746000.0,19800000.0,18785000.0,10737000.0,-13142000.0,,,,,36180000.0,-12029000.0,8145000.0,0.0,-11287000.0,-25717000.0,15000000.0,6392000.0,-4325000.0,19861000,NATI,2016-06-30
56422,USD,2016,Q3,2016-10-31,2017-10-31,128815000.0,129047000.0,24489000.0,16947000.0,1744000.0,26292000.0,,,,,69472000.0,-14718000.0,2786000.0,0.0,-20574000.0,-25783000.0,-15000000.0,7327000.0,-33456000.0,15391000,NATI,2016-09-30
56422,USD,2016,Q4,2017-02-16,2018-02-22,129120000.0,130136000.0,29147000.0,18226000.0,31318000.0,-28508000.0,,,,,50183000.0,-10390000.0,-20840000.0,0.0,-39041000.0,-25841000.0,0.0,6750000.0,-19091000.0,-15369000,NATI,2016-12-31
56422,USD,2017,Q1,2017-05-01,2018-05-01,129438000.0,130108000.0,18148000.0,18669000.0,3418000.0,6441000.0,,,,,46676000.0,-11336000.0,-13322000.0,,-36282000.0,-27201000.0,,7817000.0,-19384000.0,-6275000,NATI,2017-03-31
56422,USD,2017,Q2,2017-08-01,2018-08-02,130197000.0,131117000.0,25155000.0,17246000.0,9433000.0,-13725000.0,,,,,38109000.0,-5515000.0,-18468000.0,,-37175000.0,-27394000.0,,7590000.0,-19804000.0,-15858000,NATI,2017-06-30
