SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
591520,USD,2011,Q2,2011-08-09,2012-08-08,37017000.0,37968000.0,20597000.0,3746000.0,3977000.0,-12918000.0,,,,,15402000.0,-2014000.0,,-37009000.0,-65968000.0,,,20016000.0,22453000.0,-28113000,NTGR,2011-06-30
591520,USD,2011,Q3,2011-11-08,2012-11-06,37483000.0,38080000.0,26747000.0,3615000.0,1549000.0,11278000.0,,,,,43189000.0,-1896000.0,,0.0,-286000.0,,,1856000.0,1952000.0,44855000,NTGR,2011-09-30
591520,USD,2011,Q4,2012-03-28,2014-02-25,37570000.0,38340000.0,22835000.0,3667000.0,846000.0,5509000.0,,,,,32857000.0,-2395000.0,0.0,0.0,-948000.0,,,2465000.0,2711000.0,34620000,NTGR,2011-12-31
591520,USD,2012,Q1,2012-05-08,2013-05-07,37796000.0,38576000.0,25147000.0,3609000.0,3660000.0,-19624000.0,,,,,12792000.0,-1462000.0,,-500000.0,-78079000.0,,,4737000.0,5647000.0,-59640000,NTGR,2012-03-31
591520,USD,2012,Q2,2012-08-08,2013-08-06,37978000.0,38595000.0,21522000.0,3884000.0,4134000.0,-27696000.0,,,,,1844000.0,-5402000.0,0.0,-6600000.0,4136000.0,,,1734000.0,1917000.0,7897000,NTGR,2012-06-30
591520,USD,2012,Q3,2012-11-06,2013-11-05,38162000.0,38802000.0,23791000.0,4632000.0,-146000.0,-5353000.0,,,,,22924000.0,-4628000.0,0.0,-21525000.0,-51228000.0,,,5469000.0,5750000.0,-22554000,NTGR,2012-09-30
591520,USD,2012,Q4,2013-02-26,2015-02-20,38292000.0,39015000.0,16079000.0,4650000.0,3112000.0,-6358000.0,,,,,17483000.0,-4670000.0,0.0,0.0,-5137000.0,,,1907000.0,2085000.0,14431000,NTGR,2012-12-31
591520,USD,2013,Q1,2013-05-07,2014-05-06,38433000.0,39050000.0,15343000.0,4942000.0,2948000.0,21844000.0,,,,,45077000.0,-2761000.0,,,81371000.0,,,3264000.0,3618000.0,130066000,NTGR,2013-03-31
591520,USD,2013,Q2,2013-08-06,2014-08-01,38539000.0,39074000.0,13985000.0,9387000.0,3421000.0,-15707000.0,,,,,11086000.0,-5273000.0,3890000.0,-144815000.0,-144316000.0,,,851000.0,1066000.0,-132164000,NTGR,2013-06-30
591520,USD,2013,Q3,2013-11-05,2014-11-04,38700000.0,39198000.0,14457000.0,9416000.0,4438000.0,-11680000.0,,,,,16631000.0,-3950000.0,0.0,-2400000.0,-6345000.0,,,3168000.0,3264000.0,13550000,NTGR,2013-09-30
591520,USD,2013,Q4,2014-02-25,2016-02-19,37844000.0,38470000.0,11432000.0,9109000.0,1493000.0,-7926000.0,,,,,14108000.0,-6341000.0,0.0,-25000.0,29557000.0,,,-61242000.0,-61140000.0,-17475000,NTGR,2013-12-31
591520,USD,2014,Q1,2014-05-06,2015-05-01,36630000.0,37305000.0,14411000.0,8743000.0,4085000.0,-21685000.0,,,,,5554000.0,-3085000.0,,,-8543000.0,,,-10517000.0,-10364000.0,-13353000,NTGR,2014-03-31
591520,USD,2014,Q2,2014-08-01,2015-07-31,36139000.0,36808000.0,14705000.0,8656000.0,5208000.0,8593000.0,,,,,37162000.0,-6333000.0,,-1050000.0,7639000.0,,,-27616000.0,-27475000.0,17326000,NTGR,2014-06-30
591520,USD,2014,Q3,2014-11-04,2015-10-30,35643000.0,36250000.0,20025000.0,8999000.0,3108000.0,-7294000.0,,,,,24838000.0,-4003000.0,,0.0,-8974000.0,,,-21072000.0,-21026000.0,-5162000,NTGR,2014-09-30
591520,USD,2014,Q4,2015-02-20,2017-02-24,34672000.0,35417000.0,-40353000.0,9192000.0,60593000.0,11978000.0,,,,,41410000.0,-5917000.0,,0.0,-20869000.0,,,-21272000.0,-21127000.0,-586000,NTGR,2014-12-31
591520,USD,2015,Q1,2015-05-01,2016-05-06,34678000.0,35285000.0,8011000.0,9215000.0,3582000.0,-21173000.0,,,,,-365000.0,-5633000.0,,,9406000.0,,,-3962000.0,-3874000.0,5167000,NTGR,2015-03-31
591520,USD,2015,Q2,2015-07-31,2016-08-05,33792000.0,34308000.0,3667000.0,9477000.0,5947000.0,19781000.0,,,,,38872000.0,-2567000.0,,,22431000.0,,,-71101000.0,-70949000.0,-9646000,NTGR,2015-06-30
591520,USD,2015,Q3,2015-10-30,2016-11-04,31979000.0,32335000.0,15099000.0,8644000.0,1465000.0,51938000.0,,,,,77146000.0,-2942000.0,,,11862000.0,,,-23346000.0,-23334000.0,65674000,NTGR,2015-09-30
591520,USD,2015,Q4,2016-02-19,2018-02-16,32195000.0,33224000.0,21807000.0,8514000.0,2831000.0,-37655000.0,,,,,-4503000.0,-2858000.0,0.0,0.0,-37742000.0,,,24642000.0,21761000.0,-20484000,NTGR,2015-12-31
