SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
102816,USD,2010,Q4,2011-05-04,2013-05-01,4771331.0,4788879.0,3669919.0,120749.0,49835.0,15985.0,,,,,3856488.0,-230843.0,-4181563.0,,-4412406.0,,,259560.0,329718.0,-226200,NVEC,2011-03-31
102816,USD,2011,Q1,2011-07-25,2012-07-18,4776198.0,4893915.0,3439228.0,113537.0,-6948.0,1529178.0,,,,,5074995.0,-199371.0,-4150402.0,,-4349773.0,,,,,725222,NVEC,2011-06-30
102816,USD,2011,Q2,2011-10-19,2012-10-17,4776198.0,4896525.0,2555093.0,121745.0,68247.0,-1436578.0,,,,,1308507.0,-94863.0,-1566839.0,,-1661702.0,,,0.0,0.0,-353195,NVEC,2011-09-30
102816,USD,2011,Q3,2012-01-18,2013-01-23,4807859.0,4873429.0,2289091.0,125929.0,-18405.0,-229208.0,,,,,2167407.0,-467773.0,-2585574.0,,-3053347.0,,,36.0,36.0,-885904,NVEC,2011-12-31
102816,USD,2011,Q4,2012-05-02,2014-06-06,4824653.0,4790015.0,3097683.0,138910.0,24416.0,999992.0,,,,,4261001.0,-718230.0,-2436567.0,,-3154797.0,,,0.0,0.0,1106204,NVEC,2012-03-31
102816,USD,2012,Q1,2012-07-18,2013-07-24,4824745.0,4886873.0,3377658.0,139271.0,3282.0,579786.0,,,,,4099997.0,-445186.0,-3705829.0,,-4151015.0,,,,,-51018,NVEC,2012-06-30
102816,USD,2012,Q2,2012-10-17,2013-10-23,4825441.0,4884656.0,2442883.0,152260.0,75320.0,-338199.0,,,,,2332264.0,-574083.0,-1388940.0,,-1963023.0,,,69420.0,71803.0,441044,NVEC,2012-09-30
102816,USD,2012,Q3,2013-01-23,2014-01-22,4847619.0,4872019.0,2899342.0,166406.0,13055.0,-1088984.0,,,,,1989819.0,-587861.0,-2493505.0,,-3081366.0,,,8.0,8.0,-1091539,NVEC,2012-12-31
102816,USD,2012,Q4,2013-05-01,2015-05-06,4861435.0,4810636.0,3108955.0,189226.0,10591.0,914450.0,,,,,4223222.0,-217194.0,-2427479.0,,-2644673.0,0.0,,74760.0,88111.0,1666660,NVEC,2013-03-31
102816,USD,2013,Q1,2013-07-24,2014-07-23,4862436.0,4884902.0,2566825.0,190136.0,30758.0,830964.0,,,,,3618683.0,0.0,-3857423.0,,-3857423.0,,,,0.0,-238740,NVEC,2013-06-30
102816,USD,2013,Q2,2013-10-23,2014-10-22,4852178.0,4873106.0,3229651.0,190136.0,50899.0,-1095338.0,,,,,2375348.0,0.0,-1821315.0,,-1821315.0,,,-1263405.0,-1263405.0,-709372,NVEC,2013-09-30
102816,USD,2013,Q3,2014-01-22,2015-01-21,4842565.0,4859601.0,2777174.0,220969.0,6617.0,819237.0,,,,,3823997.0,-33893.0,-3645464.0,,-3679357.0,,,188030.0,255074.0,399714,NVEC,2013-12-31
102816,USD,2013,Q4,2014-06-06,2016-05-04,4848661.0,4853155.0,2562225.0,243098.0,29335.0,-251262.0,,,,,2583396.0,-126825.0,-3374714.0,,-3501539.0,0.0,,228730.0,219158.0,-698985,NVEC,2014-03-31
102816,USD,2014,Q1,2014-07-23,2015-07-22,4851043.0,4867459.0,4037110.0,230915.0,56573.0,158670.0,,,,,4483268.0,-27710.0,-2404809.0,,-2432519.0,0.0,,0.0,0.0,2050749,NVEC,2014-06-30
102816,USD,2014,Q2,2014-10-22,2015-10-21,4855071.0,4872029.0,3875622.0,233602.0,117091.0,-1709217.0,,,,,2517098.0,0.0,-2875636.0,,-2875636.0,0.0,,302701.0,326989.0,-31549,NVEC,2014-09-30
102816,USD,2014,Q3,2015-01-21,2016-01-20,4857953.0,4876074.0,2792906.0,234303.0,2068.0,818607.0,,,,,3847884.0,-86429.0,4753988.0,,4667559.0,0.0,,0.0,0.0,8515443,NVEC,2014-12-31
102816,USD,2014,Q4,2015-05-06,2017-05-04,4857949.0,4872178.0,3662716.0,235551.0,14653.0,108896.0,,,,,4021816.0,-70868.0,3689371.0,,3618503.0,-10000000.0,,0.0,-10000000.0,-2359681,NVEC,2015-03-31
102816,USD,2015,Q1,2015-07-22,2016-07-20,4854841.0,4860848.0,3803226.0,206751.0,-6645.0,1169390.0,,,,,5172722.0,-23057.0,2536978.0,,2513921.0,-4857953.0,,-294038.0,-4833470.0,2853173,NVEC,2015-06-30
102816,USD,2015,Q2,2015-10-21,2016-10-19,4855398.0,4858133.0,3310795.0,207883.0,16119.0,-866937.0,,,,,2667860.0,-123448.0,3979262.0,,3855814.0,-4867221.0,,-1264343.0,-6097791.0,425883,NVEC,2015-09-30
