SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
497184,USD,2009,Q4,2010-06-01,2012-05-25,57568000.0,57948000.0,13061000.0,1628000.0,4010000.0,-3299000.0,,,,,15400000.0,-1012000.0,425000.0,-1214000.0,-4990000.0,-8592000.0,,572000.0,-4910000.0,5500000,NXGN,2010-03-31
497184,USD,2010,Q1,2010-08-03,2011-08-05,57792000.0,58114000.0,12092000.0,1727000.0,3322000.0,2225000.0,,,,,19366000.0,-878000.0,,,-3423000.0,-8665000.0,,1144000.0,-7346000.0,8597000,NXGN,2010-06-30
497184,USD,2010,Q2,2010-11-04,2011-11-04,57870000.0,58156000.0,13430000.0,1838000.0,3584000.0,-1508000.0,,,,,17344000.0,-1388000.0,7700000.0,,3151000.0,-8672000.0,,1677000.0,-6851000.0,13644000,NXGN,2010-09-30
497184,USD,2010,Q3,2011-02-02,2012-02-03,57956000.0,58280000.0,17531000.0,2058000.0,3396000.0,610000.0,,,,,23595000.0,-1773000.0,0.0,336000.0,-4380000.0,-8687000.0,,697000.0,-7846000.0,11369000,NXGN,2010-12-31
497184,USD,2010,Q4,2011-05-27,2013-05-30,57958000.0,58394000.0,18553000.0,1936000.0,-618000.0,-9859000.0,,,,,10012000.0,10843000.0,-1120000.0,-13608000.0,-5931000.0,-8692000.0,,2199000.0,-5685000.0,-1604000,NXGN,2011-03-31
497184,USD,2011,Q1,2011-08-05,2012-08-02,59281000.0,59388000.0,18983000.0,2145000.0,3861000.0,-3456000.0,,,,,21533000.0,-2423000.0,,-3279000.0,-8215000.0,-10160000.0,,3427000.0,-5881000.0,7437000,NXGN,2011-06-30
497184,USD,2011,Q2,2011-11-04,2012-11-05,59347000.0,59386000.0,20496000.0,2380000.0,4570000.0,-11869000.0,,,,,15577000.0,-2249000.0,,-2515000.0,-8384000.0,-10235000.0,,3354000.0,-5472000.0,1721000,NXGN,2011-09-30
497184,USD,2011,Q3,2012-02-03,2013-02-06,59400000.0,59405000.0,21105000.0,2503000.0,1481000.0,-457000.0,,,,,24632000.0,-2700000.0,,-5689000.0,-11833000.0,-10289000.0,,565000.0,-9528000.0,3271000,NXGN,2011-12-31
497184,USD,2011,Q4,2012-05-25,2014-05-29,56888000.0,58017000.0,15073000.0,2668000.0,-4676000.0,3298000.0,,,,,16363000.0,-2951000.0,0.0,0.0,-6472000.0,-10305000.0,,5443000.0,-4493000.0,5398000,NXGN,2012-03-31
497184,USD,2012,Q1,2012-08-02,2013-07-31,59559000.0,59572000.0,15497000.0,3434000.0,4903000.0,-3954000.0,,,,,19880000.0,-3349000.0,,-7106000.0,-14788000.0,-10354000.0,,763000.0,-9630000.0,-4538000,NXGN,2012-06-30
