SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
985860,USD,2013,Q3,2013-10-23,2014-10-22,118000000.0,118800000.0,51000000.0,78000000.0,4000000.0,40000000.0,,,,,173000000.0,-57000000.0,,,-55000000.0,,-84000000.0,-54000000.0,-140000000.0,-21000000,OC,2013-09-30
985860,USD,2013,Q4,2014-02-12,2016-02-10,117200000.0,117600000.0,82000000.0,97000000.0,-90000000.0,136000000.0,,,,,225000000.0,-129000000.0,,,-66000000.0,,-154000000.0,0.0,-153000000.0,6000000,OC,2013-12-31
985860,USD,2014,Q1,2014-04-23,2015-04-22,117800000.0,118700000.0,120000000.0,76000000.0,-91000000.0,-377000000.0,,,,,-272000000.0,-54000000.0,,,-54000000.0,,359000000.0,-29000000.0,335000000.0,8000000,OC,2014-03-31
985860,USD,2014,Q2,2014-07-23,2015-07-22,117400000.0,118300000.0,22000000.0,78000000.0,14000000.0,41000000.0,,,,,155000000.0,-9000000.0,,,-11000000.0,-19000000.0,-97000000.0,-15000000.0,-129000000.0,16000000,OC,2014-06-30
985860,USD,2014,Q3,2014-10-22,2015-10-21,117400000.0,118100000.0,52000000.0,75000000.0,-27000000.0,79000000.0,,,,,179000000.0,-88000000.0,,,-97000000.0,-18000000.0,-93000000.0,0.0,-111000000.0,-30000000,OC,2014-09-30
985860,USD,2014,Q4,2015-02-18,2017-02-08,117400000.0,118100000.0,34000000.0,75000000.0,63000000.0,218000000.0,,,,,390000000.0,-158000000.0,,,-135000000.0,-19000000.0,-219000000.0,0.0,-237000000.0,16000000,OC,2014-12-31
985860,USD,2015,Q1,2015-04-22,2016-04-27,117800000.0,118500000.0,19000000.0,75000000.0,1000000.0,-211000000.0,,,,,-116000000.0,-89000000.0,,,-89000000.0,-39000000.0,265000000.0,-19000000.0,214000000.0,10000000,OC,2015-03-31
985860,USD,2015,Q2,2015-07-22,2016-07-27,117500000.0,118300000.0,92000000.0,76000000.0,18000000.0,36000000.0,,,,,222000000.0,-86000000.0,,,-86000000.0,0.0,-107000000.0,-28000000.0,-131000000.0,3000000,OC,2015-06-30
985860,USD,2015,Q3,2015-10-21,2016-10-26,117200000.0,118300000.0,113000000.0,73000000.0,19000000.0,99000000.0,,,,,304000000.0,-88000000.0,,,-88000000.0,-19000000.0,-179000000.0,-39000000.0,-230000000.0,-18000000,OC,2015-09-30
985860,USD,2015,Q4,2016-02-10,2018-02-21,116300000.0,117700000.0,110000000.0,76000000.0,-18000000.0,164000000.0,,,,,332000000.0,-110000000.0,,,-106000000.0,-20000000.0,-115000000.0,-52000000.0,-186000000.0,34000000,OC,2015-12-31
985860,USD,2016,Q1,2016-04-27,2017-04-26,115500000.0,116500000.0,59000000.0,76000000.0,10000000.0,-82000000.0,,,,,63000000.0,-98000000.0,,,-98000000.0,-40000000.0,76000000.0,-43000000.0,-8000000.0,-42000000,OC,2016-03-31
985860,USD,2016,Q2,2016-07-27,2017-07-26,115100000.0,116400000.0,139000000.0,82000000.0,77000000.0,-33000000.0,,,,,265000000.0,-89000000.0,,,-539000000.0,0.0,326000000.0,-44000000.0,287000000.0,13000000,OC,2016-06-30
985860,USD,2016,Q3,2016-10-26,2017-10-25,114100000.0,115400000.0,113000000.0,84000000.0,12000000.0,144000000.0,,,,,353000000.0,-94000000.0,,,-94000000.0,-21000000.0,-112000000.0,-89000000.0,-216000000.0,43000000,OC,2016-09-30
