SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
351460,USD,2013,Q4,2014-02-04,2016-02-18,52319000.0,52319000.0,30318000.0,44640000.0,8018000.0,-104892000.0,,,,,-21916000.0,-85425000.0,,,-85425000.0,0.0,102451000.0,0.0,107830000.0,489000,OGS,2013-12-31
351460,USD,2014,Q1,2014-05-06,2015-04-30,52334000.0,52512000.0,59076000.0,31460000.0,-5270000.0,96832000.0,,,,,182098000.0,-65731000.0,,,-65731000.0,0.0,1199994000.0,17000.0,59108000.0,175475000,OGS,2014-03-31
351460,USD,2014,Q2,2014-08-05,2015-07-30,51797000.0,52446000.0,9454000.0,31318000.0,-7047000.0,45873000.0,,,,,79598000.0,-82886000.0,,,-82886000.0,-14553000.0,0.0,676000.0,-14032000.0,-17320000,OGS,2014-06-30
351460,USD,2014,Q3,2014-11-04,2015-10-29,52361000.0,53014000.0,4653000.0,31217000.0,-9148000.0,-38410000.0,,,,,-11688000.0,-76002000.0,,,-76002000.0,-14568000.0,0.0,637000.0,-13951000.0,-101641000,OGS,2014-09-30
351460,USD,2014,Q4,2015-02-27,2016-02-18,52964000.0,53812000.0,36607000.0,31727000.0,39083000.0,-110762000.0,,,,,-3345000.0,-72484000.0,,,-72484000.0,-14575000.0,42000000.0,671000.0,28087000.0,-47742000,OGS,2014-12-31
351460,USD,2015,Q1,2015-04-30,2016-05-03,52707000.0,53446000.0,60381000.0,31630000.0,5672000.0,143407000.0,,,,,241090000.0,-54914000.0,,,-54914000.0,-15773000.0,-42000000.0,2156000.0,-55617000.0,130559000,OGS,2015-03-31
351460,USD,2015,Q2,2015-07-30,2016-08-02,52767000.0,53438000.0,12076000.0,33006000.0,-7639000.0,64019000.0,,,,,101462000.0,-70511000.0,,,-70511000.0,-15760000.0,0.0,-21807000.0,-37567000.0,-6616000,OGS,2015-06-30
351460,USD,2015,Q3,2015-10-29,2016-11-01,52408000.0,53072000.0,7371000.0,33956000.0,-5579000.0,-28762000.0,,,,,6986000.0,-74253000.0,,,-74253000.0,-15645000.0,0.0,0.0,-15645000.0,-82912000,OGS,2015-09-30
351460,USD,2015,Q4,2016-02-18,2017-02-23,52430000.0,53060000.0,39202000.0,34431000.0,33434000.0,-62398000.0,,,,,44669000.0,-94642000.0,,,-94642000.0,-15648000.0,12500000.0,2580000.0,-568000.0,-50541000,OGS,2015-12-31
351460,USD,2016,Q1,2016-05-03,2016-05-03,52519000.0,53107000.0,64743000.0,34684000.0,7427000.0,73185000.0,,,,,180039000.0,-75261000.0,,,-74869000.0,-18380000.0,-12500000.0,-24066000.0,-54946000.0,50224000,OGS,2016-03-31
351460,USD,2016,Q2,2016-08-02,2016-08-02,52386000.0,52836000.0,20301000.0,35565000.0,11140000.0,20268000.0,,,,,87274000.0,-69499000.0,,,-69399000.0,-18258000.0,0.0,1983000.0,-16275000.0,1600000,OGS,2016-06-30
351460,USD,2016,Q3,2016-11-01,2016-11-01,52453000.0,52942000.0,12737000.0,36241000.0,13351000.0,-48212000.0,,,,,14117000.0,-86576000.0,,,-86576000.0,-18285000.0,41000000.0,0.0,22715000.0,-49744000,OGS,2016-09-30
351460,USD,2016,Q4,2017-02-23,2017-02-23,52454000.0,52967000.0,42314000.0,37339000.0,18086000.0,-97602000.0,,,,,137000.0,-77243000.0,,,-77735000.0,-18286000.0,104000000.0,2034000.0,87748000.0,10150000,OGS,2016-12-31
351460,USD,2017,Q1,2017-05-02,2017-05-02,52576000.0,53056000.0,76456000.0,37019000.0,31776000.0,16985000.0,,,,,162236000.0,-70471000.0,,,-70410000.0,-22034000.0,-59600000.0,-2469000.0,-93283000.0,-1457000,OGS,2017-03-31
351460,USD,2017,Q2,2017-08-01,2017-08-01,52553000.0,52969000.0,20623000.0,37851000.0,4147000.0,54414000.0,,,,,117035000.0,-84195000.0,,,-83779000.0,-22008000.0,-6400000.0,-12835000.0,-41349000.0,-8093000,OGS,2017-06-30
351460,USD,2017,Q3,2017-10-31,2017-10-31,52488000.0,52926000.0,18797000.0,38423000.0,-1084000.0,-33003000.0,,,,,23133000.0,-94391000.0,,,-94251000.0,-21954000.0,95000000.0,0.0,72877000.0,1759000,OGS,2017-09-30
351460,USD,2017,Q4,2018-02-22,2018-02-22,52491000.0,52965000.0,47119000.0,38596000.0,21377000.0,-155696000.0,,,,,-48604000.0,-106686000.0,,,-107303000.0,-21955000.0,183215000.0,2249000.0,163448000.0,7541000,OGS,2017-12-31
351460,USD,2018,Q1,2018-05-01,2018-05-01,52604000.0,52897000.0,90835000.0,38890000.0,21308000.0,72251000.0,,,,,223284000.0,-86599000.0,,,-86599000.0,-24137000.0,-74608000.0,0.0,-106562000.0,30123000,OGS,2018-03-31
