SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
102057,USD,2014,Q3,2014-12-10,2015-12-10,48202093.0,48839990.0,4851000.0,2245000.0,908000.0,-763000.0,,,,,7241000.0,-2271000.0,,,-2271000.0,0.0,-2895000.0,,-2924000.0,2046000,OLLI,2014-11-30
102057,USD,2014,Q4,2015-03-10,2017-03-29,48198877.0,49188981.0,12008000.0,2242000.0,-71000.0,29861000.0,,,,,44040000.0,-1926000.0,,,-1926000.0,0.0,-23503000.0,0.0,-23503000.0,18611000,OLLI,2015-02-28
102057,USD,2015,Q1,2015-06-02,2016-06-02,48197000.0,49545000.0,6661000.0,2238000.0,1019000.0,-24419000.0,,,,,-14501000.0,-2503000.0,,,-2503000.0,,-838000.0,,-895000.0,-17899000,OLLI,2015-05-31
102057,USD,2015,Q2,2015-09-02,2016-09-01,50102000.0,52057000.0,6352000.0,2305000.0,2880000.0,-14191000.0,,,,,-2654000.0,-3498000.0,,,-3498000.0,-48848000.0,-98768000.0,151649000.0,2881000.0,-3271000,OLLI,2015-08-31
102057,USD,2015,Q3,2015-12-10,2016-12-09,58478000.0,60704000.0,6762000.0,2358000.0,1332000.0,-8680000.0,,,,,1772000.0,-4893000.0,,,-4893000.0,0.0,7568000.0,-1486000.0,6299000.0,3178000,OLLI,2015-11-30
102057,USD,2015,Q4,2016-03-02,2017-03-29,58563000.0,60878000.0,16064000.0,2440000.0,5424000.0,37303000.0,,,,,61231000.0,-3443000.0,,,-3443000.0,0.0,-32038000.0,1914000.0,-31489000.0,26299000,OLLI,2016-02-29
102057,USD,2016,Q1,2016-06-02,2017-06-02,59669000.0,61867000.0,11748000.0,2506000.0,-3609000.0,-10304000.0,,,,,341000.0,-4821000.0,,,-4821000.0,,-1254000.0,7825000.0,11350000.0,6870000,OLLI,2016-05-31
102057,USD,2016,Q2,2016-09-01,2017-09-01,60046000.0,62358000.0,13135000.0,2594000.0,183000.0,-17939000.0,,,,,-2027000.0,-5161000.0,,,-5161000.0,,-1295000.0,1370000.0,791000.0,-6397000,OLLI,2016-08-31
102057,USD,2016,Q3,2016-12-09,2017-12-07,60301000.0,62515000.0,10461000.0,2670000.0,-38000.0,-7246000.0,,,,,5847000.0,-4236000.0,,,-4236000.0,,-1272000.0,2551000.0,3618000.0,5229000,OLLI,2016-11-30
102057,USD,2016,Q4,2017-03-29,2017-03-29,60624000.0,62920000.0,24420000.0,2898000.0,3224000.0,32385000.0,,,,,62927000.0,-2205000.0,,,-2205000.0,0.0,-1283000.0,1558000.0,2000000.0,62722000,OLLI,2017-02-28
102057,USD,2017,Q1,2017-06-02,2017-06-02,60880000.0,64389000.0,18966000.0,2862000.0,1621000.0,-21530000.0,,,,,1919000.0,-2945000.0,,,-2945000.0,,-66273000.0,2555000.0,-63937000.0,-64963000,OLLI,2017-05-31
102057,USD,2017,Q2,2017-09-01,2017-09-01,61194000.0,64889000.0,19712000.0,2976000.0,1565000.0,-28856000.0,,,,,-4603000.0,-5705000.0,,,-5705000.0,,-49000.0,1457000.0,1408000.0,-8900000,OLLI,2017-08-31
102057,USD,2017,Q3,2017-12-07,2017-12-07,61488000.0,65102000.0,18862000.0,3123000.0,2419000.0,-1336000.0,,,,,23068000.0,-6469000.0,,,-6469000.0,,-2561000.0,3306000.0,745000.0,17344000,OLLI,2017-11-30
102057,USD,2017,Q4,2018-04-04,2018-04-04,61850000.0,65420000.0,70054000.0,3300000.0,-27089000.0,29287000.0,,,,,75552000.0,-4038000.0,,,-4038000.0,0.0,-77539000.0,3095000.0,-74444000.0,-2930000,OLLI,2018-02-28
102057,USD,2018,Q1,2018-06-07,2018-06-07,62169000.0,65624000.0,30454000.0,3393000.0,1767000.0,-20266000.0,,,,,15348000.0,-4708000.0,,,-4708000.0,,-25050000.0,3492000.0,-22260000.0,-11620000,OLLI,2018-05-31
102057,USD,2018,Q2,2018-09-07,2018-09-07,62444000.0,65868000.0,29848000.0,3497000.0,2103000.0,-28267000.0,,,,,7181000.0,-5490000.0,,,-5490000.0,,-2570000.0,2680000.0,110000.0,1801000,OLLI,2018-08-31
102057,USD,2018,Q3,2018-12-07,2018-12-07,62747000.0,66095000.0,24817000.0,3568000.0,1606000.0,-5610000.0,,,,,24381000.0,-52452000.0,,,-52452000.0,,-2566000.0,1958000.0,-608000.0,-28679000,OLLI,2018-11-30
102057,USD,2018,Q4,2019-03-29,2019-03-29,62912000.0,66033000.0,49894000.0,3885000.0,836000.0,24554000.0,,,,,79169000.0,-11198000.0,,,-11198000.0,,-18815000.0,2049000.0,-16766000.0,51205000,OLLI,2019-02-28
102057,USD,2019,Q1,2019-06-10,2019-06-10,63188000.0,66176000.0,38717000.0,4116000.0,2298000.0,-23155000.0,,,,,21976000.0,-20107000.0,,,-20107000.0,,-113000.0,6081000.0,4701000.0,6570000,OLLI,2019-05-31
102057,USD,2019,Q2,2019-09-06,2019-09-06,63517000.0,66300000.0,25170000.0,4253000.0,2267000.0,-35027000.0,,,,,-3337000.0,22449000.0,,,22449000.0,,-89000.0,1491000.0,850000.0,19962000,OLLI,2019-08-31
102057,USD,2019,Q3,2019-12-12,2019-12-12,63173000.0,65672000.0,26956000.0,4521000.0,2897000.0,-38741000.0,,,,,-4367000.0,-24143000.0,,,-24143000.0,,-146000.0,298000.0,-39862000.0,-68372000,OLLI,2019-11-30
102057,USD,2019,Q4,2020-03-25,2020-12-08,62978000.0,65348000.0,50287000.0,4653000.0,3847000.0,32285000.0,,,,,91072000.0,-12323000.0,,,-12323000.0,,-112000.0,1217000.0,1100000.0,79849000,OLLI,2020-02-29
