SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
495083,USD,2011,Q2,2011-08-05,2012-08-09,33003000.0,33981000.0,2587000.0,1942000.0,2376000.0,-2757000.0,,,,,4148000.0,-2385000.0,,0.0,4493000.0,,,-2656000.0,-1060000.0,7589000,OMCL,2011-06-30
495083,USD,2011,Q3,2011-11-04,2012-11-09,33209000.0,34219000.0,2994000.0,2026000.0,1796000.0,550000.0,,,,,7366000.0,-2111000.0,,0.0,-10643000.0,,,434000.0,1470000.0,-1955000,OMCL,2011-09-30
495083,USD,2011,Q4,2012-03-08,2014-03-17,33096000.0,34114000.0,4138000.0,2163000.0,2140000.0,8173000.0,,,,,16614000.0,-1976000.0,,0.0,-2645000.0,,,-1833000.0,-1440000.0,12459000,OMCL,2011-12-31
495083,USD,2012,Q1,2012-05-08,2013-05-09,33365000.0,34341000.0,2351000.0,2335000.0,1742000.0,861000.0,,,,,7289000.0,-1528000.0,,0.0,-1528000.0,,,3245000.0,3816000.0,9658000,OMCL,2012-03-31
495083,USD,2012,Q2,2012-08-09,2013-08-09,33390000.0,34316000.0,1375000.0,2998000.0,1975000.0,5121000.0,,,,,11469000.0,-2808000.0,,-156312000.0,-152412000.0,,,-6678000.0,-6348000.0,-147349000,OMCL,2012-06-30
495083,USD,2012,Q3,2012-11-09,2013-11-08,33193000.0,34068000.0,6920000.0,3914000.0,2804000.0,-4919000.0,,,,,8719000.0,-5527000.0,,0.0,-7231000.0,,,-2153000.0,-718000.0,747000,OMCL,2012-09-30
495083,USD,2012,Q4,2013-03-11,2015-03-30,33280000.0,34127000.0,5532000.0,4078000.0,2686000.0,-289000.0,,,,,12007000.0,-5630000.0,,0.0,-7540000.0,,,3413000.0,3018000.0,7495000,OMCL,2012-12-31
495083,USD,2013,Q1,2013-05-09,2014-05-12,33900000.0,34820000.0,3385000.0,4472000.0,4642000.0,-8367000.0,,,,,4132000.0,-3348000.0,,,-5247000.0,,,8315000.0,8659000.0,7504000,OMCL,2013-03-31
495083,USD,2013,Q2,2013-08-09,2014-08-07,34450000.0,35374000.0,6016000.0,4772000.0,2415000.0,3893000.0,,,,,17096000.0,-2427000.0,,,-3722000.0,,,3234000.0,4148000.0,17517000,OMCL,2013-06-30
495083,USD,2013,Q3,2013-11-08,2014-11-10,35133000.0,36190000.0,7755000.0,4488000.0,2368000.0,4898000.0,,,,,19509000.0,-2267000.0,,0.0,-4767000.0,,,12471000.0,14040000.0,28856000,OMCL,2013-09-30
495083,USD,2013,Q4,2014-03-17,2016-02-26,35461000.0,36724000.0,6823000.0,4633000.0,2843000.0,227000.0,,,,,14526000.0,-4649000.0,,0.0,-6716000.0,,,-18096000.0,-19473000.0,-11659000,OMCL,2013-12-31
495083,USD,2014,Q1,2014-05-12,2015-05-08,35225000.0,36305000.0,6194000.0,4612000.0,2867000.0,-12556000.0,,,,,1117000.0,-2690000.0,,,-5592000.0,,,5555000.0,7493000.0,3027000,OMCL,2014-03-31
495083,USD,2014,Q2,2014-08-07,2015-08-07,35661000.0,36618000.0,7789000.0,4779000.0,2952000.0,8784000.0,,,,,24304000.0,-4836000.0,,0.0,-7441000.0,,,2189000.0,1848000.0,18821000,OMCL,2014-06-30
495083,USD,2014,Q3,2014-11-10,2015-11-06,35994000.0,36832000.0,7299000.0,5314000.0,3471000.0,-7190000.0,,,,,8894000.0,-2861000.0,,-19749000.0,-25028000.0,,,-6639000.0,-5803000.0,-22192000,OMCL,2014-09-30
