SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
208053,USD,2015,Q2,2015-09-10,2016-09-09,4233193.0,4233193.0,-3403000.0,452000.0,859000.0,71000.0,,,,,-2021000.0,-458000.0,,,-458000.0,,-10760000.0,58908000.0,48017000.0,45538000,OOMA,2015-07-31
208053,USD,2015,Q3,2015-12-10,2016-12-09,16703852.0,16703852.0,-3531000.0,474000.0,1479000.0,1532000.0,,,,,-46000.0,-251000.0,,,-251000.0,,-163000.0,-1428000.0,-1591000.0,-1888000,OOMA,2015-10-31
208053,USD,2015,Q4,2016-03-12,2017-04-11,17164094.0,17164094.0,-3183000.0,462000.0,1480000.0,1467000.0,,,,,226000.0,-1767000.0,,,-29845000.0,,-163000.0,-239000.0,-253000.0,-29872000,OOMA,2016-01-31
208053,USD,2016,Q1,2016-06-10,2017-06-06,17059986.0,17059986.0,-3956000.0,486000.0,2474000.0,-249000.0,,,,,-1245000.0,-321000.0,,,-17081000.0,,-628000.0,623000.0,-105000.0,-18431000,OOMA,2016-04-30
208053,USD,2016,Q2,2016-09-09,2017-09-07,17280985.0,17280985.0,-3340000.0,518000.0,2396000.0,1087000.0,,,,,661000.0,-709000.0,,,-3098000.0,,0.0,167000.0,167000.0,-2270000,OOMA,2016-07-31
208053,USD,2016,Q3,2016-12-09,2017-12-08,17648251.0,17648251.0,-2821000.0,581000.0,2370000.0,278000.0,,,,,408000.0,-116000.0,,,-129000.0,,0.0,657000.0,-683000.0,-404000,OOMA,2016-10-31
208053,USD,2016,Q4,2017-03-20,2017-04-11,17972570.0,17972570.0,-2832000.0,612000.0,2542000.0,239000.0,,,,,561000.0,-412000.0,,,-2661000.0,,0.0,30000.0,-218000.0,-2318000,OOMA,2017-01-31
208053,USD,2017,Q1,2017-06-17,2017-06-17,18128504.0,18128504.0,-3392000.0,626000.0,2971000.0,-40000.0,,,,,165000.0,-579000.0,,,4290000.0,,,863000.0,563000.0,5018000,OOMA,2017-04-30
208053,USD,2017,Q2,2017-09-17,2017-09-17,18360560.0,18360560.0,-3623000.0,633000.0,3120000.0,1137000.0,,,,,1267000.0,-484000.0,,,336000.0,,,25000.0,-178000.0,1425000,OOMA,2017-07-31
208053,USD,2017,Q3,2017-12-18,2017-12-18,18725286.0,18725286.0,-3179000.0,589000.0,2635000.0,902000.0,,,,,947000.0,-684000.0,,,-5944000.0,,,981000.0,-489000.0,-5486000,OOMA,2017-10-31
208053,USD,2017,Q4,2018-04-02,2018-04-02,19066162.0,19066162.0,-2927000.0,423000.0,2330000.0,968000.0,,,,,794000.0,-731000.0,,-1363000.0,-837000.0,,,49000.0,-421000.0,-464000,OOMA,2018-01-31
208053,USD,2018,Q1,2018-06-08,2018-06-08,19318718.0,19318718.0,-3685000.0,649000.0,2257000.0,1073000.0,,,,,294000.0,-405000.0,,-2402000.0,3310000.0,,,1166000.0,407000.0,4011000,OOMA,2018-04-30
208053,USD,2018,Q2,2018-09-06,2018-09-06,19673658.0,19673658.0,-3904000.0,756000.0,2442000.0,-88000.0,,,,,-794000.0,-450000.0,,0.0,9207000.0,,,478000.0,37000.0,8450000,OOMA,2018-07-31
208053,USD,2018,Q3,2018-12-07,2018-12-07,19962735.0,19962735.0,-3494000.0,852000.0,2422000.0,-1085000.0,,,,,-1305000.0,-583000.0,,0.0,-2304000.0,,,1119000.0,21000.0,-3588000,OOMA,2018-10-31
208053,USD,2018,Q4,2019-04-03,2019-04-03,20244013.0,20244013.0,-3489000.0,12000.0,2931000.0,-1575000.0,,,,,-2121000.0,-483000.0,,0.0,5940000.0,,-1300000.0,123000.0,-1805000.0,2014000,OOMA,2019-01-31
208053,USD,2019,Q1,2019-06-07,2019-06-07,20479739.0,20479739.0,-4740000.0,859000.0,3302000.0,-5165000.0,,,,,-5744000.0,-602000.0,,,1022000.0,,,1454000.0,724000.0,-3998000,OOMA,2019-04-30
208053,USD,2019,Q2,2019-09-09,2019-09-09,20849935.0,20849935.0,-4983000.0,1004000.0,3766000.0,-198000.0,,,,,-411000.0,-1030000.0,,-7073000.0,3123000.0,,,354000.0,-66000.0,2646000,OOMA,2019-07-31
208053,USD,2019,Q3,2019-12-06,2019-12-06,21274285.0,21274285.0,-6784000.0,1013000.0,5468000.0,-324000.0,,,,,-627000.0,-752000.0,,0.0,-1842000.0,,,932000.0,139000.0,-2330000,OOMA,2019-10-31
208053,USD,2019,Q4,2020-04-14,2020-04-14,21600197.0,21600197.0,-2294000.0,-328000.0,4561000.0,-2721000.0,,,,,-782000.0,-889000.0,,0.0,563000.0,,,211000.0,211000.0,-8000,OOMA,2020-01-31
