SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
745754,USD,2011,Q2,2011-08-09,2012-08-14,21818250.0,22916250.0,3697000.0,1194000.0,8000.0,-7238000.0,,,,,-2339000.0,-929000.0,,-522000.0,-1509000.0,,1461000.0,21000.0,-296000.0,-4144000,PATK,2011-06-30
745754,USD,2011,Q3,2011-11-08,2012-11-13,22196250.0,23370750.0,4536000.0,1203000.0,27000.0,5096000.0,,,,,10862000.0,-457000.0,,-5691000.0,-6202000.0,,-4974000.0,-26000.0,-5126000.0,-466000,PATK,2011-09-30
745754,USD,2011,Q4,2012-03-29,2014-03-14,22531500.0,23850000.0,1472000.0,1330000.0,4823000.0,-5336000.0,,,,,2289000.0,-779000.0,,-1101000.0,-1852000.0,,-97000.0,26000.0,-127000.0,310000,PATK,2011-12-31
745754,USD,2012,Q1,2012-05-15,2013-05-14,22992750.0,24090750.0,5011000.0,1428000.0,1960000.0,-6630000.0,,,,,1769000.0,-835000.0,,-3691000.0,-4532000.0,,3430000.0,0.0,3457000.0,694000,PATK,2012-03-31
745754,USD,2012,Q2,2012-08-14,2013-08-13,23683500.0,24572250.0,13313000.0,1111000.0,501000.0,-2379000.0,,,,,12546000.0,-1355000.0,,0.0,-1362000.0,,-11109000.0,116000.0,-11033000.0,151000,PATK,2012-06-30
745754,USD,2012,Q3,2012-11-13,2013-11-12,24014250.0,24545250.0,6554000.0,1154000.0,87000.0,-7480000.0,,,,,315000.0,-3033000.0,,-5532000.0,-8594000.0,,7667000.0,105000.0,7772000.0,-507000,PATK,2012-09-30
745754,USD,2012,Q4,2013-03-29,2015-03-13,24331500.0,22524750.0,3217000.0,1893000.0,9665000.0,-8408000.0,,,,,6367000.0,-2638000.0,,-20039000.0,-22734000.0,,15942000.0,215000.0,15913000.0,-454000,PATK,2012-12-31
745754,USD,2013,Q1,2013-05-14,2014-05-08,24534000.0,24716250.0,6019000.0,1807000.0,3669000.0,-10356000.0,,,,,1139000.0,-827000.0,,,-833000.0,,4332000.0,-3567000.0,715000.0,1021000,PATK,2013-03-31
745754,USD,2013,Q2,2013-08-13,2014-08-08,24120000.0,24214500.0,7557000.0,1723000.0,-1576000.0,6191000.0,,,,,13895000.0,-1708000.0,,,-1714000.0,,-8124000.0,-2451000.0,-8258000.0,3923000,PATK,2013-06-30
745754,USD,2013,Q3,2013-11-12,2014-11-07,23973750.0,24068250.0,5452000.0,1686000.0,2387000.0,-3107000.0,,,,,6418000.0,-1670000.0,,-16544000.0,-18244000.0,,16958000.0,4000.0,16958000.0,5132000,PATK,2013-09-30
