SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
919132,USD,2011,Q2,2011-08-09,2012-09-05,17355000.0,17355000.0,-215000.0,1309000.0,1020000.0,-126000.0,,,,,1988000.0,-1631000.0,-9008000.0,0.0,6019000.0,0.0,,-243000.0,-269000.0,7738000,PCTI,2011-06-30
919132,USD,2011,Q3,2011-11-09,2012-11-09,17238000.0,17640000.0,218000.0,1302000.0,742000.0,849000.0,,,,,3111000.0,-715000.0,-14542000.0,0.0,-6117000.0,0.0,,-2017000.0,-2020000.0,-5026000,PCTI,2011-09-30
919132,USD,2011,Q4,2012-03-15,2014-03-13,16952000.0,18762000.0,2023000.0,830000.0,1263000.0,352000.0,,,,,4468000.0,-716000.0,-16833000.0,-1450000.0,-4795000.0,-545000.0,,17000.0,-557000.0,-2232000,PCTI,2011-12-31
919132,USD,2012,Q1,2012-05-09,2013-05-15,17264000.0,17264000.0,-1111000.0,1331000.0,741000.0,241000.0,,,,,1202000.0,-696000.0,-17077000.0,,-1373000.0,-545000.0,,294000.0,-1413000.0,-1584000,PCTI,2012-03-31
919132,USD,2012,Q2,2012-09-05,2013-08-09,17404000.0,17404000.0,1000000.0,886000.0,901000.0,-1320000.0,,,,,1467000.0,-973000.0,-9242000.0,-931000.0,9932000.0,-552000.0,,0.0,-580000.0,9956000,PCTI,2012-06-30
919132,USD,2012,Q3,2012-11-09,2013-11-12,17493000.0,17779000.0,688000.0,1549000.0,693000.0,-2119000.0,,,,,811000.0,-967000.0,-9540000.0,-16800000.0,-11005000.0,-552000.0,,277000.0,-278000.0,-10745000,PCTI,2012-09-30
919132,USD,2012,Q4,2013-04-02,2015-03-13,17447000.0,17161000.0,-7249000.0,1025000.0,8941000.0,1189000.0,,,,,3906000.0,-745000.0,-26068000.0,1731000.0,-1144000.0,-553000.0,,7000.0,-557000.0,474000,PCTI,2012-12-31
919132,USD,2013,Q1,2013-05-15,2014-05-08,17684000.0,17911000.0,1865000.0,1283000.0,1656000.0,-2155000.0,,,,,2649000.0,-598000.0,-24762000.0,,-3409000.0,-646000.0,,380000.0,-1185000.0,-1945000,PCTI,2013-03-31
919132,USD,2013,Q2,2013-08-09,2014-08-11,17790000.0,18075000.0,274000.0,1271000.0,1235000.0,-1515000.0,,,,,1265000.0,-682000.0,-14068000.0,,2574000.0,-643000.0,,-432000.0,-1099000.0,2724000,PCTI,2013-06-30
919132,USD,2013,Q3,2013-11-12,2014-11-07,17841000.0,18354000.0,751000.0,1256000.0,1475000.0,772000.0,,,,,4254000.0,-649000.0,-21906000.0,,-5014000.0,-644000.0,,528000.0,-168000.0,-928000,PCTI,2013-09-30
919132,USD,2013,Q4,2014-03-13,2016-03-15,17873000.0,18396000.0,452000.0,1260000.0,1298000.0,1323000.0,,,,,4333000.0,-1027000.0,-11274000.0,0.0,384000.0,-646000.0,,355000.0,-394000.0,4323000,PCTI,2013-12-31
919132,USD,2014,Q1,2014-05-08,2015-05-11,18176000.0,18176000.0,-146000.0,1240000.0,667000.0,-1568000.0,,,,,193000.0,-620000.0,-18582000.0,0.0,-4209000.0,-739000.0,,404000.0,-1322000.0,-5338000,PCTI,2014-03-31
919132,USD,2014,Q2,2014-08-11,2015-08-10,18165000.0,18291000.0,545000.0,1161000.0,1321000.0,-2352000.0,,,,,675000.0,-610000.0,-15502000.0,0.0,-687000.0,-743000.0,,-1562000.0,-2340000.0,-2352000,PCTI,2014-06-30
919132,USD,2014,Q3,2014-11-07,2015-11-09,18112000.0,18271000.0,2218000.0,1188000.0,1067000.0,1112000.0,,,,,5585000.0,-654000.0,-20589000.0,0.0,-429000.0,-736000.0,,345000.0,92000.0,5248000,PCTI,2014-09-30
919132,USD,2014,Q4,2015-03-13,2017-03-15,18183000.0,18818000.0,1995000.0,1217000.0,1896000.0,-2548000.0,,,,,2560000.0,-658000.0,-3956000.0,0.0,-689000.0,-739000.0,,253000.0,-781000.0,1090000,PCTI,2014-12-31
919132,USD,2015,Q1,2015-05-11,2016-05-10,18312000.0,18312000.0,-33000.0,1398000.0,481000.0,-1334000.0,,,,,512000.0,-364000.0,-2430000.0,-20500000.0,-12228000.0,-929000.0,,543000.0,-782000.0,-12498000,PCTI,2015-03-31
919132,USD,2015,Q2,2015-08-10,2016-08-09,18257000.0,18408000.0,347000.0,1956000.0,824000.0,3840000.0,,,,,6967000.0,-917000.0,-6836000.0,0.0,4949000.0,-930000.0,,-2731000.0,-3665000.0,8251000,PCTI,2015-06-30
