SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
350539,USD,2015,Q1,2015-05-15,2016-05-05,212106718.0,212106718.0,-11427000.0,73583000.0,-25633000.0,-37187000.0,-5171000.0,,-8928000.0,-23088000.0,-664000.0,-21636000.0,,,-20326000.0,-35325000.0,-337000.0,,-36720000.0,-57710000,PGRE,2015-03-31
350539,USD,2015,Q2,2015-08-13,2016-08-04,212106718.0,212106718.0,3148000.0,79421000.0,-40838000.0,21259000.0,4910000.0,,1293000.0,15056000.0,62990000.0,-20278000.0,,,-12038000.0,0.0,-341000.0,,6247000.0,57199000,PGRE,2015-06-30
350539,USD,2015,Q3,2015-11-12,2016-11-02,212106718.0,212108079.0,9357000.0,70654000.0,-47597000.0,-36524000.0,-4360000.0,,-708000.0,-31456000.0,-4110000.0,-26570000.0,,,-63072000.0,-25071000.0,-346000.0,,47189000.0,-19993000,PGRE,2015-09-30
350539,USD,2015,Q4,2016-02-25,2018-02-15,212106718.0,212105357.0,20065000.0,70966000.0,-176123000.0,9926000.0,1469000.0,,2191000.0,6266000.0,-75166000.0,-39375000.0,-1481000.0,,-13904000.0,-25062000.0,106935000.0,,-199046000.0,-288116000,PGRE,2015-12-31
350539,USD,2016,Q1,2016-05-05,2017-05-04,212403593.0,212403593.0,-7487000.0,74812000.0,-16597000.0,31311000.0,-1362000.0,,62019000.0,-29346000.0,82039000.0,-33193000.0,,,-33793000.0,-25068000.0,19646000.0,,-5422000.0,42824000,PGRE,2016-03-31
350539,USD,2016,Q2,2016-08-04,2017-08-03,217121592.0,217137557.0,7910000.0,67287000.0,-35393000.0,10133000.0,1197000.0,,-7082000.0,16018000.0,49937000.0,-40647000.0,,,-27535000.0,-25146000.0,72779000.0,,23366000.0,45768000,PGRE,2016-06-30
350539,USD,2016,Q3,2016-11-02,2017-11-06,219394245.0,219394245.0,4469000.0,66376000.0,-34199000.0,-98474000.0,-1290000.0,,-58272000.0,-38912000.0,-61828000.0,-33605000.0,,,-85821000.0,-25151000.0,32589000.0,,6441000.0,-141208000,PGRE,2016-09-30
350539,USD,2016,Q4,2017-02-22,2019-02-13,223292818.0,223276853.0,-2823000.0,60975000.0,-20969000.0,40952000.0,-3066000.0,,14814000.0,29204000.0,78135000.0,-543064000.0,-369000.0,,-505509000.0,-25152000.0,758131000.0,,494609000.0,67235000,PGRE,2016-12-31
350539,USD,2017,Q1,2017-05-04,2018-05-02,230924271.0,230958441.0,1629000.0,62992000.0,-20044000.0,-3861000.0,2687000.0,,-8355000.0,1807000.0,40716000.0,-15087000.0,-1615000.0,-27857000.0,-40714000.0,-25151000.0,87914000.0,,8591000.0,8593000,PGRE,2017-03-31
350539,USD,2017,Q2,2017-08-03,2018-08-08,234990468.0,235010830.0,138182000.0,68636000.0,-153665000.0,-14877000.0,415000.0,,-6902000.0,-8390000.0,38276000.0,-17992000.0,4928000.0,539399000.0,532837000.0,-25207000.0,-371179000.0,,-474898000.0,96215000,PGRE,2017-06-30
350539,USD,2017,Q3,2017-11-06,2018-11-05,239445810.0,239445810.0,-25403000.0,66515000.0,14012000.0,-32045000.0,-842000.0,,4547000.0,-35750000.0,23079000.0,-187360000.0,-5591000.0,-95000.0,-170334000.0,-25211000.0,0.0,,67456000.0,-79799000,PGRE,2017-09-30
350539,USD,2017,Q4,2018-02-15,2020-02-12,240130655.0,240191111.0,-7232000.0,67894000.0,-8629000.0,36007000.0,-3260000.0,,17015000.0,22252000.0,88040000.0,-27179000.0,291000.0,95000.0,-26058000.0,-25211000.0,0.0,,-28905000.0,33077000,PGRE,2017-12-31
350539,USD,2018,Q1,2018-05-02,2019-05-01,240311744.0,240338698.0,2715000.0,65156000.0,-7611000.0,-24691000.0,46000.0,,5325000.0,-30062000.0,35569000.0,-25413000.0,4020000.0,-16115000.0,-53345000.0,-25211000.0,16700000.0,,12930000.0,-4846000,PGRE,2018-03-31
350539,USD,2018,Q2,2018-08-08,2019-07-31,240336485.0,240336485.0,-36578000.0,64775000.0,30301000.0,12444000.0,1487000.0,,-4028000.0,14985000.0,70942000.0,-26197000.0,-907000.0,-1022000.0,-27615000.0,-26626000.0,0.0,,-22621000.0,20706000,PGRE,2018-06-30
350539,USD,2018,Q3,2018-11-05,2019-11-06,240447921.0,240489138.0,44261000.0,64610000.0,-46320000.0,-34894000.0,-656000.0,,-597000.0,-33641000.0,27657000.0,-34011000.0,47000.0,340659000.0,304087000.0,-26621000.0,0.0,-3569000.0,-28402000.0,303342000,PGRE,2018-09-30
350539,USD,2018,Q4,2019-02-13,2021-02-10,237010626.0,237058223.0,8595000.0,63684000.0,-6436000.0,-43488000.0,-3871000.0,,3500000.0,-43117000.0,22355000.0,-52294000.0,1615000.0,-4392000.0,-66517000.0,-26597000.0,-27299000.0,-99294000.0,-160056000.0,-204218000,PGRE,2018-12-31
350539,USD,2019,Q1,2019-05-01,2020-04-29,233419299.0,233458438.0,7000000.0,63089000.0,-1921000.0,26283000.0,-60000.0,,-2544000.0,28887000.0,94451000.0,-27944000.0,-3436000.0,-49239000.0,-56645000.0,-25902000.0,,,-42744000.0,-4938000,PGRE,2019-03-31
350539,USD,2019,Q2,2019-07-31,2020-07-29,234329904.0,234355864.0,5174000.0,62625000.0,-3820000.0,-51617000.0,441000.0,,-9749000.0,-42309000.0,12362000.0,-22822000.0,4976000.0,-3286000.0,-200339000.0,-25949000.0,170000000.0,-6488000.0,133885000.0,-54092000,PGRE,2019-06-30
