SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
1011101,USD,2017,Q4,2018-02-09,2020-03-10,228117037.0,228117037.0,-19439000.0,2744000.0,2969000.0,34838000.0,,,,,21112000.0,-16072000.0,,,-16072000.0,,-15047000.0,2385000.0,6426000.0,11528000,PLUG,2017-12-31
1011101,USD,2018,Q1,2018-05-10,2019-05-08,226985762.0,226985762.0,-19835000.0,2938000.0,3011000.0,-10142000.0,,,,,-24028000.0,-4303000.0,,,-4303000.0,,91408000.0,50000.0,49199000.0,20914000,PLUG,2018-03-31
1011101,USD,2018,Q2,2018-08-09,2019-08-09,214315312.0,214315312.0,-25868000.0,3192000.0,7966000.0,-6441000.0,,,,,-21151000.0,-12057000.0,,,-12057000.0,,-19033000.0,17000.0,-257000.0,-33547000,PLUG,2018-06-30
1011101,USD,2018,Q3,2018-11-09,2019-11-08,218953106.0,218953106.0,-15565000.0,2973000.0,5218000.0,10911000.0,,,,,3537000.0,-1168000.0,,,-1168000.0,,-13601000.0,4937000.0,4274000.0,6630000,PLUG,2018-09-30
1011101,USD,2018,Q4,2019-03-13,2021-05-14,215275168.0,215275168.0,-24340000.0,3422000.0,2503000.0,1707000.0,,,,,-16708000.0,-2044000.0,,,-2044000.0,,66536000.0,33263000.0,66861000.0,48101000,PLUG,2018-12-31
1011101,USD,2019,Q1,2019-05-08,2020-05-08,220605068.0,220605068.0,-30952000.0,2951000.0,8592000.0,-16854000.0,,,,,-36263000.0,-2274000.0,,,-2274000.0,,14074000.0,23576000.0,37650000.0,-922000,PLUG,2019-03-31
1011101,USD,2019,Q2,2019-08-09,2020-08-10,231114868.0,231114868.0,-18094000.0,2883000.0,4619000.0,-1633000.0,,,,,-12225000.0,-4042000.0,,,-4042000.0,,37490000.0,4886000.0,42376000.0,26096000,PLUG,2019-06-30
1011101,USD,2019,Q3,2019-11-08,2020-11-09,236759521.0,236759521.0,-18144000.0,3628000.0,6137000.0,5066000.0,,,,,-3313000.0,-2655000.0,,,-2655000.0,,63586000.0,9483000.0,69029000.0,62990000,PLUG,2019-09-30
1011101,USD,2019,Q4,2020-03-10,2021-05-14,260131663.0,260131663.0,-16553000.0,3174000.0,8050000.0,3806000.0,,,,,-1523000.0,-5273000.0,,,-5273000.0,,42215000.0,135704000.0,177919000.0,171183000,PLUG,2019-12-31
1011101,USD,2020,Q1,2020-05-08,2021-06-22,305192201.0,305192201.0,-37432000.0,3166000.0,8199000.0,-34335000.0,,,,,-60402000.0,-2507000.0,,,-6355000.0,,-1634000.0,6104000.0,4470000.0,-62286000,PLUG,2020-03-31
