SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
349262,USD,2011,Q2,2011-08-09,2013-02-28,46377843.0,46377843.0,-8082000.0,1684000.0,-5506000.0,2822000.0,,,,,-9082000.0,-2663000.0,,-37855000.0,-40518000.0,,50742000.0,1245000.0,51858000.0,2258000,PODD,2011-06-30
349262,USD,2011,Q3,2011-11-08,2013-02-28,47321989.0,47321989.0,-13562000.0,2836000.0,4972000.0,4918000.0,,,,,-836000.0,-3278000.0,,0.0,-3278000.0,,-74000.0,1264000.0,1180000.0,-2934000,PODD,2011-09-30
349262,USD,2011,Q4,2012-02-28,2014-02-28,47432812.0,47432812.0,-14339000.0,2820000.0,6007000.0,-2156000.0,,,,,-7668000.0,-2276000.0,,0.0,-2276000.0,,-80000.0,436000.0,87000.0,-9857000,PODD,2011-12-31
349262,USD,2012,Q1,2012-05-29,2013-05-08,47607449.0,47607449.0,-14780000.0,2844000.0,5960000.0,-2927000.0,,,,,-8903000.0,-1699000.0,,,-1699000.0,,,633000.0,-347000.0,-10949000,PODD,2012-03-31
349262,USD,2012,Q2,2012-08-28,2013-08-08,47824190.0,47824190.0,-14476000.0,2654000.0,5669000.0,-4961000.0,,,,,-11114000.0,-2550000.0,,,-2550000.0,,0.0,1009000.0,802000.0,-12862000,PODD,2012-06-30
349262,USD,2012,Q3,2012-11-28,2013-11-07,48041392.0,48041392.0,-12417000.0,2594000.0,5748000.0,626000.0,,,,,-3449000.0,-4687000.0,,,-4687000.0,,0.0,1500000.0,1435000.0,-6701000,PODD,2012-09-30
349262,USD,2012,Q4,2013-02-28,2015-02-26,48224265.0,48224265.0,-10194000.0,2938000.0,6164000.0,-4501000.0,,,,,-5593000.0,-2055000.0,,,-2055000.0,,0.0,1785000.0,1498000.0,-6150000,PODD,2012-12-31
349262,USD,2013,Q1,2013-05-08,2014-05-07,53052400.0,53052400.0,-10665000.0,2904000.0,7230000.0,-669000.0,,,,,-1200000.0,-1069000.0,,,-1069000.0,,0.0,94361000.0,93041000.0,90772000,PODD,2013-03-31
349262,USD,2013,Q2,2013-08-08,2014-08-07,53834707.0,53834707.0,-10519000.0,2859000.0,8315000.0,3717000.0,,,,,4372000.0,-1626000.0,,,-1626000.0,,-2000000.0,3244000.0,133000.0,2879000,PODD,2013-06-30
349262,USD,2013,Q3,2013-12-19,2014-11-05,54458364.0,54458364.0,-21290000.0,3096000.0,9434000.0,12454000.0,,,,,3694000.0,-1822000.0,,,-1822000.0,,-336000.0,1559000.0,1089000.0,2961000,PODD,2013-09-30
