SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
252069,USD,2009,Q2,2009-08-10,2010-08-04,113515000.0,113584000.0,96583000.0,42609000.0,93565000.0,-85103000.0,,,,,147654000.0,-116472000.0,,,-116472000.0,,-13754000.0,3641000.0,-10113000.0,21069000,RDC,2009-06-30
252069,USD,2009,Q3,2009-11-06,2010-11-05,113515000.0,113584000.0,78392000.0,43747000.0,19032000.0,42862000.0,,,,,184033000.0,-182741000.0,,0.0,-182741000.0,,473022000.0,-3506000.0,465954000.0,467246000,RDC,2009-09-30
252069,USD,2009,Q4,2010-03-01,2012-02-28,113515000.0,113584000.0,60829000.0,44590000.0,-177921000.0,207633000.0,,,,,135131000.0,-170257000.0,,0.0,-170257000.0,,-13754000.0,1220000.0,-6300000.0,-41426000,RDC,2009-12-31
252069,USD,2010,Q1,2010-05-07,2011-05-03,112861000.0,114550000.0,64623000.0,45492000.0,-53211000.0,-67092000.0,,,,,-10188000.0,-89253000.0,,,-89253000.0,,-18707000.0,728000.0,-18094000.0,-117535000,RDC,2010-03-31
252069,USD,2010,Q2,2010-08-04,2011-08-04,113171000.0,114998000.0,90916000.0,46458000.0,83841000.0,-742000.0,,,,,220473000.0,-120252000.0,,,-120252000.0,,-13754000.0,2196000.0,-11428000.0,88793000,RDC,2010-06-30
252069,USD,2010,Q3,2010-11-05,2011-11-03,116721000.0,118449000.0,67171000.0,47353000.0,12495000.0,-57023000.0,,,,,69996000.0,-104103000.0,,-17681000.0,-121784000.0,,331917000.0,1751000.0,333611000.0,281823000,RDC,2010-09-30
252069,USD,2010,Q4,2011-03-01,2013-03-01,125289000.0,1270000.0,57285000.0,47260000.0,33535000.0,89801000.0,,,,,227881000.0,-173685000.0,,0.0,-188950000.0,,-497952000.0,3284000.0,-494214000.0,-455283000,RDC,2010-12-31
252069,USD,2011,Q1,2011-05-03,2012-05-02,125431000.0,127188000.0,32072000.0,49366000.0,-15988000.0,48420000.0,,,,,113870000.0,-358436000.0,,,-358011000.0,,-12329000.0,7781000.0,-3684000.0,-247825000,RDC,2011-03-31
252069,USD,2011,Q2,2011-08-04,2012-08-06,126252000.0,127583000.0,465859000.0,50564000.0,-587655000.0,103261000.0,,,,,32029000.0,-568485000.0,,,490896000.0,,-13754000.0,8702000.0,-1252000.0,521673000,RDC,2011-06-30
252069,USD,2011,Q3,2011-11-03,2012-11-08,125237000.0,126444000.0,193809000.0,50306000.0,-337454000.0,75449000.0,,,,,-17890000.0,287109000.0,,,293288000.0,,-12329000.0,-82300000.0,-94165000.0,181233000,RDC,2011-09-30
