SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
909018,USD,2011,Q2,2011-08-02,2012-08-07,58272000.0,58272000.0,-21474000.0,476000.0,3200000.0,633000.0,,,,,-17165000.0,-697000.0,,,-106977000.0,,-234000.0,141622000.0,141388000.0,17246000,RIGL,2011-06-30
909018,USD,2011,Q3,2011-11-01,2012-11-06,71226000.0,71226000.0,-17931000.0,506000.0,3090000.0,1542000.0,,,,,-12793000.0,-561000.0,,,-11498000.0,,-181000.0,202000.0,21000.0,-24270000,RIGL,2011-09-30
909018,USD,2011,Q4,2012-03-06,2014-03-04,71543000.0,71543000.0,-25787000.0,526000.0,3041000.0,3566000.0,,,,,-18654000.0,-185000.0,,,17836000.0,,-134000.0,903000.0,769000.0,-49000,RIGL,2011-12-31
909018,USD,2012,Q1,2012-05-01,2013-05-07,71422000.0,71422000.0,-23174000.0,552000.0,3098000.0,-3749000.0,,,,,-23273000.0,-1574000.0,,,26185000.0,,,488000.0,488000.0,3400000,RIGL,2012-03-31
909018,USD,2012,Q2,2012-08-07,2013-08-06,71458000.0,71458000.0,-24738000.0,610000.0,3011000.0,377000.0,,,,,-20740000.0,-818000.0,,,23973000.0,,,885000.0,885000.0,4118000,RIGL,2012-06-30
909018,USD,2012,Q3,2012-11-06,2013-11-05,71636000.0,71636000.0,-25456000.0,635000.0,3245000.0,1951000.0,,,,,-19625000.0,-384000.0,,,19079000.0,,,1196000.0,1196000.0,650000,RIGL,2012-09-30
909018,USD,2012,Q4,2013-03-05,2015-03-03,85352000.0,85352000.0,-25472000.0,636000.0,3246000.0,19000.0,,,,,-21571000.0,-584000.0,,,-108271000.0,,,136525000.0,136525000.0,6683000,RIGL,2012-12-31
909018,USD,2013,Q1,2013-05-07,2014-05-07,87141000.0,87141000.0,-25574000.0,669000.0,1793000.0,-1999000.0,,,,,-25111000.0,-676000.0,,,25786000.0,,,,,675000,RIGL,2013-03-31
909018,USD,2013,Q2,2013-08-06,2014-08-05,87147000.0,87147000.0,-22768000.0,628000.0,1747000.0,-928000.0,,,,,-21321000.0,-249000.0,,,8208000.0,,,822000.0,822000.0,-12291000,RIGL,2013-06-30
909018,USD,2013,Q3,2013-11-05,2014-11-04,87430000.0,87430000.0,-23824000.0,644000.0,2063000.0,374000.0,,,,,-20743000.0,-128000.0,,,14906000.0,,,0.0,0.0,-5837000,RIGL,2013-09-30
