SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
998690,USD,2010,Q3,2010-11-01,2011-11-02,33975061.0,33975061.0,234000.0,3839000.0,1088000.0,-1205000.0,,,,,3956000.0,-2112000.0,,,-2112000.0,-623000.0,-2000000.0,1000.0,-2620000.0,-776000,RUTH,2010-09-30
998690,USD,2010,Q4,2011-03-04,2013-03-13,33978854.0,42818492.0,4631000.0,3777000.0,2185000.0,9659000.0,,,,,20252000.0,-1698000.0,,,-1698000.0,-630000.0,-16000000.0,76000.0,-16622000.0,1932000,RUTH,2010-12-31
998690,USD,2011,Q1,2011-05-06,2012-04-30,34000032.0,43084686.0,6931000.0,3711000.0,1835000.0,-6486000.0,,,,,5991000.0,-1792000.0,,,-1792000.0,-630000.0,-6000000.0,,-6627000.0,-2428000,RUTH,2011-03-31
998690,USD,2011,Q2,2011-08-03,2012-07-27,34075604.0,43233207.0,9207000.0,3649000.0,-2061000.0,-2323000.0,,,,,8472000.0,-2093000.0,,,-2093000.0,-617000.0,-5000000.0,5000.0,-5615000.0,764000,RUTH,2011-06-30
998690,USD,2011,Q3,2011-11-02,2012-10-31,34147353.0,43338599.0,797000.0,3616000.0,1065000.0,-2861000.0,,,,,2617000.0,-2237000.0,,,-2237000.0,-623000.0,-600000.0,37000.0,-1186000.0,-806000,RUTH,2011-09-30
998690,USD,2011,Q4,2012-03-02,2014-03-11,34149427.0,43351912.0,2614000.0,3883000.0,3538000.0,12222000.0,,,,,22257000.0,-2853000.0,,,-2853000.0,-630000.0,-17400000.0,36000.0,-18027000.0,1377000,RUTH,2011-12-31
998690,USD,2012,Q1,2012-04-30,2013-05-09,34170628.0,34170628.0,6095000.0,3707000.0,3050000.0,-5183000.0,,,,,7669000.0,-2093000.0,,,-2093000.0,-1103000.0,55000000.0,,-6447000.0,-871000,RUTH,2012-03-31
998690,USD,2012,Q2,2012-07-27,2013-08-05,34304948.0,35133637.0,5832000.0,3640000.0,1786000.0,-1580000.0,,,,,9678000.0,-2560000.0,,,-2560000.0,0.0,-6000000.0,0.0,-5682000.0,1436000,RUTH,2012-06-30
998690,USD,2012,Q3,2012-10-31,2013-11-06,34373629.0,35185209.0,803000.0,3576000.0,674000.0,415000.0,,,,,5468000.0,-4050000.0,,,-4050000.0,0.0,-2000000.0,328000.0,-1996000.0,-578000,RUTH,2012-09-30
998690,USD,2012,Q4,2013-03-13,2015-03-10,34405339.0,32765070.0,3649000.0,3633000.0,5720000.0,17507000.0,,,,,30509000.0,-2593000.0,,,-2593000.0,0.0,-24000000.0,65000.0,-23919000.0,3997000,RUTH,2012-12-31
998690,USD,2013,Q1,2013-05-09,2014-05-06,34456380.0,35505778.0,7661000.0,3605000.0,2564000.0,-12229000.0,,,,,1601000.0,-1221000.0,,0.0,-1221000.0,0.0,-2000000.0,35000.0,-1965000.0,-1585000,RUTH,2013-03-31
998690,USD,2013,Q2,2013-08-05,2014-08-05,34660149.0,35681077.0,7766000.0,3138000.0,2651000.0,-5701000.0,,,,,7854000.0,-3412000.0,,0.0,-3412000.0,-1430000.0,-3000000.0,66000.0,-5236000.0,-794000,RUTH,2013-06-30
998690,USD,2013,Q3,2013-11-06,2014-11-07,34956353.0,35795508.0,2887000.0,3064000.0,670000.0,2728000.0,,,,,9349000.0,-5145000.0,,0.0,-5145000.0,-1400000.0,-3000000.0,60000.0,-4457000.0,-253000,RUTH,2013-09-30
998690,USD,2013,Q4,2014-03-11,2016-03-04,34971758.0,36155357.0,4175000.0,3253000.0,6363000.0,15201000.0,,,,,28992000.0,-4429000.0,,0.0,-4429000.0,-1448000.0,-18000000.0,47000.0,-19254000.0,5309000,RUTH,2013-12-31
998690,USD,2014,Q1,2014-05-06,2015-05-05,35094652.0,35822458.0,8865000.0,3127000.0,1324000.0,-11466000.0,,,,,1850000.0,-3330000.0,,-2800000.0,-6130000.0,-1798000.0,3000000.0,-2960000.0,-2583000.0,-6863000,RUTH,2014-03-31
998690,USD,2014,Q2,2014-08-05,2015-08-04,35122131.0,35587975.0,6903000.0,3383000.0,2230000.0,-4622000.0,,,,,7894000.0,-3032000.0,,0.0,-3032000.0,-1798000.0,0.0,-3580000.0,-5373000.0,-511000,RUTH,2014-06-30
998690,USD,2014,Q3,2014-11-07,2015-10-30,34925592.0,34925592.0,-7298000.0,3320000.0,11757000.0,-4411000.0,,,,,3368000.0,-5273000.0,,0.0,-5273000.0,-1778000.0,8000000.0,-3581000.0,2179000.0,274000,RUTH,2014-09-30
998690,USD,2014,Q4,2015-03-10,2017-03-08,34680665.0,35325907.0,7985000.0,3355000.0,4618000.0,14278000.0,,,,,30236000.0,-5581000.0,,0.0,-5581000.0,-1764000.0,-17000000.0,-5105000.0,-23840000.0,815000,RUTH,2014-12-31
998690,USD,2015,Q1,2015-05-05,2016-05-03,34216357.0,34515515.0,10411000.0,2919000.0,14548000.0,-18719000.0,,,,,9159000.0,5379000.0,,,5379000.0,-2082000.0,-10000000.0,-2800000.0,-15415000.0,-877000,RUTH,2015-03-31
998690,USD,2015,Q2,2015-08-04,2016-07-29,34343691.0,34611107.0,7517000.0,3187000.0,84000.0,1780000.0,,,,,12568000.0,-3500000.0,,,-3500000.0,-2091000.0,-3000000.0,-2259000.0,-7362000.0,1706000,RUTH,2015-06-30
998690,USD,2015,Q3,2015-10-30,2016-10-28,33989364.0,34338440.0,2565000.0,3241000.0,-195000.0,2167000.0,,,,,7778000.0,-6473000.0,,,-6473000.0,-2107000.0,5000000.0,-6392000.0,-3643000.0,-2338000,RUTH,2015-09-30
998690,USD,2015,Q4,2016-03-04,2018-03-16,33524916.0,34272566.0,9511000.0,3173000.0,-410000.0,12808000.0,,,,,25082000.0,-5698000.0,,,-5698000.0,-2069000.0,-5000000.0,-12051000.0,-19081000.0,303000,RUTH,2015-12-31
998690,USD,2016,Q1,2016-05-03,2017-05-05,32626645.0,33073660.0,10762000.0,3101000.0,4359000.0,-5865000.0,,,,,12357000.0,-5928000.0,,,-5928000.0,-2350000.0,8000000.0,-11600000.0,-6863000.0,-434000,RUTH,2016-03-31
998690,USD,2016,Q2,2016-07-29,2017-07-28,32138846.0,32540633.0,6908000.0,3371000.0,3450000.0,-5587000.0,,,,,8142000.0,-6739000.0,,,-6739000.0,-2337000.0,22000000.0,-19995000.0,-511000.0,892000,RUTH,2016-06-30
998690,USD,2016,Q3,2016-10-28,2017-11-03,31305952.0,31737036.0,3583000.0,3435000.0,2702000.0,-1094000.0,,,,,8626000.0,-5625000.0,,,-5625000.0,-2282000.0,8000000.0,-8302000.0,-2600000.0,401000,RUTH,2016-09-30
998690,USD,2016,Q4,2017-03-08,2019-02-28,30609313.0,31084531.0,9212000.0,3527000.0,5020000.0,9410000.0,,,,,27169000.0,-7117000.0,,,-7117000.0,-2226000.0,-13000000.0,-4960000.0,-20218000.0,-166000,RUTH,2016-12-31
998690,USD,2017,Q1,2017-05-05,2018-05-10,30575224.0,31253186.0,11048000.0,3505000.0,2172000.0,4978000.0,,,,,21703000.0,-7170000.0,,,-7170000.0,-2862000.0,-11000000.0,57000.0,-15273000.0,-740000,RUTH,2017-03-31
998690,USD,2017,Q2,2017-07-28,2018-08-10,30548258.0,31264266.0,7811000.0,3731000.0,2205000.0,-4266000.0,,,,,9481000.0,-3479000.0,,,-3479000.0,-2862000.0,7000000.0,-7651000.0,-3822000.0,2180000,RUTH,2017-06-30
998690,USD,2017,Q3,2017-11-03,2018-11-02,30348180.0,30877192.0,1697000.0,3853000.0,5288000.0,-6932000.0,,,,,3906000.0,-3677000.0,,,-3677000.0,-2844000.0,9000000.0,-6036000.0,-595000.0,-366000,RUTH,2017-09-30
998690,USD,2017,Q4,2018-03-16,2020-02-27,29916334.0,30270812.0,9581000.0,3906000.0,6121000.0,13995000.0,,,,,33603000.0,-6929000.0,,-35357000.0,-42286000.0,-2815000.0,20000000.0,-9313000.0,7872000.0,-811000,RUTH,2017-12-31
998690,USD,2018,Q1,2018-05-10,2019-05-03,29689870.0,30384180.0,13646000.0,4461000.0,1732000.0,-4140000.0,,,,,15699000.0,-5505000.0,,,-5505000.0,-3390000.0,-7000000.0,9000.0,-12077000.0,-1883000,RUTH,2018-03-31
998690,USD,2018,Q2,2018-08-10,2019-08-02,29713825.0,30375306.0,9573000.0,4673000.0,2157000.0,-3569000.0,,,,,12834000.0,-6384000.0,,-1171000.0,-7555000.0,-3397000.0,7000000.0,-5942000.0,-4402000.0,877000,RUTH,2018-06-30
998690,USD,2018,Q3,2018-11-02,2019-11-01,29720472.0,30358284.0,3601000.0,4628000.0,2717000.0,1063000.0,,,,,12009000.0,-10224000.0,,0.0,-10224000.0,-3389000.0,4000000.0,19000.0,47000.0,1832000,RUTH,2018-09-30
998690,USD,2018,Q4,2019-02-28,2021-03-05,29513677.0,29977594.0,14860000.0,4776000.0,1543000.0,16573000.0,,,,,37752000.0,-9794000.0,,1171000.0,-8623000.0,-3351000.0,-13000000.0,-12593000.0,-28944000.0,185000,RUTH,2018-12-31
998690,USD,2019,Q1,2019-05-03,2020-05-08,29275501.0,29903511.0,13911000.0,4969000.0,2149000.0,-8950000.0,,,,,12079000.0,-5860000.0,,,-5860000.0,-3967000.0,-2000000.0,-568000.0,-8165000.0,-1946000,RUTH,2019-03-31
998690,USD,2019,Q2,2019-08-02,2020-08-06,29252651.0,29726102.0,9309000.0,5123000.0,2150000.0,-5506000.0,,,,,11076000.0,-5095000.0,,,-5095000.0,-3931000.0,6000000.0,-6572000.0,-5949000.0,32000,RUTH,2019-06-30
998690,USD,2019,Q3,2019-11-01,2019-11-01,28951612.0,29191076.0,4528000.0,5361000.0,2871000.0,-5101000.0,,,,,7659000.0,-8909000.0,,-18613000.0,-27522000.0,-3854000.0,38000000.0,-13444000.0,20023000.0,160000,RUTH,2019-09-30
